emoji_en,label,backtranslated_tweet
"ㄴㅇ ㅅㅌ thank you, you guys are the best fandom! never complicated, never noisy, so santuy, fokez and our boys never babibu bacot war wor wor ga **** :folded_hands_light_skin_tone: i am on the right track for 10 years :folded_hands_light_skin_tone: out",Positif,"Thank you, you are the best! never complicated, never businessing, so holy, fokez and anak-anak we never baby backot war wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor wor"
who is crying as you watch maleficent? even have bewatch mantalled? i.,Negatif,Who's crying while you watch Maleficent?
this is the point.,Netral,This is going to be the intention.
3 point to the gunners,Netral,3 points for penembak
kobo is actually argentina :Argentina: sky blue & amp; white the sun means the bright weather as her job is to expect the rains vamos argentina :Argentina: messi goat :goat:,Netral,Kobo sebenarnya adalah Argentina: Argentina: langit biru & amp; putih matahari means the weather is cerah karena pekerjaannya adalah untuk mengharapkan hujan Vamos Argentina: Messi kambing: kambing:
"do you try to see things from their points of view as well or do you try to make them understand you? you can both be telling the truth but each from your own perspective. understanding that alone, can stop lots of conflicts.",Netral,Are you trying to see things from their point of view too or are you trying to make them understand you?
"i'm actually lazy to be friends with people who are homophobic (+transphobic) & amp; all around hate feminism+socialism. but, since they were good with me & amp; sometimes i like to help me, so i compromise here and there in the association even though the original i was very contradictory.",Negatif,"I am actually a bad guy with the orang-orang who are homophobic (+ transphobic) & amp; I hate feminism+socialism. but, because they are good with me &amp; sometimes I like to help me, so I commit to this and the sana in association although actually I am very opposed."
"tft, happy healing is accompanied .....",Positif,"Tft, you have to be happy"
hey furu fam! which superhero is your most favorite one? mine is spiderman !! because he somehow relates to our teenage life and i like his suit as well !! i dedicated this mosu x spiderman = spidermosu! ****,Netral,Hey furu fam! superhero mana yang paling kamu sukai? i am a spiderman !! because he is somehow related to the life of our teenager and i am also like costumnya !! i am dedicated mosu x spiderman = spidermosu ini! ****
"playing close friend but not means it can share anything ... the name is human, even though it can be a friend even if you are a bitten if you are in the same.",Negatif,"Playing with friends but it doesn't mean it can share anything... nama it's a human, although it can be a friend even if you digigit if you're in the same situation."
"the question is: is indonesia still get easy an eastern military equipment such as russia? all compans that related to russia now has sanctioned by u.s. which mean small possibility to get moring equipment from :Russia:, especially export ""downgrade"" of su-35k kommercheskiy",Netral,"The question is: does Indonesia still get easy equipment military of the East like Russia? all companies related to Russia have now been approved by AS which means little possibility to get more equipment from Russia:, especially export ""pengurangan"" Su-35K kommercheskiy"
boss i have a tour healing but my friends don't want to take a vacation really strange my friends :(,Negatif,Boss I have a trip to the country but my friends I don't want to go on holiday
self healing self healing your eyes a,Negatif,I remember you remember me
"because open the line instead of flashback, open ig how come there is no photo standing. overthinking .. why here",Negatif,"Because I'm not flashback, I'm not a photo-maker."
"immerse in the tropical paradise:palm_tree::coconut: which one is your favorite? 1, 2, or 3? @ nusa penida bali",Netral,"terjun ke surga tropis:palm_tree::coconut: mana yang Anda sukai? 1, 2, atau 3? @ nusa penida bali"
wrong overthinking clock,Negatif,Salah thinking too much jam
overthinking again?,Negatif,Thinking too much again?
pumya someone who immediately understands without my problems,Positif,Punya seseorang yang segera mengerti tanpa masalahku
"not only marriage, overworking can already make us no time for friends. the key is only one, you have a support system. it's simple, the husband understands that his wife also needs freedom of friends. if you have this, marriage is safe, friendly friendship.",Negatif,"It's not just a marriage, too much work can already make us not have time for friends."
duar directly overthinking,Negatif,I think it's too much.
tired of staying up late because of overthinking :(,Negatif,I'm not going to stop until the night because I think too much.
you know? i think it's time to trust my instict even more.,Netral,I think it's time to believe in more than me.
"never look for dinner with crush from house to source, manahan, city hall, mojosongo, in the end, only 1 km near the house.",Netral,"Don't ever look for dinner with kegemaran from the house to the source, Manahan, Kota, Mojosongo, and finally, only 1 km near the house."
"confide chanyeol to mas crush so it is like that, between sad but mo",Netral,I'm so happy to be here.
overthinking is tortured,Negatif,Thinking too much is a penny-seek
may stay together together to bali,Netral,I can stay with you
"careful! $ xrp is getting pumped by a group with 180,000 members. i did not even know this was possible! they also pumped $ eth and $ btc. they will pump again tomorrow!",Netral,"I don't even know if this is possible, they'll also be buying Eth and BTC."
"score aside, i actually like the feisty-ness of the players. that being said, our options in front are pathetic",Positif,"I like to play yang very hard, but our choice in front is very difficult."
healing listening to mushroom sound,Netral,I hear the sound of jamur
staycation at the end of ppkm level 4,Netral,Staycation at the end of PPkm level 4
"really, the most comfortable place for self healing",Positif,"Really, the best place to be is for me."
where have you been a new year? me: really fcking me: for fcking shake this ny does not even make some hype:,Negatif,I really don't even make a few hype.
can't bobok bestie,Netral,"I can't stand it, my friend."
healing to warunk: 3,Positif,The number of people who have been killed in the war: 3
"[tuban 30 ° c] good afternoon ... corn rice - literally translated as 'corn rice' - looks like couscous, but made of corn and has finger grains. co/a8oq1qj2lz",Netral,"[tuban 30°c] selamat sore ... beras jagung - literally translated as ' beras jagung' - looks like couscous, but terbuat dari jagung dan memiliki biji jari."
shocked bestie just woke up nct dream cmbk,Positif,tercengang bestie baru bangun nct dream cmbk
"just afraid of yourself, i am afraid that i can't overthinking every day.",Negatif,I'm afraid I can't think too much every day.
finally got a place where i can do whatever i want,Positif,Finally I have a place where I can do whatever I want
should y'all be concerned with the friends who's actually cepuin is story too? they're low-key snake,Negatif,Should you be worried about your friends who actually are in Cepuin?
we graduated together bestie :koala::hatching_chick:,Positif,Kami graduated with her.
"gradually, slowly but surely, will definitely get good results. посепено, медлено, но верно, бязело добес хороших резллов.",Positif,"Slowly, slowly but surely, I will get a result that is good."
best self healing,Positif,I'm not sure.
even the fools know nothing is forever ~,Netral,Even orang bodoh tahu tidak ada yang selamanya ~
"staycation in bogor is always fun, besides a lot of food culinary here it also often rains :blue_heart:",Positif,"Staycation in Bogor is always fun, besides lots of food cuisine in sini also often rains:"
me: all day wandering around the realm of idiots,Negatif,I'm a little bit of a jerk.
"the most ideal healing is ""more"" money, parents' snacks, and traveling around indonesia.",Positif,"The best way to do this is to spend more money, to travel throughout Indonesia."
"again crowded, gaslighting :rocket:",Negatif,The first is the gas lighting.
self -invitation :check_mark_button: eat your own ayce :check_mark_button: own traveling :check_mark_button: staycation itself :check_mark_button: coffee own :check_mark_button: just watching your own cinema,Positif,self-invitation: check_mark_button: makan es sendiri: check_mark_button: sendiri traveling: check_mark_button: staycation sendiri: check_mark_button: copy sendiri: check_mark_button: hanya menonton bioskop sendiri
**** bestie horror film recommendations,Netral,*** recommendedasi film horror the best
"manifesting wins cipar, sponsored by office to bali :loudly_crying_face:",Positif,"The manifesting wins cipar, sponsored by kantor ke bali:"
"o allah, i'm still waiting for a healthy black/tuxedo kitten shipment that is active actively able to eat pup yourself and clingy. (specific prayer) :face_with_tears_of_joy:",Positif,"Oh God, I'm still waiting for the delivery of cat black / tuxedo yang sehat yang aktif aktif mampu makan anak anjing sendiri dan clingy."
"page 365 of 365 it could be a good year, but still have to be grateful. many trials, starting from positive covid, final semester lectures, exceptional proposals and theses for quotes, crying ""every night because of overthinking continues"" an. but it's okay, still be grateful for sj. thanks, 2021",Positif,"Page 365 of 365 it could be a good year, but it should still be grateful. Many trials, starting from positive COVID, college semester final, proposal extraordinary and thesis for a trip, crying ""setiap malam karena terlalu banyak berpikir terus"" a. but it's not anything, it's still grateful for sj. thanks, 2021"
"if i was wrong, he should say that what was my fault, so that i didn't overthinking and thought anywhere.",Negatif,"If I'm wrong, he'll have to say it's my mistake, so I don't think too much and think in the right direction."
"actually showering cost 5min, else (inc desire) cost an hour",Netral,"Actually, I'm going to spend 5 minutes, if not one hour."
"i don't know if this will be my goal in life or just typing, but i will enjoy the world while get rich or die tryin",Positif,"I don't know if this will be the goal of my life or just me, but I will enjoy the world while I get rich or die trying."
"oyasuminasai .. ayuchan ... happy resting .. :sleeping_face::sleeping_face::sleeping_face: .. take care of your health always .. don't forget to take the sport or yoga:person_in_lotus_position: on the weekend, so that your body is healthy :flexed_biceps::flexed_biceps::flexed_biceps: .. and .. please ... tomorrow & amp; sunday keep trying online on twitter :folded_hands::folded_hands:",Positif,"Oyasuminasai .. ayuchan ... selamat berist ..:sleeping_face::sleeping_face::sleeping_face::sleeping_face::sleeping_face: .. jaga kesehatan Anda selalu .. jangan lupa untuk mengambil olahraga atau yoga:person_in_lotus_position: pada akhir pekan, sehingga tubuh anda sehat::flexed_biceps::flexed_biceps::flexed_biceps: .. dan .. tolong ... besok & amp; hari minggu terus mencoba online di twitter:"
our 1% may not even be billionaires ...,Netral,1% we might not even be a millionaire ...
return home while on vacation :zany_face:,Positif,Back to the house during the holidays:
i hate to be relatable but- yeah,Negatif,I hate to be related but- yeah
"finally ""watch the film"" disseled out .. i don't dare to be afraid of the distribution of nagih, but grgr spoilers become kepo haha ​​90/100 laaa for kale:smiling_face_with_hearts:",Positif,"Finally, the ""liat film"" is finished .. I don't dare to be afraid of distribution Nagih, but spoiler Grgr becomes kepo haha 90/100 laaa untuk kale:"
what is the ruling for doi who are already sensitive to our code but still bodoamat. need to be an opor for lebaran bestie?,Negatif,Apa decision to do yang is already sensitive to our code but still stupid.
did you really even events come to bali if you don't take a million photos in your private villa's pool? no? just me then? :face_with_tears_of_joy: #****,Netral,Would you really come to Bali if you didn't take millions of photos in your private villa?
"oh right, so is the band called mas 0094 or onewe? is the fandom l:cherry_blossom:vers or weve then? no wonder even the fandom name is about to get stolen:/ rather than fight for own fandom name, you choose to fight your brother group. right we r family after all ~/s",Positif,"Oh, really, so band named mas 0094 or one of us?"
thank you to all parties who have participated in the success of healing july before plp,Positif,Thank you to all parties who have participated in the success of the PPP in July
"whatever you do, thank you",Positif,"Whatever you do, thank you."
failed staycation in jogja. because the rules for the holiday that mendla miele got,Negatif,I failed a staycation in jogja.
what is needed during long weekend now: healing and bestie at bobocabin :pleading_face::sparkles:,Positif,What is needed for the last long week now:
want to **** overthinking :face_vomiting:,Negatif,I want to think too much.
"bestie rasa dulur gendeng moro-moro telephone suarane karo nanges plate. tastyno slur miber e, ojok balek before 4d karo met budha",Positif,"Best rasa dulur gendereng moro-moro telepon suarane karo nanges plat. tastyno slur member e, ojok balek sebelum 4d karo bertemu budha"
"when the time comes, i want you to be my wife. walking with you in the heat and rain, running around and laaugh :upside-down_face:",Positif,"When the time comes, I want you to be my wife walking with you in the heat and rain, Berlari and Berteriak:"
org2 mba somehow the faces are the same as gt. neat,Positif,I don't know how to face her like G. Rapi.
"in his heart said: it's delicious so they can walk anywhere, can havefun, can feel healing. but this body wants to lie down first",Negatif,"Di dalam hatinya said: this is nice so they can walk wherever they go, they can have fun, they can feel pain. but this body I want to stay here first"
i'm not surprised actually ~ seoho is just being :face_with_tears_of_joy:,Netral,I'm not surprised at the truth.
"the pygmalion effect, or rosenthal effect, is a psychological phenomenon in which high expectations lead to improved performance in a given area. the effect is named for the greek myth of pygmalion, the sculptor who fell so much in love with the perfectly beautiful statue",Netral,"The pygmalion effect, or rosenthal effect, is a psychological phenomenon where high expectations lead to improved performance in certain areas."
young coconut,Netral,the kelapa muda
"i randomly take my own poison, while i never know that i choose it randomly too because my mind is too noisy to be bear. here i am, flundering like a nearly dead fish in the middle of dry vast lake ~",Negatif,"I'm taking my own poison, while I never knew I was choosing it because my mind is too busy to be a bear."
we are not bestie :clown_face:,Negatif,Kami bukan bestie:
"here mah, under 11 o'clock in the evening already sleepy and already sleeping. try if you are in the same time at that time it's still strong literacy until 1 o'clock.",Positif,"Di sini mah, below 11am already sleep and already sleep try if you are in the time yang sama pada saat itu masih kuat literasi sampai 1 jam."
"have you ever felt the **** while overthinking yet? if not, try it ... taste, aaaahhhh, great !!!!! wkwkwk",Negatif,"Have you ever felt **** while thinking excessively yet? If tidak, trylah ... rasa, aaaahhhh, hebat !!!!! wkwkwk"
"check shira media - self -healing by thought force - william atkinson at a price of rp28,080. get it in shopee now!",Netral,"See Shira Media - Self-Healing by Thought Force - William Atkinson with a price of Rp28,080."
"oathhh garcia who is ji this is the original overthinking tonight, garcia who is why there is what is the ex -ex -family what is the evil person what destroys ji's career what deg deg an njirrr.",Negatif,"I swear, Garcia who Ji is this is thinking that is excessive this night, Garcia who is the reason there is what is the former former family what is evil what is destroying career Ji is what is deg deg deg an njirrr."
4th with bestie .. :men_with_bunny_ears:,Netral,I 'm with you .
"and now 2021 has official left us, while 2022 has official come.",Netral,"Now 2021 officially leaves us, while 2022 officially comes."
wait for klaten's grilled chicken to come. literally!,Netral,Tunggu ayam panggang Klaten came.
"i am in the whitelist competition! 1.4 million+ holders and only 10,000 nfts! this could be the next viral nft, while 1 entry will win $ 50k usdt! plus it helps enter at",Netral,"I'm in the competition list! 1,4 million+ people are going to win and only 10,000 nft! This could be the next viral, while 1 entry will win $50k USD! plus help to enter the contest"
meet the former who has become bestie,Netral,Bertemu dengan yang terdahulu yang telah menjadi sahabat
"not even a real touch, just touch screen with fake promised and future. at the end, you only hv her grandmother as the only choice. even idiots in usa could married better wmn without obligations to understanding forever",Negatif,"Even if you have a grandmother, you can marry a better WM without ever having to understand her."
overthinking nggk is clearly under the guise of insomnia:woozy_face:,Negatif,Mengingat too much clearly under penangkapan insomnia:woozy_face:
"again cool ig, suddenly there is a pop up sms, wis panicked how moro2 paketane runs out, overthinking, when it is fully opened hmm",Negatif,"Again, again, suddenly there's a text pop up, we're scared how to get out, thinking too much, when it's fully opened hmm"
"most lazy if you take an online taxi, the driver is asking for work.",Negatif,"If you take a taxi online, Sopir asks for a job."
no one: literally no one: mama: how come mama didn't see malkis. you haven't carried out before leaving.,Netral,"There's no one, really there's no one, why I don't see Malkis."
":warning: those who have been ghosthing in the cave. you are grateful that you still live calmly, i don't have your behavior that ghosting to guaga is pretending to be your face, my face is also smooth from you. luckily, i received you as it was, i baper with you, accepting all your shortcomings",Negatif,"You are grateful that you are still alive and calm, I have no behavior of you that the ghost of the guaga is pur-pura to be your face, my face is also smooth from you."
"returning from happy hold, pass in the bate is one overthinking",Negatif,"Kembali dari happy hold, lewat di bate is one to think excessively"
"which purwokerto ask? i was shut up, i don't know, i don't know, blah blah :grinning_face_with_sweat::rolling_on_the_floor_laughing: so lazy to purwokerto where :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:",Netral,"I don't know, I don't know, I don't know, blah blah blah: smiling_face_with_sweat::rolling_on_the_floor_laughing: begitu malas untuk purwokerto di mana::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:"
"if you have a painful level of clingy, it rises exponentially as a straight motion changes irregularly",Netral,"If you have a level of penempel yang sick, it increases exponentially because the movement of straight changes irregularly"
"if you do your prayer chat, don't be disturbed first, just cry and overthinking, coz, you're routine :folded_hands:",Negatif,"If you do your praying, don't be disturbed first, just cry and think too much, because, you routine:"
just spill sis,Netral,How are you?
happy dl we are with white gray bestie :face_blowing_a_kiss::smiling_face_with_hearts: req tkt loses :musical_notes::musical_notes:,Positif,Happy dl kita dengan putih abu-abu bestie: wajah_berbangkit_a_kiss:: smiley_wajah_dengan_hati: req tkt kalah: musik_notes:: musik_notes:
"admin bewoknya really gemoy, i want to be a crush.",Positif,"Admin Bewoknya is really a gem, I want to be a yang falling in love."
"spartan .. monitoring supervision of buffer zone, rdt antigen free logistics transportation and validation of travel requirements documents via asdp ketapang and tanjungwangi port. the check point sritanjung terminal",Netral,The Commission has also adopted a proposal for a new Regulation on the application of the provisions of the Treaty on European Union to the Member States.
what are you doing? spill the tea!,Netral,What are you doing?
clingy bet njirr :weary_face:,Negatif,Clingy bet njirr: capek_wajah:
"built in 1962, sarinah is the first modern department store in indonesia which has been supporting local goods since its first operation in 1966 @ sarinah store thamrin",Netral,"Dibangun pada tahun 1962, Sarinah adalah department store modern pertama di Indonesia yang telah mendukung barang lokal sejak operasinya pertama pada tahun 1966 @ Sarinah store thamrin"
"asmara is destroyed, so cagur, healing invited to always slide, even though unemployed, move not **** -_-",Negatif,"Asmara crumbled, so cagur, penyembuhan invited to always meluncur, although pengangguran, tidak bergerak **** -_-"
i really love to see some of the audience were so double and even woo them down because of using english. but these fellas prove wrong! **** yeah!,Positif,I really like seeing some audiences so double and even memikat them because they use English. But orang-orang this proves wrong!
which is really fun and i really feel true happy and excited because of all k-pop it's what always cheers me up but i don't know with myself what else i've been up to lately but i have to be happy because it's halloween which i like and i like and what i'm waiting for :jack-o-lantern::jack-o-lantern::jack-o-lantern:,Positif,That's really fun and I really feel really happy and I'm really excited because all K-pop is what always makes me happy but I don't know with myself what else I've done lately but I have to be happy because it's Halloween which I like and I like and what I'm waiting for:
"let's take a walk first, but no one can join #리노 #스트레이 키즈",Netral,"Mari walk-jalan dulu, but there is no yang can join #리노 #스트레이 키즈"
saturday night. not watching rose karo jack dating ae :relieved_face: night,Positif,I'm not watching Rose Karo Jack Kencan.
"at this hour, the aj overthinking hours",Negatif,"Right now, I'm just thinking too much."
"manifest this may with life full of hahahihi, work smoothly, plenty of time for healing, but the contents of the wallet are still amen! :thumbs_up:",Positif,"Manifest this may be with a full life hahahihi, working smoothly, plenty of time for the rest of the week, but it's still a bag!"
"my friend gave another challenge, just like when i answered manuela back then. this time it was barry. and again, what i made again amazed my friends. even if there is another challenge, hopeful i can do it. :beaming_face_with_smiling_eyes::fire:",Positif,"My friend gave me another challenge, like when I answered Manuela at that time. This time it's Barry. And again, what I do again surprises my friend. Even if there's another challenge, I hope I can do it."
"now i know trust issues is real, and it only so bad",Negatif,"Now I know the problem of trust is real, and it's just so bad"
will burnout genshin wkwk,Negatif,I will be a member of the genshin
croffle + ovomaltine + es cream brown = honestly endulita :smiling_face:,Positif,Croffle + ovomaltine + es krim cokelat = jujur Endulita:
cape overthinking,Negatif,thinking too much
"carats, our maknae is now at 11th place! keep voting for him consistent, let's enter top 10 or even more before the poll ended:pleading_face::yellow_heart: #디노 #세븐틴",Netral,"Karats, meaning we are now in the 11th place! continue to choose consistently, mari masuk ke 10 besar atau bahkan lebih sebelum polling berakhir:pleading_face::yellow_heart: #Diino #세븐틴"
healing how come mam boncabe :rolling_on_the_floor_laughing:,Negatif,I'm not sure how to do this.
hobby pram 2021: deeptalk with people.,Netral,Hobby car 2021: talk deep with orang.
"d-1 began to be restless, mager, and overthinking",Negatif,"D-1 started not calm, mager, dan thinking excessively"
not having anxiety,Positif,I don't have any anxiety
honestly ... aespa visual is average ..,Netral,Jujur ... visual ESPA is the average ..
"occasionally, narcissistic can admire yourself. :rolling_on_the_floor_laughing::smiling_face_with_smiling_eyes::face_with_hand_over_mouth: :growing_heart: @ pamulang tangsel",Positif,"Sometimes, narsis can mengagumi diri sendiri. :rolling_on_the_floor_laughing::smiley_face_with_smiley_eyes::face_with_hand_over_mouth: :growing_heart: @pamulang tangsel"
at this time i don't think anyone lol. i think cmn. im near numb. i can still feel the hurt. but not as bad as before even though this one supposed to hurt me more. im near numb.,Negatif,"I think I'm almost dead, I can still feel pain, but it's not like before, even though it should hurt me more."
overthinking huh? yeah yes,Negatif,Thinking too much huh?
just sent a video @ zone santuy,Netral,Baru saja mengirim video @ zone santuy
this self is easy to mood swing skali,Negatif,I can't get enough of the mood swing scale
"denial is allowed, but if you feel there is certainty, why not?",Netral,"Penolakan is allowed, but if you feel a certain, why not?"
self healing,Positif,the penembhan diri
"yahne og overthinking yahene i madang brouu, lawuhe ro gule le gawe mamak want jozzzz bingits clouds",Negatif,"Yahne og thinking too much Yahene i madang brou, lawwehe ro gule le gawe mamak ingin jozzzz bingits awan"
"for myself in 2020 thank you for surviving so far, you deserve to be happy, you deserve to get love, you deserve to have friends, you deserve to choose with whom you can be happy. don't overthinking, don't be selfish, don't be proud to say sorry,",Positif,"For myself in the year 2020 thank you have survived till now, you deserve to be happy, you deserve to get love, you deserve to have friends, you deserve to choose who you can be happy."
"2021 - happy, huring, healing at the same time :slightly_smiling_face:",Netral,"2021 - happy, sad, menyembuhkan pada saat yang sama:"
meditation tonight is really good. all the burden feels just evaporated. hopefully this healing business is blessed ~ suwun gusti jesus :blue_heart:,Positif,Meditation this evening is very good. All the burdens feel only to fade.
overthinking with yourself,Negatif,Thinking too much with myself
even connor still learned despite being the wealthiest athlete in the world,Positif,Even Connor is still learning even though he's the richest athlete in the world.
i have a crush on you faithful but then it crashed me,Negatif,I fell in love with you but then it destroyed you
"org-org likes to want to take time to the fact that it is actually bnr-bnr alone weh, naha i can be able to do it myself. gatau why, just to the alfa in front of the intersection in the anter",Negatif,"I'm not sure why, but I'm not sure why."
it's almost like the **** that actually like girls be hiding:melting_face::melting_face:,Negatif,Almost like a girl hiding face
this ..... zara are actually 18 how can he ..... ah already,Negatif,Zara is actually 18 years old how could she ..... ah already
"the way i overuse the ""honestly"" term today is concerned",Negatif,"How am I using the term ""justice"" today is related to"
"gosh, deep ya:OK_hand_light_skin_tone: thanks for your attention bestie. :weary_face::sneezing_face:",Positif,"Oh, deep ya: OK_hand_light_skin_tone: thanks for your attention, buddy."
name: nn.d hobby: invite overthinking together,Negatif,I am not interested in this.
even the homecoming queen cries ... ~,Netral,Even ratu pesta pulang menangis ... ~
"****, i am thanks for you before it even happened.",Positif,I'm thankful for you before it happens.
sold all my $ btc for $ eth and some altcoins under ethereum network a while ago. so far so good.,Positif,I sold all my BTC for $Eth and some altcoins under the Ethereum network a few days ago.
"waiting on mas-mas laundry who is going to buy food. literally .. (pictured here, le me who haven't taken a shower in 2 days)",Netral,"waiting for clothes Mas-mas yang will buy food. literally .. (photo of this, le saya yang belum mandi dalam 2 hari)"
the hours are overthinking ..,Negatif,Jam-jamnya too much to think ..
"happy friday hasn't been a portfolio photo for a long time • some pictures are excited for weekends even you just sleep at home. • • @ medan, indonesia",Positif,"Happy Friday already lama tidak menjadi portofolio • some photos are very enthusiastic for the last week even if you are only sleeping at home. • • @ medan, Indonesia"
(self healing!) everything will turn away ... all will refund to each of them ... it is not a self-purpose ... but to see the situation and condition ... and take a relevant way ... so it is not broken ... //t.co/7t5jemdush,Positif,(penyembuhan diri!) everything will be backwards ... everything will return to each of them ... it is not the goal diri ... but to see the situation and conditions ... and take the way that is relevant ... so that it does not break ... //t.co/7t5jemdush
"your project is very good, the whitepaper is also very clear, i hope your project can be successful and successful in the future. i also hope the community can grow even bigger than now .. to you",Positif,"Your project is very good, whitepaper is very clear, I hope your project can be successful and successful in the future."
"even it's just one person who wo watch my premiere, im still thanks for that:folded_hands:",Positif,"Even if only one orang yang watched my perdana, I'm still thankful for it:folded_hands:"
"stay calm, still, santuy bismillah wa, you can definitely know that the consequences must be prepared to pass through, aaa anjir is nervous and meeting with pt.pama persada",Positif,"Still calm, still, Santuy Bismillah Wa, you must know that the consequences must be ready to go through, aaa Anjir gugup dan meet with PT.pama Persada"
"happy new year, i hope this year begins with blessings and goodness, honestly it's been quite painful and tiring for the past 2 years. and for the men i've idolized for the past 5 years, stay happy and thank you for sticking with us (bangtan & amp; army) until now ♡.",Positif,"Happy New Year, may this year begin with blessings and kindness, honestly it has been very sick and melahkan for the last 2 years."
tester tester came for breakfast tomorrow. so tomorrow morning you can santuy. to be solemn watching the hue with vicenzo,Netral,Tester Tester come for breakfast tomorrow. So tomorrow morning you can sanctify. To become solemn watching color with Vicenzo
see the different between jogging listening to the music and watch reels .. i lost 0.5 km in track while i'm watching reels..:crying_face:,Negatif,Look at the difference between jogging listening to music and watching the game .. I lost 0.5 km on the trek while watching the game ..
"i know it's too much, but honestly i'm happy ..",Positif,"I know it's too much, but honestly I'm happy.."
why is the overthinking first tired knowing or not >>,Negatif,Why do you think too much the first time you know or don't know?
"meis is really cool where there is a beach. there are malls where solaria, starbucks, etc. can be healing in ancol too if bored playing to dufan is delicious too :rolling_on_the_floor_laughing:",Positif,"I'm very cool in mana, there's a beach. There's a shopping center in mana, solarium, starbucks, etc."
"morning ""sitting on the roof top of the house, knitting, while hearing birds. cheap healing.",Positif,I'm going to go to the bathroom and see the house.
which is the most difference task? controlling flocks of sheep or a swarm of humans,Netral,What is the most different task? controlling kawanan domba or seramai manusia.
"interesting, who will come out? darren or martin? honestly i'm like to see martin stay in rush green",Netral,Who's going to come out Darren or Martin?
"soswit was really when tae was seriously saying ""jimin ah, saranghae"" to jimin continued jimin too ""my love"" aghhhhhh the real soulmate. need vmin in my life for my bestie :pleading_face:",Positif,"So, when Tae Serious says ""Jimin ah, saranghae"" to Jimin, Jimin goes on to say ""cinta saya"" to him."
healing small-tiles,Netral,I'm going to make a little cake
