emoji_in,label,backtranslated_tweet
"sungguh, tempat ternyaman saat ini buat self healing",Positif,"Sebenarnya, ini adalah tempat di mana seorang pria sekarang melakukan penyembuhan diri."
tahun baru kemana aja? saya: benar -benar fcking saya: untuk fcking shake ny ini bahkan tidak membuat hype:,Negatif,"Maksudku, aku bahkan tidak membuat hype."
bestie gak bisa bobok,Netral,Teman terbaik tidak bisa diganggu
penyembuhan nya ke warunk: 3,Positif,Jumlah orang yang terkena penyakit ini adalah:
"[tuban 30 ° c] selamat siang… nasi jagung - secara harfiah diterjemahkan sebagai 'nasi jagung' - terlihat seperti couscous, tetapi terbuat dari jagung dan memiliki butiran yang lebih halus.:sun_with_face: @ maibit // t. co/a8oq1qj2lz",Netral,"[tuban 30 ° c] selamat siang... nasi jagung - diterjemahkan secara harfiah sebagai 'nasi jagung' - terlihat seperti kuskus, tapi terbuat dari jagung dan memiliki butiran yang lebih halus.:sun_with_face: @maibit // t. co/a8oq1qj2lz"
kaget bestie baru bangun tidur nct dream cmbk,Positif,"Aku terkejut, aku hanya tidur."
cuma takut sama diri sendiri takut udh ga sanggup overfinking tiap hari.,Negatif,Aku takut pada diriku sendiri.
akhirnya mendapat tempat di mana saya bisa melakukan apapun yang saya inginkan,Positif,Aku akhirnya mendapat tempat di mana aku bisa melakukan apa pun yang aku inginkan.
haruskah kalian peduli dengan teman -teman yang sebenarnya juga cerita cepuin itu? mereka ular rendah,Negatif,Haruskah kau peduli dengan teman-temanmu?
kami lulus bersama bestie :koala::hatching_chick:,Positif,Kami lulus dengan teman terbaik kami.
"perlahan -lahan, perlahan tapi pasti, pasti akan mendapatkan hasil yang baik. постепенно, медленно, но верно, обihanзательно добьетесь хороших рлльтатов.",Positif,"Perlahan, perlahan, tapi pasti, pasti, Anda akan mendapatkan hasil yang baik."
self healing terbaik,Positif,Mengobati diri sendiri adalah yang terbaik
bahkan orang -orang bodoh tahu tidak ada yang selamanya ~,Netral,Bahkan orang orang orang bodoh tahu tidak ada yang selamanya ~
"staycation di bogor emang selalu menyenangkan, selain banyak kuliner makanan disini jagi sering turun hujan :blue_heart:",Positif,"Tinggal di Bogor selalu menyenangkan, selain banyak memasak di sini untuk sering hujan:"
saya: sepanjang hari berkeliaran di sekitar ranah idiot,Negatif,Aku berkata: sepanjang hari Berkeliaran di sekitar ranah idiot
"menyembuhkan yang paling ideal adalah ""ketiban"" duit banyak, jajanin ortu, dan bepergian keliling indonesia.",Positif,"Yang paling ideal adalah uang ""ketiban"" banyak, jajanin ortu, dan bepergian di seluruh Indonesia."
"lagi rame, gaslighting :rocket:",Negatif,- Aku tidak akan mengatakan.
kondangan sendiri :check_mark_button: makan ayce sendiri :check_mark_button: jalan-jalan sendiri :check_mark_button: staycation sendiri :check_mark_button: ngopi sendiri :check_mark_button: tinggal nonton bioskop sendiri aja belum,Positif,Aku tidak yakin apa yang aku lakukan di sini.
rekomendasi film horror **** bestie,Netral,Rekomendasi film horor **** bestie
"memanifestasikan cipar mengang, kantor ke bali :loudly_crying_face: disponsori",Positif,Aku tidak yakin jika aku bisa sampai ke pertemuan berikutnya.
"ya allah, aku masih nunggu kiriman black/tuxedo kitten yg sehat lincah aktif bisa minum pup sendiri dan clingy ya. (doa spesifik) :face_with_tears_of_joy:",Positif,"Ya, aku masih menunggu Kiriman kucing hitam / berwarna hitam yang sehat."
"halaman 365 dari 365 bisa jadi tahun yg baik, tapi tetep harus di syukuri. banyak cobaan bgt, mulai positive covid, kuliah semester akhir, proposal dan skripsi yg luar biasa buat puyeng, nangis ""tiap malem karna overfinking terus"" an. tapi gapapa, tetep d syukuri sj. makasih ya, 2021",Positif,"Halaman 365 dari 365 bisa menjadi tahun yang baik, tapi tetap harus di Syukuri."
"kalo emg aku salah, harusnya dia tuh bilang gitupa apa salah aku, supaya aku gak yang terlalu banyak berpikir dan berpikiran kana-kemana.",Negatif,"Jika aku salah, dia harus memberitahu apa yang salah denganku, jadi aku tidak berpikir terlalu banyak dan berpikir kana-kemana."
"sebenarnya membutuhkan biaya 5 menit, else (inc desire) biaya satu jam",Netral,"Sebenarnya butuh waktu 5 menit, jika tidak, harganya satu jam."
"saya tidak tahu apakah ini akan menjadi tujuan saya dalam hidup atau hanya mengetik, tetapi saya akan menikmati dunia sambil menjadi kaya atau mati mencoba",Positif,"Aku tidak tahu apakah ini akan menjadi tujuan hidupku atau hanya aku, tapi aku akan menikmati dunia sambil menjadi kaya atau mencoba."
"oyasuminasai .. ayuchan ... selamat beriistirahat .. :sleeping_face::sleeping_face::sleeping_face: .. jaga seseehatan selalu .. jangan lupa sempatkan ohahraga atuu yoga:person_in_lotus_position: di akhir pekan, agar badian kamu sehat :flexed_biceps::flexed_biceps::flexed_biceps: .. tolong ... silakan ... besok & amp; hari minggu tetep usahain online yaa di twitter :folded_hands::folded_hands:",Positif,"Oasuminasai .. ayuchan ... selamat berist ..:sleeping_face::sleeping_face::sleeping_face: .. jaga seseehatan selalu .. jangan lupa sempatkan ohahraga atuu yoga:person_in_lotus_position: di akhir pekan, agar badian kamu sehat:flexed_biceps::flexed_biceps::flexed_biceps: .. please ... silakan ... besok & amp; hari minggu tetap usahain online yaa di twitter:folded_hands::folded_hands:"
1% kami bahkan mungkin bukan miliarder ...,Netral,1% dari kita bahkan mungkin bukan miliarder ...
pulu kampung sarik liburan :zany_face:,Positif,Aku akan sedikit lebih sibuk.
aku benci bisa direkrut tapi-- ya,Negatif,Aku benci diarahkan tapi...
"akhirnya ""film nonton"" disela nugas .. gak berani pdahal takut kedistract nagih, tapi grgr spoiler jadi kepo haha 90/100 laaa buat kale:smiling_face_with_hearts:",Positif,"Akhirnya ""melihat film"" disela nuggs .. aku tidak berani pdahal takut terganggu nagh, tapi grgr spoiler jadi kepo haha 90/100 laaa membuat kale:"
apa hukumnya buat doi yang udh peka sama kodean kita tapi tetep bodoamat. perlu dijadiin opor buat lebaran kah bestie?,Negatif,Hukum apa yang membuatmu melakukan apa yang kau lakukan?
apakah anda benar -benar datang ke bali jika anda tidak mengambil satu juta foto di kolam renang vila pribadi anda? tidak? hanya aku? :face_with_tears_of_joy: #****,Netral,Apakah Anda benar-benar datang ke Bali jika Anda tidak mengambil satu juta foto dari villa pribadi Anda?
"oh benar, jadi apakah band bernama mas 0094 atau onewe? apakah fandom l:cherry_blossom:vers atau weve? tidak heran bahkan nama fandom akan dicuri:/ daripada memperjuangkan nama fandom sendiri, anda memilih untuk melawan kelompok saudara anda. bagaimanapun, kami benar keluarga ~/s",Positif,"Oh, jadi bandnya bernama Mas 0094 atau salah satu dari kita?"
terimakasih kepada seluruh pihak yg telah ikut menyukeskan penyembuhan juli sebelum plp,Positif,Terimakasih kepada seluruh pihak yang telah ikut menyukeskan penyembuhan juli sebelum plp
"apapun yang anda lakukan, terima kasih",Positif,"Apa pun yang kau lakukan, terima kasih."
gagal staycation di jogja. gara² aturan libur yang mencla mencle :loudly_crying_face:,Negatif,Aku tidak yakin jika aku akan bisa melakukannya.
yang dibutuhkan saat panjang akhir pekan sekarang: penyembuhan sama bestie di bobocabin :pleading_face::sparkles:,Positif,Aku akan sedikit lebih sibuk dengan pekerjaan baruku.
pengen muntah langsungan overhinking :face_vomiting:,Negatif,Aku akan muntah dan berpikir terlalu banyak.
"bestie rasa dulur gendeng moro-moro telpon suarane pelat karo nanges. enakno slur miber e, ojok balek sebelom 4d karo ketemu budha",Positif,"Best rasa dulur gendeng moro-moro telepon suarane pelat karo nanges. enakno slur anggota e, ojok balek sebelom 4d karo ketemu budha"
"ketika saatnya tiba, saya ingin anda menjadi istri saya. berjalanlah dengan anda dalam panas dan hujan, berlarian dan tertawa :upside-down_face:",Positif,"Ketika waktunya tiba, aku ingin kau menjadi istriku berjalan denganmu di panas dan hujan, Berlarian dan tertawa: terbalik:"
org2 mba entah bagaimana muka2nya setipe gt deh. rapih2,Positif,Aku tidak tahu bagaimana membuat pengaturan.
"dlm hati berkata: enak ya jadi mereka bisa jalan kemana mana, bisa havfun, bisa ngerasain healing. tapi badan ini maunya rebahan mulu:relieved_face:",Negatif,"Aku tidak mengatakan mereka tidak bisa pergi ke mana-mana, mereka tidak bisa bahagia, mereka tidak bisa disembuhkan."
sebenarnya aku tidak terkejut ~ seoho hanya menjadi :face_with_tears_of_joy:,Netral,"Sebenarnya, aku tidak terkejut, aku hanya bahagia."
"efek pygmalion, atau efek rosenthal, adalah fenomena psikologis di mana harapan tinggi menyebabkan peningkatan kinerja di area tertentu. efeknya dinamai untuk mitos pygmalion yunani, pematung yang sangat jatuh cinta dengan patung yang sangat indah",Netral,"Efek pigmelion, atau efek rosenthal, adalah fenomena psikologis di mana harapan tinggi menyebabkan peningkatan kinerja di daerah tertentu."
kelapa muda,Netral,kelapa muda
"saya secara acak mengambil racun saya sendiri, sementara saya tidak pernah tahu bahwa saya memilihnya secara acak juga karena pikiran saya terlalu berisik untuk ditanggung. inilah saya, menggelepar seperti ikan yang hampir mati di tengah danau yang luas ~",Negatif,"Aku mengambil racunku sendiri, sementara aku tidak pernah tahu bahwa aku memilihnya sendiri karena pikiranku terlalu berisiko untuk ini."
kita bukan bestie :clown_face:,Negatif,Kami bukan yang terbaik .
"disini mah, dibawah jam 11 malem udah ngantuk dan udah tidur. coba kalo dijogja jam segitu masih kuat melek sampe jam 1. faedah bgt sekalian healing kalo pulkam tuh:smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes:",Positif,"Aku di sini, di bawah pukul 11 malam aku tertidur dan aku tertidur."
"udah pernah ngerasain nyeterika sambil overhinking belum? kalo belum, cobain deh ... rasananya, aaaahhhh, mantap !!!!! wkwkwk",Negatif,"Aku belum pernah ke tempat baru sebelumnya, tapi aku sudah terlalu banyak memikirkannya."
cek shira media - penyembuhan diri oleh thought force - william atkinson delangan rp28.080. dapatkan di shopee sekarang!,Netral,Periksa Shira Media - Peniembuhan Diri dengan kekuatan pikiran - William Atkinson Delangan RP28.080. masuk ke toko sekarang!
"sumpahhh garcia siapa ji ini asli si overhinking berlebuhan malam ini, garcia siapa sihhh kenapa ada apa aduhhhh mantan apa keluarga apa degan apa apa yg menghancurkan karir ji ji apa gigana.",Negatif,"Aku bersumpah, Garcia siapa yang benar-benar si terlalu berpikir Berlebuhan malam ini, Garcia siapa ini mengapa ada ini?"
bestie bersama ke -4 .. :men_with_bunny_ears:,Netral,Teman terbaik dengan yang keempat .
"dan sekarang 2021 telah secara resmi meninggalkan kami, sementara 2022 telah secara resmi datang.",Netral,"Sekarang 2021 telah resmi meninggalkan kita, sementara 2022 telah resmi tiba."
nunggu ayam panggang klaten datang. secara harfiah!,Netral,Tunggu Ayam Panggang Klaten datang.
"saya berada di kompetisi whitelist! 1,4 juta+ pemegang dan hanya 10.000 nft! ini bisa menjadi nft viral berikutnya, sementara 1 entri akan memenangkan usdt $ 50k! plus itu membantu masukkan di",Netral,"Saya di daftar putih kompetisi! 1,4 juta orang akan dibayar dan hanya 10.000 nft! Ini bisa menjadi viral berikutnya, sementara 1 entri akan memenangkan US $ 50k!"
bertemu mantan yg sudah menjadi bestie,Netral,Temui mantan yang sudah menjadi teman terbaik
"bahkan tidak ada sentuhan yang nyata, hanya layar sentuh dengan yang dijanjikan dan masa depan. pada akhirnya, anda hanya memiliki neneknya sebagai satu -satunya pilihan. bahkan orang idiot di as bisa menikah dengan lebih baik tanpa kewajiban untuk memahami selamanya",Negatif,"Bahkan jika tidak ada perasaan yang nyata, hanya layar yang mengirim Anda dengan janji dan masa depan. Akhirnya, Anda hanya memiliki nenek sebagai satu-satunya pilihan. Bahkan idiot tidak bisa menikah lebih baik tanpa kewajiban untuk memahami selamanya."
terlalu banyak berpikir nggk jelas berkedok insomnia:woozy_face:,Negatif,Terlalu banyak untuk dipikirkan.
"lagi asik2 ig an, tiba2 ada sms pop up, wis panik kok moro2 paketane habis, overfinking, pas dibuka penuh ternyitii hmm",Negatif,"Aku akan sedikit lebih sibuk, dan aku harus kembali bekerja."
paling jantan kalau naik taksi kepo online banget drivernya nanya-nanya kerja lah apalah.,Negatif,"Sebagian besar waktu, aku di taksi."
tidak ada: secara harfiah tidak ada: mama: kok tadi mama ga liat malkis ya. kan belum nggendong sebelum pergi.,Netral,Aku tidak akan pergi ke rumah sakit.
":warning:yang pernah ghosthing di gua:warning:bersyukur deh lu paada masih menyembunyikan tenang, kagak gua spill kelakuan lu yg ghosting ke guagausi sok kecakepan lo, muka muka mulus gua drpada lo. untung2 an lu gua nerima lu apa adanya, gua baper sama lo, nerima segala kekurangan lo",Negatif,"Peringatan:yang pernah hantu di gua:peringatan:terima kasih deh lu paada tetap bersembunyi tenang, jangan pergi menumpahkan kelakuan lu yang hantu ke guagausi sok kecakepan lo, muka muka mulus gua drpada lo. untung2 an lu gua nerima lu apa adanya, gua baper sama lo, nerima segala kekurangan lo"
"pulu dari tongkrongan happy, lewati di tempat tidur kok jadi terlalu berpikir",Negatif,"Pulu dari tongkrongan bahagia, lewati di tempat tidur kok jadi terlalu berpikir"
banyak tanya purwokerto mana ?? aku sambil diem bilang entahlah bla bla :grinning_face_with_sweat::rolling_on_the_floor_laughing: malas banget kepo purwokerto mana :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,Netral,Banyak pertanyaan yang diajukan tentang purwokerto mana ?? aku sambil diem bilang entahlah bla bla: tersenyum_wajah_dengan_perkeringat::guling_di_guling_tertawa: malas banget kepo purwokerto mana:guling_di_guling_tertawa::guling_di_guling_tertawa::guling_di_guling_tertawa::guling_di_guling_tertawa:
kalo lagi sangan tingkat ke-clingy-an naik secara eksponensial seperti gerak lurus berubah beraturan,Netral,"Jika tingkat sangan lebih tinggi, berat akan berubah secara eksponensial."
"kalau doimu g bales chat ya jangan di ganggu dulu, langsung nangis dan overfinking aja coz udah rutinitas lu :folded_hands:",Negatif,"Jika kau melakukan doimu g bales chat kau tidak pergi ke ganggu dulu, segera menangis dan berpikir aja karena aku punya rutinitas lu:"
spill aja kak,Netral,Berbujurlah.
selamat dl kita bareng bestie putih abu2 :face_blowing_a_kiss::smiling_face_with_hearts: req tkt kehilangan :musical_notes::musical_notes:,Positif,Selamat ulang tahun untuk sahabat kita Abu Putih .
"admin bewoknya gemoy banget, pengen deh dijadiin crush nya.",Positif,Aku tidak akan menjadi penggemar besar ini.
"spartan .. pantauan pengawasan buffer zone, rdt antigen gratis angkutan logistik dan validasi dokumen perjalanan melalui asdp ketapang dan pelabuhan tanjungwangi. titik cek terminal sritanjung",Netral,Komisi juga telah mengadopsi proposal untuk peraturan baru tentang penggunaan teknologi baru di sektor transportasi.
ngapain nih? tumpahkan teh!,Netral,Apa yang kau lakukan?
taruhan clingy njirr :weary_face:,Negatif,Taruhan clingy njirr: tired_face:
"dibangun pada tahun 1962, sarinah adalah department store modern pertama di indonesia yang telah mendukung barang -barang lokal sejak operasi pertama pada tahun 1966 @ sarinah store thamrin",Netral,"Dibangun pada tahun 1962, Sarinah adalah sebuah department store modern pertama di Indonesia yang telah mendukung barang-barang lokal sejak operasi pertamanya pada tahun 1966 @ Sarinah store thamrin"
"asmara hancur, jadi cagur, diaajak healing selalu meluncur, padiahal nganggur, pindahkan mah enggak tolol emng -_-",Negatif,"Asmara hancur, jadi cagur, diaajak penyembuhan selalu meluncur, padiahal nganggur, pindah enggak saya ke emng -_-"
saya sangat senang melihat beberapa penonton sangat ragu dan bahkan merayu mereka karena menggunakan bahasa inggris. tapi teman -teman ini membuktikan mereka salah! tentu saja!,Positif,Saya sangat senang melihat beberapa penonton sangat skeptis dan bahkan merayu mereka karena mereka menggunakan bahasa Inggris. tapi teman-teman saya membuktikan mereka salah! tentu saja!
yang benar-benar menyenangkan dan saya benar-benar merasa sangat bahagia dan bersemangat karena semua k-pop itu yang selalu menghibur saya tetapi saya tidak tahu dengan diri saya sendiri apa lagi yang saya lakukan akhir-akhir ini tetapi saya harus bahagia karena ini halloween yang saya suka dan saya suka dan apa yang saya tunggu :jack-o-lantern::jack-o-lantern::jack-o-lantern:,Positif,Yang sangat menyenangkan dan aku benar-benar merasa sangat bahagia dan bersemangat karena semua k-pop itu yang selalu mehibur saya tapi saya tidak tahu dengan diri sendiri apa yang saya lakukan akhir pekan ini tapi saya harus bahagia karena ini Halloween yang saya suka dan saya suka dan dan apa yang saya tunggu:
mari kita jalan-jalan dulu bestie:automobile: tapi gak boleh ada yang ikut ya:kissing_face: ngueeennggg #리노 #스트레이 키즈,Netral,Aku tidak akan bisa mendapatkan mobil.
sabtu malam. tak nonton rose karo jack pacaran ae :relieved_face:,Positif,"Sabtu malam, aku tidak menonton Rose Karo."
