emoji_in,label,backtranslated_tweet
kalo udh mulai terlalu memikirkan suka sesek di tenggorokan. kek yg mo nangis aja gtuh :frowning_face::frowning_face:,Negatif,"Jika aku mulai berpikir terlalu banyak, tenggorokanku akan terasa sesak. Rasanya seperti aku mau menangis :frowning_face::frowning_face:"
"tuhan, hatiku sangat merindukannya meskipun hatiku hancur melihat dia bahagia dengan wanita lain",Negatif,Ya Tuhan hatiku sangat merindukannya meskipun hatiku hancur melihat dia bahagia dengan wanita lain
penyembuhan bersama ayanggg,Positif,penyembuhan bersama ayanggg
"“pemandangan langit indigo itu indah. saat itulah kegelapan membiarkan cahaya bersinar untuk sementara waktu. ”nimisha toshniwal :folded_hands::wrapped_gift::blue_heart: @ badung, bali, indonesia",Positif,"“pemandangan langit indigo itu indah. saat itulah kegelapan membiarkan cahaya bersinar untuk sementara waktu. ”nimisha toshniwal :folded_hands::wrapped_gift::blue_heart: @ badung, bali, indonesia"
"ㄴㅇ ㅅㅌ makasih yaaa kalian tu fandom terbaik! ga pernah ribet, ga pernah ribut, bawaananya santuy, fokez ama anak laki -laki kami doang ga pernah babibu bacot perang wor wor ga **** :folded_hands_light_skin_tone: aku berada di jalur yang benar selama 10 tahun ini :folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone:",Positif,"ㄴㅇ ㅅㅌ makasih yaaa kalian tu fandom terbaik! ga pernah ribet, ga pernah ribut, bawaananya santuy, fokez ama anak laki -laki kami doang ga pernah babibu bacot perang wor wor ga **** :folded_hands_light_skin_tone: aku berada di jalur yang benar selama 10 tahun ini :folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone:"
siapa yangis nangis sesugukan nonton maleficent? bahkan udah di rewatch berkali2? aku.,Negatif,Siapa yang menangis saat menonton Maleficent? Bahkan setelah menontonnya berulang kali? Saya.
inilah intinya.,Netral,Inilah intinya.
3 poin ke the gunners,Netral,3 poin untuk the gunners
kobo sebenarnya argentina :Argentina: sky blue & amp; putih matahari berarti cuaca cerah karena tugasnya adalah mengusir hujan vamos argentina :Argentina: messi goat :goat:,Netral,kobo sebenarnya argentina :Argentina: sky blue & amp; putih matahari berarti cuaca cerah karena tugasnya adalah mengusir hujan vamos argentina :Argentina: messi goat :goat:
"apakah anda mencoba melihat sesuatu dari sudut pandang mereka juga atau apakah anda mencoba membuat mereka memahami anda? anda berdua dapat mengatakan yang sebenarnya tetapi masing -masing dari sudut pandang anda sendiri. memahami itu saja, dapat menghentikan banyak konflik.",Netral,Apakah Anda mencoba melihat sesuatu dari sudut pandang mereka juga atau Anda mencoba membuat mereka memahami Anda? Anda berdua dapat mengatakan kebenaran tetapi masing-masing dari sudut pandang Anda sendiri. Memahami hal itu saja dapat menghentikan banyak konflik.
"gue sebenarnya malas berteman delangan orang yang homophobic (+transphobic) & amp; di sekitar feminisme benci+sosialisme. tapi, berhubung mereka baik sama gue & amp; katang2 suka menolong gue, jadilah gue kompromi sana sini di dalam pergaulan walau aslinya gue sangan bertentangan.",Negatif,"Aku sebenarnya malas berteman dengan orang-orang yang homofobik (+transfobik) &amp; yang berkecimpung di seputar feminisme, kebencian+sosialisme. Namun, karena mereka baik padaku &amp; mereka bilang mereka suka menolongku, jadi aku berkompromi di sana-sini dalam situasi sosial meskipun sebenarnya aku sangat berkonflik."
"tft, happy bgt healing nya ditemenin .....",Positif,"tft, sangat senang ditemani dalam penyembuhan....."
hei furu fam! superhero manakah yang paling favorit anda? punyaku adalah spiderman !! karena dia entah bagaimana berhubungan dengan kehidupan remaja kita dan aku juga suka jasnya !! saya mendedikasikan mosu x spiderman ini = spidermosu! ****,Netral,hei furu fam! superhero manakah yang paling favorit anda? punyaku adalah spiderman !! karena dia entah bagaimana berhubungan dengan kehidupan remaja kita dan aku juga suka jasnya !! saya mendedikasikan mosu x spiderman ini = spidermosu! ****
teman dekat utama tp bkn berarti bsa berbagi apapun .. namanya manusia ya bahkan sahabat sekalipun bsa jd dajjal klo d ksi kesmpatan.,Negatif,"sahabat dekat memang yang utama tapi bukan berarti bisa berbagi apa-apa... mereka juga manusia, bahkan sahabat karib pun bisa menjadi Dajjal jika diberi kesempatan."
"pertanyaannya adalah: apakah indonesia masih mudah menjadi peralatan militer timur seperti dari rusia? semua perusahaan yang terkait dengan rusia sekarang telah disetujui oleh a.s. yang berarti kemungkinan kecil untuk mendapatkan peralatan mor dari :Russia:, terutama ekspor ""penurunan peringkat"" dari su-35k kommercheskiy",Netral,"pertanyaanya: apakah indonesia masih mudah mendapatkan peralatan militer timur seperti dari rusia? semua perusahaan yang berhubungan dengan rusia sekarang sudah disetujui oleh as yang berarti kemungkinan mendapatkan peralatan mor dari :russia: kecil, terutama &quot;downgrade&quot; ekspor su-35k kommercheskiy"
bos aku udah ngadain tour healing tapi temen kerja pada gak mau liburan emang aneh temen2ku ini :(,Negatif,"Atasan saya mengadakan wisata penyembuhan tapi teman-teman kerja saya tidak mau ikut berlibur, ini sungguh aneh, teman-teman :("
penyembuhan diri penyembuhan diri matamu a,Negatif,penyembuhan diri penyembuhan diri mata Anda
"flashback line mala line buka, buka ig kok gaada foto berduanya. berfikir berlebihan.. kenapa nihhh",Negatif,"garis kilas balik garis mala terbuka, terbuka ig kok tidak ada foto mereka berdua. terlalu banyak pikiran... mengapa?"
"tenggelam dalam surga tropis:palm_tree::coconut: mana yang favoritmu? 1, 2, atau 3? @ nusa penida bali",Netral,"tenggelam di surga tropis :palm_tree::coconut: mana yang jadi favoritmu? 1, 2, atau 3? @ nusa penida bali"
shal selai terlalu banyak berpikir,Negatif,akan macet berpikir terlalu banyak
berpikir lagi?,Negatif,pikirkan lagi?
pumya seseoran yg langsung paham tanpa kepo masalah gue emg debest sih,Positif,pumya seseoran yg langsung paham tanpa kepo masalah gue emg debest sih
"tidak hanya pernikahan, terlalu banyak bekerja aja udah bisa bikin kita gak ada waktu buat temen. kuncinya cuma satu, anda memiliki sistem pendukung. simpel aja, suami paham kalo istrinya jg butuh kebebasan berkawan. kalo kamu punya ini, pernikahan aman, persahabatan jalan.",Negatif,"bukan cuma pernikahan, terlalu banyak pekerjaan bisa membuat kita tidak punya waktu untuk sahabat. Kuncinya cuma satu, punya support system. Sederhana saja, suami mengerti bahwa istrinya juga butuh kebebasan untuk berteman. Kalau sudah punya ini, pernikahan aman, persahabatan pun berjalan baik."
duar langsung terlalu banyak berpikir,Negatif,duar langsung terlalu banyak berpikir
capek begadang terus gara2 terlalu banyak berpikir :(,Negatif,Bosan begadang karena terlalu banyak mikir :(
kamu tahu? saya pikir sudah waktunya untuk mempercayai instiksi saya lebih banyak lagi.,Netral,kamu tahu? saya pikir sudah waktunya untuk mempercayai instiksi saya lebih banyak lagi.
"pernah cari makan malem sama crush dari duat ke sumber, manahan, balaikota, mojosongo, ujung2nya cuman makan 1 km deket rumah wkwkw.",Netral,"Pernah gak sih cari makan malam bareng Crush dari Duat ke Sumber, Manahan, Balaikota, Mojosongo, akhirnya makannya cuma 1 km dari rumah hahaha."
"curhat chanyeol ke mas crush jdnya begituu, antara sedih tp mo ngakak:slightly_smiling_face:",Netral,"Curhatan Chanyeol ke gebetannya itu kayak gitu, antara sedih tapi tetep ketawa :slightly_smiling_face:"
terlalu banyak berpikir itu nyikssaaaa,Negatif,berpikir terlalu banyak itu menyiksa
boleh lah staycation bareng ke bali,Netral,boleh lah staycation bareng ke bali
hati-hati! $ xrp dipompa oleh grup dengan 180.000 anggota. saya bahkan tidak tahu ini mungkin! mereka juga memompa $ eth dan $ btc. mereka akan memompa lagi besok!,Netral,awas! $xrp sedang dipompa oleh sebuah grup beranggotakan 180.000 orang. saya bahkan tidak tahu ini mungkin terjadi! mereka juga memompa $eth dan $btc. mereka akan memompa lagi besok!
"di samping skor, saya benar-benar menyukai kekejaman para pemain. yang sedang dikatakan, opsi kami di depan adalah yang menyedihkan",Positif,"di samping skor, saya benar-benar menyukai kekejaman para pemain. yang sedang dikatakan, opsi kami di depan adalah yang menyedihkan"
penyembuhan dengerin suara jamur,Netral,penyembuhan mendengarkan suara jamur
staycation di akhir ppkm level 4,Netral,staycation di akhir ppkm level 4
"sungguh, tempat ternyaman saat ini buat self healing",Positif,"benar-benar, tempat paling nyaman saat ini untuk penyembuhan diri"
tahun baru kemana aja? saya: benar -benar fcking saya: untuk fcking shake ny ini bahkan tidak membuat hype:,Negatif,ke mana saja kamu selama tahun baru? aku: beneran deh aku: buat shake sialan ini bahkan nggak masuk dalam daftar kehebohan:
bestie gak bisa bobok,Netral,sahabatku tidak bisa tidur
penyembuhan nya ke warunk: 3,Positif,penyembuhannya untuk warunk: 3
"[tuban 30 ° c] selamat siang… nasi jagung - secara harfiah diterjemahkan sebagai 'nasi jagung' - terlihat seperti couscous, tetapi terbuat dari jagung dan memiliki butiran yang lebih halus.:sun_with_face: @ maibit // t. co/a8oq1qj2lz",Netral,"[tuban 30°c] selamat siang… nasi jagung - secara harfiah diterjemahkan sebagai &#39;nasi jagung&#39; - terlihat seperti kuskus, tetapi terbuat dari jagung dan memiliki butiran yang lebih halus.:sun_with_face: @maibit // t.co/a8oq1qj2lz"
kaget bestie baru bangun tidur nct dream cmbk,Positif,bestie kaget baru bangun tidur nct dream cmbk
cuma takut sama diri sendiri takut udh ga sanggup overfinking tiap hari.,Negatif,"Aku hanya takut pada diriku sendiri, aku takut aku tidak akan mampu berbuat banyak setiap hari."
akhirnya mendapat tempat di mana saya bisa melakukan apapun yang saya inginkan,Positif,akhirnya aku punya tempat dimana aku bisa melakukan apapun yang aku mau
haruskah kalian peduli dengan teman -teman yang sebenarnya juga cerita cepuin itu? mereka ular rendah,Negatif,haruskah kamu peduli dengan teman yang sebenarnya juga cerita cepuin? mereka adalah ular rendahan
kami lulus bersama bestie :koala::hatching_chick:,Positif,kami lulus bersama sahabat kami :koala::hatching_chick:
"perlahan -lahan, perlahan tapi pasti, pasti akan mendapatkan hasil yang baik. постепенно, медленно, но верно, обihanзательно добьетесь хороших рлльтатов.",Positif,"pelan-pelan, pelan tapi pasti, anda pasti akan mendapatkan hasil yang baik. online juga."
self healing terbaik,Positif,penyembuhan diri terbaik
bahkan orang -orang bodoh tahu tidak ada yang selamanya ~,Netral,bahkan orang bodoh pun tahu bahwa tidak ada yang abadi ~
"staycation di bogor emang selalu menyenangkan, selain banyak kuliner makanan disini jagi sering turun hujan :blue_heart:",Positif,"Staycation di Bogor memang selalu menyenangkan, selain kulinernya yang banyak, disini juga sering hujan :blue_heart:"
saya: sepanjang hari berkeliaran di sekitar ranah idiot,Negatif,aku: seharian berkeliaran di dunia orang-orang bodoh
"menyembuhkan yang paling ideal adalah ""ketiban"" duit banyak, jajanin ortu, dan bepergian keliling indonesia.",Positif,"Pengobatan yang paling ideal adalah &quot;diberi&quot; banyak uang, berobat ke orang tua, dan jalan-jalan keliling Indonesia."
"lagi rame, gaslighting :rocket:",Negatif,"sibuk lagi, gaslighting :rocket:"
kondangan sendiri :check_mark_button: makan ayce sendiri :check_mark_button: jalan-jalan sendiri :check_mark_button: staycation sendiri :check_mark_button: ngopi sendiri :check_mark_button: tinggal nonton bioskop sendiri aja belum,Positif,pergi ke pesta pernikahan sendirian :check_mark_button: makan es sendiri :check_mark_button: jalan-jalan sendiri :check_mark_button: liburan sendiri :check_mark_button: minum kopi sendiri :check_mark_button: bahkan belum pergi ke bioskop sendiri
rekomendasi film horror **** bestie,Netral,**** rekomendasi film horor sahabat
"memanifestasikan cipar mengang, kantor ke bali :loudly_crying_face: disponsori",Positif,"memanifestasikan cipar mengang, kantor ke bali :loudly_crying_face: disponsori"
"ya allah, aku masih nunggu kiriman black/tuxedo kitten yg sehat lincah aktif bisa minum pup sendiri dan clingy ya. (doa spesifik) :face_with_tears_of_joy:",Positif,"Ya Tuhan, saya masih menunggu kiriman anak kucing hitam/tuxedo yang sehat, lincah, aktif, bisa minum kotorannya sendiri dan manja. (doa khusus) :face_with_tears_of_joy:"
"halaman 365 dari 365 bisa jadi tahun yg baik, tapi tetep harus di syukuri. banyak cobaan bgt, mulai positive covid, kuliah semester akhir, proposal dan skripsi yg luar biasa buat puyeng, nangis ""tiap malem karna overfinking terus"" an. tapi gapapa, tetep d syukuri sj. makasih ya, 2021",Positif,"Halaman 365 dari 365 Tahun ini mungkin tahun yang baik, tetapi tetap harus bersyukur. Banyak sekali cobaan, mulai dari positif Covid, kuliah semester akhir, proposal yang luar biasa, dan skripsi yang bikin pusing, nangis &quot;tiap malam karena keceplosan terus.&quot; Tapi tidak apa-apa, saya tetap bersyukur. Terima kasih, 2021"
"kalo emg aku salah, harusnya dia tuh bilang gitupa apa salah aku, supaya aku gak yang terlalu banyak berpikir dan berpikiran kana-kemana.",Negatif,"Kalau aku salah, seharusnya dia memberitahuku kesalahanku, supaya aku tidak terlalu banyak berpikir dan tersesat dalam berbagai hal."
"sebenarnya membutuhkan biaya 5 menit, else (inc desire) biaya satu jam",Netral,"sebenarnya biayanya 5 menit, kalau tidak (termasuk keinginan) biayanya satu jam"
"saya tidak tahu apakah ini akan menjadi tujuan saya dalam hidup atau hanya mengetik, tetapi saya akan menikmati dunia sambil menjadi kaya atau mati mencoba",Positif,"aku tidak tahu apakah ini akan menjadi tujuan hidupku atau hanya sekedar mengetik, tapi aku akan menikmati dunia ini sambil menjadi kaya atau mati dalam usahaku"
"oyasuminasai .. ayuchan ... selamat beriistirahat .. :sleeping_face::sleeping_face::sleeping_face: .. jaga seseehatan selalu .. jangan lupa sempatkan ohahraga atuu yoga:person_in_lotus_position: di akhir pekan, agar badian kamu sehat :flexed_biceps::flexed_biceps::flexed_biceps: .. tolong ... silakan ... besok & amp; hari minggu tetep usahain online yaa di twitter :folded_hands::folded_hands:",Positif,"oyasuminasai .. ayuchan ... selamat beristirahat .. :sleeping_face::sleeping_face::sleeping_face: .. jaga kesehatan selalu .. jangan lupa sempatkan olahraga atau yoga :person_in_lotus_position: di akhir pekan, agar badan tetap sehat :flexed_biceps::flexed_biceps::flexed_biceps: .. please... please... besok &amp; Minggu tetap usahakan online di twitter :folded_hands::folded_hands:"
1% kami bahkan mungkin bukan miliarder ...,Netral,1% kita mungkin bukan miliarder...
pulu kampung sarik liburan :zany_face:,Positif,desa pulu sarik liburan :zany_face:
aku benci bisa direkrut tapi-- ya,Negatif,Aku benci direkrut tapi-- ya
"akhirnya ""film nonton"" disela nugas .. gak berani pdahal takut kedistract nagih, tapi grgr spoiler jadi kepo haha 90/100 laaa buat kale:smiling_face_with_hearts:",Positif,"Akhirnya aku &quot;nonton film&quot; di sela-sela tugasku.. Nggak berani sih padahal takut diganggu, tapi spoilernya grgr bikin penasaran haha 90/100 laaa buat kale: laughing_face_with_hearts:"
apa hukumnya buat doi yang udh peka sama kodean kita tapi tetep bodoamat. perlu dijadiin opor buat lebaran kah bestie?,Negatif,"Apa hukumnya bagi mereka yang sudah peka terhadap kode kita tetapi masih saja bodoh? Apakah kamu membutuhkannya sebagai opor untuk lebaran, sahabat?"
apakah anda benar -benar datang ke bali jika anda tidak mengambil satu juta foto di kolam renang vila pribadi anda? tidak? hanya aku? :face_with_tears_of_joy: #****,Netral,apakah kamu benar-benar datang ke Bali jika kamu tidak mengambil sejuta foto di kolam renang vila pribadimu? tidak? hanya aku? :face_with_tears_of_joy: #****
"oh benar, jadi apakah band bernama mas 0094 atau onewe? apakah fandom l:cherry_blossom:vers atau weve? tidak heran bahkan nama fandom akan dicuri:/ daripada memperjuangkan nama fandom sendiri, anda memilih untuk melawan kelompok saudara anda. bagaimanapun, kami benar keluarga ~/s",Positif,"oh iya, nama bandnya mas 0094 atau onewe? fandomnya l:cherry_blossom:vers atau weve? pantas saja nama fandomnya dicuri :/ daripada berjuang demi nama fandom sendiri, kamu malah memilih melawan grup saudaramu. lagipula, kita ini keluarga sejati ~/s"
terimakasih kepada seluruh pihak yg telah ikut menyukeskan penyembuhan juli sebelum plp,Positif,Terima kasih kepada semua pihak yang telah membantu menyukseskan penyembuhan bulan Juli sebelum PLP
"apapun yang anda lakukan, terima kasih",Positif,"apapun yang kamu lakukan, terima kasih"
gagal staycation di jogja. gara² aturan libur yang mencla mencle :loudly_crying_face:,Negatif,gagal staycation di jogja. gara-gara aturan liburan yang gak konsisten :loudly_crying_face:
yang dibutuhkan saat panjang akhir pekan sekarang: penyembuhan sama bestie di bobocabin :pleading_face::sparkles:,Positif,apa yang dibutuhkan untuk liburan panjang sekarang: penyembuhan dengan sahabat di bobocabin :pleading_face::sparkles:
pengen muntah langsungan overhinking :face_vomiting:,Negatif,pengen muntah langsungan overhinking :face_vomiting:
"bestie rasa dulur gendeng moro-moro telpon suarane pelat karo nanges. enakno slur miber e, ojok balek sebelom 4d karo ketemu budha",Positif,"Bestie berasa lagi pake telpon moro-moro, suara ane di piring soalnya nanges. enak no slur miber e, ojok balek sebelum 4d karo ketemu budha"
"ketika saatnya tiba, saya ingin anda menjadi istri saya. berjalanlah dengan anda dalam panas dan hujan, berlarian dan tertawa :upside-down_face:",Positif,"bila saatnya tiba, aku ingin kau menjadi istriku. berjalan bersamamu dalam panas dan hujan, berlari dan tertawa :upside-down_face:"
org2 mba entah bagaimana muka2nya setipe gt deh. rapih2,Positif,Orang kangen entah kenapa punya tipe wajah yang sama. rapi2
"dlm hati berkata: enak ya jadi mereka bisa jalan kemana mana, bisa havfun, bisa ngerasain healing. tapi badan ini maunya rebahan mulu:relieved_face:",Negatif,"Dalam hati saya berkata: Enak aja mereka bisa jalan-jalan, bisa senang-senang, bisa merasakan kesembuhan. tapi badan ini malah pengen tiduran aja:relieved_face:"
sebenarnya aku tidak terkejut ~ seoho hanya menjadi :face_with_tears_of_joy:,Netral,sebenarnya aku tidak terkejut ~ seoho hanya saja :face_with_tears_of_joy:
"efek pygmalion, atau efek rosenthal, adalah fenomena psikologis di mana harapan tinggi menyebabkan peningkatan kinerja di area tertentu. efeknya dinamai untuk mitos pygmalion yunani, pematung yang sangat jatuh cinta dengan patung yang sangat indah",Netral,"efek pygmalion, atau efek rosenthal, adalah fenomena psikologis di mana harapan tinggi menyebabkan peningkatan kinerja di area tertentu. efeknya dinamai untuk mitos pygmalion yunani, pematung yang sangat jatuh cinta dengan patung yang sangat indah"
kelapa muda,Netral,kelapa muda
"saya secara acak mengambil racun saya sendiri, sementara saya tidak pernah tahu bahwa saya memilihnya secara acak juga karena pikiran saya terlalu berisik untuk ditanggung. inilah saya, menggelepar seperti ikan yang hampir mati di tengah danau yang luas ~",Negatif,"Aku memilih racunku sendiri secara acak, sementara aku tak pernah tahu bahwa aku juga memilihnya secara acak karena pikiranku terlalu berisik untuk ditanggung. Di sinilah aku, terombang-ambing seperti ikan yang sekarat di tengah danau yang luas~"
kita bukan bestie :clown_face:,Negatif,kami bukan sahabat :clown_face:
"disini mah, dibawah jam 11 malem udah ngantuk dan udah tidur. coba kalo dijogja jam segitu masih kuat melek sampe jam 1. faedah bgt sekalian healing kalo pulkam tuh:smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes:",Positif,Di sini jam 11 malam saya sudah ngantuk dan sudah terlelap. Coba kalau di Jogja jam segitu masih bisa baca-baca sampai jam 1 siang. Bermanfaat banget buat penyembuhan kalau pulkam: wajah_tersenyum_dengan_mata_tersenyum::wajah_tersenyum_dengan_mata_tersenyum:
"udah pernah ngerasain nyeterika sambil overhinking belum? kalo belum, cobain deh ... rasananya, aaaahhhh, mantap !!!!! wkwkwk",Negatif,"Pernahkah Anda merasa ingin menyetrika sambil berpikir? Jika belum, cobalah... rasanya, aaaahhhh, mantap!!!!! hahaha"
cek shira media - penyembuhan diri oleh thought force - william atkinson delangan rp28.080. dapatkan di shopee sekarang!,Netral,cek shira media - penyembuhan diri oleh thought force - william atkinson delangan rp28.080. dapatkan di shopee sekarang!
"sumpahhh garcia siapa ji ini asli si overhinking berlebuhan malam ini, garcia siapa sihhh kenapa ada apa aduhhhh mantan apa keluarga apa degan apa apa yg menghancurkan karir ji ji apa gigana.",Negatif,"sumpahhh garcia siapa ji ini asli si overhinking berlebuhan malam ini, garcia siapa sihhh kenapa ada apa aduhhhh mantan apa keluarga apa degan apa apa yg menghancurkan karir ji ji apa gigana."
bestie bersama ke -4 .. :men_with_bunny_ears:,Netral,sahabat bersama yang ke-4.. :men_with_bunny_ears:
"dan sekarang 2021 telah secara resmi meninggalkan kami, sementara 2022 telah secara resmi datang.",Netral,"dan kini tahun 2021 telah resmi meninggalkan kita, sedangkan tahun 2022 telah resmi tiba."
nunggu ayam panggang klaten datang. secara harfiah!,Netral,Menunggu ayam panggang Klaten datang. Sungguh!
"saya berada di kompetisi whitelist! 1,4 juta+ pemegang dan hanya 10.000 nft! ini bisa menjadi nft viral berikutnya, sementara 1 entri akan memenangkan usdt $ 50k! plus itu membantu masukkan di",Netral,"Saya ikut kompetisi daftar putih! 1,4 juta+ pemegang dan hanya 10.000 NFT! Ini bisa menjadi NFT viral berikutnya, sementara 1 entri akan memenangkan $50k USDT! Ditambah lagi, ini membantu masuk"
bertemu mantan yg sudah menjadi bestie,Netral,bertemu mantan yang telah menjadi sahabat
"bahkan tidak ada sentuhan yang nyata, hanya layar sentuh dengan yang dijanjikan dan masa depan. pada akhirnya, anda hanya memiliki neneknya sebagai satu -satunya pilihan. bahkan orang idiot di as bisa menikah dengan lebih baik tanpa kewajiban untuk memahami selamanya",Negatif,"bahkan tidak ada sentuhan nyata, hanya layar sentuh dengan janji dan masa depan. pada akhirnya, Anda hanya memiliki neneknya sebagai satu-satunya pilihan Anda. bahkan orang idiot di AS dapat menikah lebih baik tanpa kewajiban untuk mengerti selamanya"
terlalu banyak berpikir nggk jelas berkedok insomnia:woozy_face:,Negatif,berpikir terlalu banyak tidak jelas di balik kedok insomnia:woozy_face:
"lagi asik2 ig an, tiba2 ada sms pop up, wis panik kok moro2 paketane habis, overfinking, pas dibuka penuh ternyitii hmm",Negatif,"Saya lagi asyik-asyiknya iseng, tiba-tiba ada pop up SMS, saya panik kenapa paketnya habis semua, keceplosan, pas dibuka ternyata penuh, bunyinya, hmm"
paling jantan kalau naik taksi kepo online banget drivernya nanya-nanya kerja lah apalah.,Negatif,"Orang paling jantan kalau naik taksi online itu yang kepo banget, sopirnya nanya kerjaan dan apa aja."
tidak ada: secara harfiah tidak ada: mama: kok tadi mama ga liat malkis ya. kan belum nggendong sebelum pergi.,Netral,tidak ada: benar-benar tidak ada: ibu: mengapa kamu tidak melihat Malkis sebelumnya? Kamu belum menggendongnya sebelum pergi.
":warning:yang pernah ghosthing di gua:warning:bersyukur deh lu paada masih menyembunyikan tenang, kagak gua spill kelakuan lu yg ghosting ke guagausi sok kecakepan lo, muka muka mulus gua drpada lo. untung2 an lu gua nerima lu apa adanya, gua baper sama lo, nerima segala kekurangan lo",Negatif,":warning:siapa yang selama ini menghilang dalam diriku:warning:aku bersyukur kamu masih bersembunyi dengan tenang, aku tidak menumpahkan perilaku menghilangmu pada diriku yang sok penting, wajahku lebih mulus darimu. Beruntungnya kamu, aku menerimamu apa adanya, aku bahagia bersamamu, menerima semua kekuranganmu"
"pulu dari tongkrongan happy, lewati di tempat tidur kok jadi terlalu berpikir",Negatif,"Ribuan nongkrong bahagia, dilalui di ranjang, kenapa aku terlalu banyak berpikir?"
banyak tanya purwokerto mana ?? aku sambil diem bilang entahlah bla bla :grinning_face_with_sweat::rolling_on_the_floor_laughing: malas banget kepo purwokerto mana :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,Netral,"Banyak orang bertanya, Purwokerto itu di mana?? Saya diam-diam bilang nggak tahu bla bla :grinning_face_with_sweat::rolling_on_the_floor_laughing: Saya malas banget, nggak tahu Purwokerto itu di mana :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:"
kalo lagi sangan tingkat ke-clingy-an naik secara eksponensial seperti gerak lurus berubah beraturan,Netral,"ketika kamu benar-benar bergantung, tingkat ketergantungan meningkat secara eksponensial seperti gerakan garis lurus yang berubah menjadi gerakan biasa"
