emoji_en,label,backtranslated_tweet
"""the sight of an indigo sky was beautiful. it was when darkness allowed light to shine for a while. ""nimisha toshniwal :folded_hands::wrapped_gift::blue_heart: @ badung, bali, indonesia",Positif,"&quot;the view of the indigo sky is beautiful. when the darkness lets the light shine for a while.&quot; nimisha toshniwal :folded_hands::wrapped_gift::blue_heart: @ badung, bali, indonesia"
"ㄴㅇ ㅅㅌ thank you, you guys are the best fandom! never complicated, never noisy, so santuy, fokez and our boys never babibu bacot war wor wor ga **** :folded_hands_light_skin_tone: i am on the right track for 10 years :folded_hands_light_skin_tone: out",Positif,"ㄴㅇ ㅅㅌ thank you, you are the best fandom! never complicated, never noisy, so santuy, fokez and our children never babble war wor wor ga **** :folded_hands_light_skin_tone: i&#39;ve been on the right track for 10 years :folded_hands_light_skin_tone: get out"
who is crying as you watch maleficent? even have bewatch mantalled? i.,Negatif,who cried when you watched maleficent? even bewatch mantalled? me.
this is the point.,Netral,Here&#39;s the gist of it.
3 point to the gunners,Netral,3 points for the gunners
kobo is actually argentina :Argentina: sky blue & amp; white the sun means the bright weather as her job is to expect the rains vamos argentina :Argentina: messi goat :goat:,Netral,kobo is actually argentina :Argentina: blue sky &amp; white sun means sunny weather because his job is to wait for the rain vamos argentina :Argentina: messi goat :goat:
"do you try to see things from their points of view as well or do you try to make them understand you? you can both be telling the truth but each from your own perspective. understanding that alone, can stop lots of conflicts.",Netral,Are you trying to see things from their perspective too or are you trying to make them understand you? You can both tell the truth but each from your own perspective. Just understanding that can stop a lot of conflict.
"i'm actually lazy to be friends with people who are homophobic (+transphobic) & amp; all around hate feminism+socialism. but, since they were good with me & amp; sometimes i like to help me, so i compromise here and there in the association even though the original i was very contradictory.",Negatif,"I am actually lazy to befriend people who are homophobic (+transphobic) &amp; who generally hate feminism + socialism. However, because they are nice to me &amp; sometimes like to help me, then I compromise here and there in my social life even though my real self is very contradictory."
"tft, happy healing is accompanied .....",Positif,"tft, happy healing accompanied by....."
hey furu fam! which superhero is your most favorite one? mine is spiderman !! because he somehow relates to our teenage life and i like his suit as well !! i dedicated this mosu x spiderman = spidermosu! ****,Netral,Hi Furu family! Which superhero do you like the most? My superhero is Spiderman!! Because somehow he relates to our teenage life and I also like his costume!! I present this costume mosu x spiderman = spidermosu! ****
"playing close friend but not means it can share anything ... the name is human, even though it can be a friend even if you are a bitten if you are in the same.",Negatif,Playing as close friends doesn&#39;t mean you can share anything. Humans can be friends even if they are bitten by fellow humans.
"the question is: is indonesia still get easy an eastern military equipment such as russia? all compans that related to russia now has sanctioned by u.s. which mean small possibility to get moring equipment from :Russia:, especially export ""downgrade"" of su-35k kommercheskiy",Netral,"The question is: is it still easy for Indonesia to get military equipment from the East like Russia? All companies related to Russia are now sanctioned by us which means it is unlikely to get military equipment from Russia, especially the export of the &quot;downgrade&quot; Su-35K Kommercheskiy"
boss i have a tour healing but my friends don't want to take a vacation really strange my friends :(,Negatif,"My boss has a healing tour but my friends don&#39;t want to go on holiday, it&#39;s really strange, friends :("
self healing self healing your eyes a,Negatif,self healing self healing your eyes
"because open the line instead of flashback, open ig how come there is no photo standing. overthinking .. why here",Negatif,"because when you open line it&#39;s not a flashback, when you open IG there&#39;s no standing photo. I keep thinking... why are you here?"
"immerse in the tropical paradise:palm_tree::coconut: which one is your favorite? 1, 2, or 3? @ nusa penida bali",Netral,"drowning in tropical paradise :palm_tree::coconut: which one is your favorite? 1, 2, or 3? @ nusa penida bali"
wrong overthinking clock,Negatif,wrong overthinking hours
overthinking again?,Negatif,overthinking again?
pumya someone who immediately understands without my problems,Positif,have someone who understands immediately without my problems
"not only marriage, overworking can already make us no time for friends. the key is only one, you have a support system. it's simple, the husband understands that his wife also needs freedom of friends. if you have this, marriage is safe, friendly friendship.",Negatif,"not only marriage, working too much can make us have no time for friends. The key is only one, you have a support system. It&#39;s simple, the husband understands that his wife also needs freedom to make friends. If so, marriage is a safe and intimate friendship."
duar directly overthinking,Negatif,duar immediately overthink
tired of staying up late because of overthinking :(,Negatif,tired of staying up late because of thinking about many things :(
you know? i think it's time to trust my instict even more.,Netral,You know what? I think it&#39;s time to trust my instincts a little more.
"never look for dinner with crush from house to source, manahan, city hall, mojosongo, in the end, only 1 km near the house.",Netral,"Never look for dinner with your crush from home to Sumber, Manahan, City Hall, Mojosongo, in the end it&#39;s only 1 km from home."
"confide chanyeol to mas crush so it is like that, between sad but mo",Netral,"Chanyeol confided in his crush, so it&#39;s like that, it&#39;s sad but okay"
overthinking is tortured,Negatif,overthinking is torturous
may stay together together to bali,Netral,maybe live together to bali
"careful! $ xrp is getting pumped by a group with 180,000 members. i did not even know this was possible! they also pumped $ eth and $ btc. they will pump again tomorrow!",Netral,"watch out! $xrp is being pumped by a group of 180,000 people. I didn&#39;t even know this was possible! They are also pumping $eth and $btc. They will pump again tomorrow!"
"score aside, i actually like the feisty-ness of the players. that being said, our options in front are pathetic",Positif,"Apart from the score, I like the spirit of the players. However, our selection up front is pathetic."
healing listening to mushroom sound,Netral,healing listening to the sound of mushrooms
staycation at the end of ppkm level 4,Netral,staycation at the end of ppkm level 4
"really, the most comfortable place for self healing",Positif,really the most comfortable place for self-healing
where have you been a new year? me: really fcking me: for fcking shake this ny does not even make some hype:,Negatif,where have you been this new year? me: seriously me: for fuck sake this dance doesn&#39;t even make a sensation:
can't bobok bestie,Netral,can&#39;t sleep friend
healing to warunk: 3,Positif,healing for warunk: 3
"[tuban 30 ° c] good afternoon ... corn rice - literally translated as 'corn rice' - looks like couscous, but made of corn and has finger grains. co/a8oq1qj2lz",Netral,"[tuban 30°c] good afternoon...rice corn - literally translated as &#39;corn rice&#39; - looks like couscous, but is made from corn and has finger-like grains. co/a8oq1qj2lz"
shocked bestie just woke up nct dream cmbk,Positif,bestie shocked just woke up nct dream cmbk
"just afraid of yourself, i am afraid that i can't overthinking every day.",Negatif,"just afraid of yourself, I&#39;m afraid I can&#39;t think too much every day."
finally got a place where i can do whatever i want,Positif,finally i have a place where i can do whatever i want
should y'all be concerned with the friends who's actually cepuin is story too? they're low-key snake,Negatif,should you worry about the friends who are actually cepuin in the story? they are humble snakes
we graduated together bestie :koala::hatching_chick:,Positif,we graduated together best friend :koala::hatching_chick:
"gradually, slowly but surely, will definitely get good results. посепено, медлено, но верно, бязело добес хороших резллов.",Positif,"Gradually, slowly but surely, it will definitely produce good results. посепено, медлено, но верно, бязело добес хороших резллов."
best self healing,Positif,best self healing
even the fools know nothing is forever ~,Netral,even a fool knows that nothing lasts forever ~
"staycation in bogor is always fun, besides a lot of food culinary here it also often rains :blue_heart:",Positif,"Staycation in Bogor is always fun, besides the many culinary delights, it also often rains here :blue_heart:"
me: all day wandering around the realm of idiots,Negatif,me: wandering all day in a world of fools
"the most ideal healing is ""more"" money, parents' snacks, and traveling around indonesia.",Positif,"the most ideal cure is &quot;more&quot; money, snacks from parents, and traveling around Indonesia."
"again crowded, gaslighting :rocket:",Negatif,"busy again, gaslighting :rocket:"
self -invitation :check_mark_button: eat your own ayce :check_mark_button: own traveling :check_mark_button: staycation itself :check_mark_button: coffee own :check_mark_button: just watching your own cinema,Positif,invitation alone :check_mark_button: eat alone go out :check_mark_button: staycation alone :check_mark_button: coffee alone :check_mark_button: watch movies alone
**** bestie horror film recommendations,Netral,**** horror movie recommendations from friends
"manifesting wins cipar, sponsored by office to bali :loudly_crying_face:",Positif,"realizing cipar victory, sponsored by the office in bali :loudly_crying_face:"
"o allah, i'm still waiting for a healthy black/tuxedo kitten shipment that is active actively able to eat pup yourself and clingy. (specific prayer) :face_with_tears_of_joy:",Positif,"Oh God, I&#39;m still waiting for a delivery of a healthy, active, and spoiled black/tuxedo kitten. (special prayer) :face_with_tears_of_joy:"
"page 365 of 365 it could be a good year, but still have to be grateful. many trials, starting from positive covid, final semester lectures, exceptional proposals and theses for quotes, crying ""every night because of overthinking continues"" an. but it's okay, still be grateful for sj. thanks, 2021",Positif,"page 365 of 365 may be a good year, but still have to be grateful. many trials, starting from positive covid, final semester lectures, proposals and theses that are extraordinary for quotes, crying &quot;every night because of overthinking&quot;. but it&#39;s okay, still be grateful. thank you, 2021"
"if i was wrong, he should say that what was my fault, so that i didn't overthinking and thought anywhere.",Negatif,"If I was wrong, he should have said it was my fault, so that I wouldn&#39;t think all sorts of things and go all over the place."
"actually showering cost 5min, else (inc desire) cost an hour",Netral,"Taking a shower actually takes 5 minutes, otherwise (including desire) it takes an hour"
"i don't know if this will be my goal in life or just typing, but i will enjoy the world while get rich or die tryin",Positif,"I don&#39;t know if this will be my life&#39;s purpose or just typing, but I will enjoy this world while getting rich or die trying"
"oyasuminasai .. ayuchan ... happy resting .. :sleeping_face::sleeping_face::sleeping_face: .. take care of your health always .. don't forget to take the sport or yoga:person_in_lotus_position: on the weekend, so that your body is healthy :flexed_biceps::flexed_biceps::flexed_biceps: .. and .. please ... tomorrow & amp; sunday keep trying online on twitter :folded_hands::folded_hands:",Positif,"oyasuminasai .. ayuchan ... have a good rest .. :sleeping_face::sleeping_face::sleeping_face: .. always take care of your health .. don&#39;t forget to exercise or do yoga :person_in_lotus_position: on the weekend, to keep your body healthy :flexed_biceps::flexed_biceps::flexed_biceps: .. and .. please ... tomorrow &amp; Sunday keep trying to be online on twitter :folded_hands::folded_hands:"
our 1% may not even be billionaires ...,Netral,1% of us may not be billionaires...
return home while on vacation :zany_face:,Positif,going back to hometown during the holidays :zany_face:
i hate to be relatable but- yeah,Negatif,I hate being a pushover but- yeah
"finally ""watch the film"" disseled out .. i don't dare to be afraid of the distribution of nagih, but grgr spoilers become kepo haha ​​90/100 laaa for kale:smiling_face_with_hearts:",Positif,"finally finished &quot;watching the film&quot;..don&#39;t have the courage to be afraid of being spread out, but the spoiler grgr is annoying haha ​​90/100 laaa for kale:smiling_face_with_hearts:"
what is the ruling for doi who are already sensitive to our code but still bodoamat. need to be an opor for lebaran bestie?,Negatif,What is the law for those who are already sensitive to our code but are still stupid? Do you need to be an opportunity for your bestie&#39;s Eid?
did you really even events come to bali if you don't take a million photos in your private villa's pool? no? just me then? :face_with_tears_of_joy: #****,Netral,would you really come to Bali if you didn&#39;t take a million pictures in your private villa pool? no? just me? :face_with_tears_of_joy: #****
"oh right, so is the band called mas 0094 or onewe? is the fandom l:cherry_blossom:vers or weve then? no wonder even the fandom name is about to get stolen:/ rather than fight for own fandom name, you choose to fight your brother group. right we r family after all ~/s",Positif,"Oh yeah, is the band name 0094 or onewe? The fandom is l:cherry_blossom:vers or weve? No wonder the fandom name was almost stolen :/ Instead of fighting for your own fandom name, you chose to fight your brother&#39;s group. After all, we are family ~/s"
thank you to all parties who have participated in the success of healing july before plp,Positif,Thank you to all parties who have participated in making the July healing a success before PLP
"whatever you do, thank you",Positif,"whatever you do, thank you"
failed staycation in jogja. because the rules for the holiday that mendla miele got,Negatif,staycation failed in jogja. because of the holiday rules that were found in mendla miele
what is needed during long weekend now: healing and bestie at bobocabin :pleading_face::sparkles:,Positif,what is needed during the long holiday now: healing and friends in bobocabin :pleading_face::sparkles:
want to **** overthinking :face_vomiting:,Negatif,want to **** overthink :face_vomiting:
"bestie rasa dulur gendeng moro-moro telephone suarane karo nanges plate. tastyno slur miber e, ojok balek before 4d karo met budha",Positif,"bestie tastes crazy brother moro-moro phone voice with nanges plate. yummyno slur miber e, ojok balek before 4d with meeting buddha"
"when the time comes, i want you to be my wife. walking with you in the heat and rain, running around and laaugh :upside-down_face:",Positif,"when the time comes, i want you to be my wife. walking with you in the heat and rain, running and laughing :upside-down_face:"
org2 mba somehow the faces are the same as gt. neat,Positif,"For some reason, these people have the same faces as GT. neat"
"in his heart said: it's delicious so they can walk anywhere, can havefun, can feel healing. but this body wants to lie down first",Negatif,"in his heart he said: it would be great to be able to travel anywhere, to be able to have fun, to be able to feel healed. but this body wants to lie down first"
i'm not surprised actually ~ seoho is just being :face_with_tears_of_joy:,Netral,I&#39;m not actually surprised~ seoho is just acting :face_with_tears_of_joy:
"the pygmalion effect, or rosenthal effect, is a psychological phenomenon in which high expectations lead to improved performance in a given area. the effect is named for the greek myth of pygmalion, the sculptor who fell so much in love with the perfectly beautiful statue",Netral,"The Pygmalion effect, or Rosenthal effect, is a psychological phenomenon in which high expectations lead to increased performance in a particular area. The effect is named after the Greek myth of Pygmalion, a sculptor who fell deeply in love with a statue of extraordinary beauty."
young coconut,Netral,young coconut
"i randomly take my own poison, while i never know that i choose it randomly too because my mind is too noisy to be bear. here i am, flundering like a nearly dead fish in the middle of dry vast lake ~",Negatif,"I randomly picked my own poison, while I never knew that I chose it randomly too because my mind was too noisy to bear. Here I am, drifting like a dying fish in the middle of a dry and vast lake~"
we are not bestie :clown_face:,Negatif,we are not friends :clown_face:
"here mah, under 11 o'clock in the evening already sleepy and already sleeping. try if you are in the same time at that time it's still strong literacy until 1 o'clock.",Positif,"Here, at 11pm I&#39;m already sleepy and I&#39;m already asleep. Try it if at the same time you still have strong literacy until 1 pm."
"have you ever felt the **** while overthinking yet? if not, try it ... taste, aaaahhhh, great !!!!! wkwkwk",Negatif,"Have you ever experienced that when you were overthinking? If not, give it a try...taste it, aaaahhhh, great!!!!! hahaha"
"check shira media - self -healing by thought force - william atkinson at a price of rp28,080. get it in shopee now!",Netral,"Check out shira media - self-healing by thought force - william atkinson for rp28,080. get it on shopee now!"
"oathhh garcia who is ji this is the original overthinking tonight, garcia who is why there is what is the ex -ex -family what is the evil person what destroys ji's career what deg deg an njirrr.",Negatif,"oathhh garcia who is this ji who is overthinking tonight, garcia who why what is happening ex-ex-family who is the bad person what is destroying ji&#39;s career what is nervous njirrr."
4th with bestie .. :men_with_bunny_ears:,Netral,4th with my best friend.. :men_with_bunny_ears:
"and now 2021 has official left us, while 2022 has official come.",Netral,"and now 2021 has officially left us, while 2022 has officially arrived."
wait for klaten's grilled chicken to come. literally!,Netral,wait for the klaten grilled chicken to arrive. literally!
"i am in the whitelist competition! 1.4 million+ holders and only 10,000 nfts! this could be the next viral nft, while 1 entry will win $ 50k usdt! plus it helps enter at",Netral,"I entered the whitelist competition! 1.4 million+ holders and only 10,000 NFTs! This could be the next viral NFT, while 1 entry will win $50k USDT! Plus, it helps get in"
meet the former who has become bestie,Netral,meet your ex who is now your best friend
"not even a real touch, just touch screen with fake promised and future. at the end, you only hv her grandmother as the only choice. even idiots in usa could married better wmn without obligations to understanding forever",Negatif,"even without real touch, just a touch screen with false promises and future. in the end, you only have his grandmother as the only choice. even an idiot in the US can marry a better woman without the obligation to understand each other forever"
overthinking nggk is clearly under the guise of insomnia:woozy_face:,Negatif,Thinking too much is clearly a disguise for insomnia:woozy_face:
"again cool ig, suddenly there is a pop up sms, wis panicked how moro2 paketane runs out, overthinking, when it is fully opened hmm",Negatif,"IG was cool, suddenly there was an SMS pop up, I was panicking about how many packages had run out, overthinking, when I opened it completely hmm"
"most lazy if you take an online taxi, the driver is asking for work.",Negatif,The most annoying thing about taking an online taxi is that the driver asks for work.
no one: literally no one: mama: how come mama didn't see malkis. you haven't carried out before leaving.,Netral,no one: really no one: mom: why didn&#39;t you see malkis. you haven&#39;t done it before you left.
":warning: those who have been ghosthing in the cave. you are grateful that you still live calmly, i don't have your behavior that ghosting to guaga is pretending to be your face, my face is also smooth from you. luckily, i received you as it was, i baper with you, accepting all your shortcomings",Negatif,":warning: who has been ghosting me all this time. be thankful that you are still living peacefully, I don&#39;t have your behavior of ghosting me who pretends to be your face, my face is also smooth from you. luckily I accept you as you are, I am emotional with you, accept all your shortcomings"
"returning from happy hold, pass in the bate is one overthinking",Negatif,"back from the happy grip, passing the bait is one of the overthinking"
"which purwokerto ask? i was shut up, i don't know, i don't know, blah blah :grinning_face_with_sweat::rolling_on_the_floor_laughing: so lazy to purwokerto where :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:",Netral,"Which Purwokerto ask? I just shut up, I don&#39;t understand, I don&#39;t understand, blah blah :grinning_face_with_sweat::rolling_on_the_floor_laughing: really lazy where to go to Purwokerto :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laugh ing:"
"if you have a painful level of clingy, it rises exponentially as a straight motion changes irregularly",Netral,"if you have a painful level of dependency, it increases exponentially when straight movements change irregularly"
"if you do your prayer chat, don't be disturbed first, just cry and overthinking, coz, you're routine :folded_hands:",Negatif,"If you&#39;re talking about prayer, don&#39;t be disturbed, just cry, think about nonsense, because it&#39;s routine :folded_hands:"
just spill sis,Netral,just spill it sis
happy dl we are with white gray bestie :face_blowing_a_kiss::smiling_face_with_hearts: req tkt loses :musical_notes::musical_notes:,Positif,congratulations on our together with our white and grey friends :face_blowing_a_kiss::smiling_face_with_hearts: req tkt kalah :musical_notes::musical_notes:
"admin bewoknya really gemoy, i want to be a crush.",Positif,"The male admin is really cute, he wants to be your crush."
"spartan .. monitoring supervision of buffer zone, rdt antigen free logistics transportation and validation of travel requirements documents via asdp ketapang and tanjungwangi port. the check point sritanjung terminal",Netral,"spartan..monitoring supervision of buffer zones, logistics for transporting free RDT antigens and validation of travel requirement documents through ASDP Ketapang and Tanjungwangi ports.check point Sritanjung terminal"
what are you doing? spill the tea!,Netral,What are you doing? Reveal the secret!
clingy bet njirr :weary_face:,Negatif,njirr sticky bet :weary_face:
"built in 1962, sarinah is the first modern department store in indonesia which has been supporting local goods since its first operation in 1966 @ sarinah store thamrin",Netral,"built in 1962, sarinah is the first modern department store in indonesia that has supported local products since it first operated in 1966 @ sarinah thamrin shop"
"asmara is destroyed, so cagur, healing invited to always slide, even though unemployed, move not **** -_-",Negatif,"love is broken, so cagur, healing is invited to always slide, even though unemployed, moving not **** -_-"
i really love to see some of the audience were so double and even woo them down because of using english. but these fellas prove wrong! **** yeah!,Positif,I really enjoy seeing some viewers being double-minded and even teasing them for using English. But these people were proven wrong! **** yes!
which is really fun and i really feel true happy and excited because of all k-pop it's what always cheers me up but i don't know with myself what else i've been up to lately but i have to be happy because it's halloween which i like and i like and what i'm waiting for :jack-o-lantern::jack-o-lantern::jack-o-lantern:,Positif,which is so much fun and i really feel happy and excited because all k-pop is what always cheers me up but i don&#39;t know about myself what else i&#39;ve been doing lately but i have to be happy because this is halloween which i love and i like and what i&#39;ve been waiting for :jack-o-lantern::jack-o-lantern::jack-o-lantern:
"let's take a walk first, but no one can join #리노 #스트레이 키즈",Netral,"let&#39;s go for a walk first, but no one can join #리노 #스트레이 키즈"
saturday night. not watching rose karo jack dating ae :relieved_face: night,Positif,saturday night. didn&#39;t watch rose karo jack dating ae :relieved_face: night
"at this hour, the aj overthinking hours",Negatif,"at this hour, aj overthinking hours"
"manifest this may with life full of hahahihi, work smoothly, plenty of time for healing, but the contents of the wallet are still amen! :thumbs_up:",Positif,"This can be realized with a life full of hahaha, smooth work, lots of time for healing, but the contents of the wallet are still amen! :thumbs_up:"
"my friend gave another challenge, just like when i answered manuela back then. this time it was barry. and again, what i made again amazed my friends. even if there is another challenge, hopeful i can do it. :beaming_face_with_smiling_eyes::fire:",Positif,"my friend gave me another challenge, just like when I answered Manuela before. this time Barry. and again what I made made my friends amazed. if there is another challenge, I hope I can do it. :beaming_face_with_smiling_eyes::fire:"
"now i know trust issues is real, and it only so bad",Negatif,"now i know trust issues are real, and they are just that bad"
will burnout genshin wkwk,Negatif,going to burnout genshin wkwk
croffle + ovomaltine + es cream brown = honestly endulita :smiling_face:,Positif,croffle + ovomaltine + brown ice cream = honestly endulita :smiling_face:
cape overthinking,Negatif,overthinking cloak
"carats, our maknae is now at 11th place! keep voting for him consistent, let's enter top 10 or even more before the poll ended:pleading_face::yellow_heart: #디노 #세븐틴",Netral,"carats, our maknae is now in 11th place! keep voting for him, let&#39;s get into the top 10 or even more before the poll ends:pleading_face::yellow_heart: #디노 #세븐틴"
healing how come mam boncabe :rolling_on_the_floor_laughing:,Negatif,"healing, mam boncabe :rolling_on_the_floor_laughing:"
hobby pram 2021: deeptalk with people.,Netral,baby stroller hobby 2021: deep talk with people.
"d-1 began to be restless, mager, and overthinking",Negatif,"d-1 starts to feel restless, lazy, and thinks a lot"
not having anxiety,Positif,not experiencing anxiety
honestly ... aespa visual is average ..,Netral,to be honest.. aespa&#39;s visuals are just so-so..
"occasionally, narcissistic can admire yourself. :rolling_on_the_floor_laughing::smiling_face_with_smiling_eyes::face_with_hand_over_mouth: :growing_heart: @ pamulang tangsel",Positif,sometimes narcissists can be amazed by themselves. :rolling_on_the_floor_laughing::smiling_face_with_smiling_eyes::face_with_hand_over_mouth: :growing_heart: @ pamulang tangsel
at this time i don't think anyone lol. i think cmn. im near numb. i can still feel the hurt. but not as bad as before even though this one supposed to hurt me more. im near numb.,Negatif,at this point i dont think anyone is laughing. i think cmn. i am almost numb. i can still feel the pain. but not as bad as before even though this one should hurt me more. i am almost numb.
overthinking huh? yeah yes,Negatif,thinking too much huh? yeah yeah
just sent a video @ zone santuy,Netral,just sent a video @zona santuy
this self is easy to mood swing skali,Negatif,I have mood swings very easily
"denial is allowed, but if you feel there is certainty, why not?",Netral,"Denial is allowed, but if you feel there is certainty, why not?"
self healing,Positif,self healing
"yahne og overthinking yahene i madang brouu, lawuhe ro gule le gawe mamak want jozzzz bingits clouds",Negatif,"Well, and overthinking well, bro, I&#39;m going to do something really cool, bro"
"for myself in 2020 thank you for surviving so far, you deserve to be happy, you deserve to get love, you deserve to have friends, you deserve to choose with whom you can be happy. don't overthinking, don't be selfish, don't be proud to say sorry,",Positif,"for myself in 2020 thank you for surviving this far, you deserve to be happy, you deserve to get love, you deserve to have friends, you deserve to choose who you can be happy with. don&#39;t think too much, don&#39;t be selfish, don&#39;t be arrogant to apologize,"
"2021 - happy, huring, healing at the same time :slightly_smiling_face:",Netral,"2021 - happy, hurt, and healed at the same time :slightly_smiling_face:"
meditation tonight is really good. all the burden feels just evaporated. hopefully this healing business is blessed ~ suwun gusti jesus :blue_heart:,Positif,tonight&#39;s meditation was great. all the burdens just evaporated. may this healing effort be blessed ~ suwun gusti jesus :blue_heart:
overthinking with yourself,Negatif,thinking too much with yourself
even connor still learned despite being the wealthiest athlete in the world,Positif,even connor is still learning despite being the richest athlete in the world
i have a crush on you faithful but then it crashed me,Negatif,"I fell in love with you, loyal but then it destroyed me"
"org-org likes to want to take time to the fact that it is actually bnr-bnr alone weh, naha i can be able to do it myself. gatau why, just to the alfa in front of the intersection in the anter",Negatif,"People like to take the time to actually do it themselves, well, I can do it myself. I don&#39;t know why, just go to Alfa in front of the intersection and take the lead"
it's almost like the **** that actually like girls be hiding:melting_face::melting_face:,Negatif,almost like **** which girls actually like :melting_face::melting_face:
this ..... zara are actually 18 how can he ..... ah already,Negatif,"This.....Zara is actually 18 years old, how can that be...ah never mind"
"the way i overuse the ""honestly"" term today is concerned",Negatif,the way I overuse the term &quot;honest&quot; these days is
"gosh, deep ya:OK_hand_light_skin_tone: thanks for your attention bestie. :weary_face::sneezing_face:",Positif,"oh, in my heart yes:OK_hand_light_skin_tone: thank you for your concern, my friend. :weary_face::sneezing_face:"
name: nn.d hobby: invite overthinking together,Negatif,name: nn.d hobby: inviting people to think together
even the homecoming queen cries ... ~,Netral,even the school prom queen cried... ~
"****, i am thanks for you before it even happened.",Positif,"****, I thanked you even before that happened."
sold all my $ btc for $ eth and some altcoins under ethereum network a while ago. so far so good.,Positif,sold all my $btc for $eth and some altcoins on the ethereum network a while ago. so far so good.
"waiting on mas-mas laundry who is going to buy food. literally .. (pictured here, le me who haven't taken a shower in 2 days)",Netral,waiting at the laundry for the guys who want to buy food. Seriously.. (the one in the photo here is me who hasn&#39;t showered for 2 days)
the hours are overthinking ..,Negatif,the clock is thinking too much..
"happy friday hasn't been a portfolio photo for a long time • some pictures are excited for weekends even you just sleep at home. • • @ medan, indonesia",Positif,"happy friday long time no portfolio photo • some spirited pictures for the weekend even if you just sleep at home. • • @ medan, indonesia"
(self healing!) everything will turn away ... all will refund to each of them ... it is not a self-purpose ... but to see the situation and condition ... and take a relevant way ... so it is not broken ... //t.co/7t5jemdush,Positif,(self healing!) all will turn... all will return to each individual... not for self healing... but to see the situation and conditions... and take the right path... so as not to be damaged...//t.co/7t5jemdush
"your project is very good, the whitepaper is also very clear, i hope your project can be successful and successful in the future. i also hope the community can grow even bigger than now .. to you",Positif,"your project is very good, the whitepaper is also very clear, i hope your project can be successful and succeed in the future. i also hope the community can grow bigger than now.. for you"
"even it's just one person who wo watch my premiere, im still thanks for that:folded_hands:",Positif,"even if only one person watched my premiere, i&#39;m still grateful for that :folded_hands:"
"stay calm, still, santuy bismillah wa, you can definitely know that the consequences must be prepared to pass through, aaa anjir is nervous and meeting with pt.pama persada",Positif,"stay calm, stay relaxed bismillah wa, you must know the consequences, you must be ready to face them, aaa damn, I&#39;m nervous and have a meeting with PT. Pama Persada"
"happy new year, i hope this year begins with blessings and goodness, honestly it's been quite painful and tiring for the past 2 years. and for the men i've idolized for the past 5 years, stay happy and thank you for sticking with us (bangtan & amp; army) until now ♡.",Positif,"happy new year, may this year start with blessings and goodness, honestly these 2 years have been quite painful and tiring. and for the men that I have idolized for the past 5 years, stay happy and thank you for being loyal with us (bangtan &amp; army) until now ♡."
