Unnamed: 0,tweet,tweet-english,tweet-indo,label,cleaned_tweet,txten,backtranslated_tweet,texten,ratio_baku_campuran
2422,Kalo udh mulai overthinking suka sesek di tenggorokan. Kek yg mo nangis aja gtuh ☹☹,If you start overthinking likes to be in the throat. Kek who want to just cry ☹☹,Kalo udh Mulai terlalu memikirkan suka sesek di Tenggorokan. KEK YG MO NANGIS AJA GTUH ☹☹,Negatif,kalo udh mulai overthinking suka sesek di tenggorokan. kek yg mo nangis aja gtuh :frowning_face::frowning_face:,"If you start overthinking, you will feel a lump in your throat. How can you just cry? :frowning_face::frowning_face:","Jika Anda mulai berpikir berlebihan, Anda akan merasakan ada yang mengganjal di tenggorokan. Bagaimana kamu bisa menangis saja? :wajah_kerutan::wajah_kerutan:",,0.9473684210526315
1370,God my heart misses him so much even though my heart is broken to see him happy with another woman,God my heart misses him so much even though my heart is broken to see him happy with another woman,"Tuhan, hatiku sangat merindukannya meskipun hatiku hancur melihat dia bahagia dengan wanita lain",Negatif,**** my heart misses him so much even though my heart is broken to see him happy with another woman,**** my heart misses him so much even though my heart is broken to see him happy with another woman,**** hatiku sangat merindukannya padahal hatiku hancur melihat dia bahagia dengan wanita lain,,0.9230769230769231
1573,Healing bersama ayanggg https://t.co/t2fFwIWnL0,Healing with ayanggg https://t.co/t2ffwiwnl0,Penyembuhan Bersama Ayanggg https://t.co/t2ffwiwnl0,Positif,healing bersama ayanggg,healing with ayanggg,penyembuhan dengan ayanggg,,0.6666666666666666
65,"“The sight of an indigo sky was beautiful. It was when darkness allowed light to shine for a while.”Nimisha Toshniwal 🙏🎁💙 @ Badung, Bali, Indonesia https://t.co/65Q0zo54Ee","""The sight of an indigo sky was beautiful. It was when Darkness Allowed light to shine for a while. ""Nimisha Toshniwal 🙏🎁💙 @ Badung, Bali, Indonesia https://t.co/65q0zo54ee","“Pemandangan langit indigo itu indah. Saat itulah kegelapan membiarkan cahaya bersinar untuk sementara waktu. ”Nimisha Toshniwal 🙏🎁💙 @ badung, Bali, Indonesia https://t.co/65q0zo54eee",Positif,"“the sight of an indigo sky was beautiful. it was when darkness allowed light to shine for a while.”nimisha toshniwal :folded_hands::wrapped_gift::blue_heart: @ badung, bali, indonesia","“the sight of an indigo sky was beautiful. it was when darkness allowed light to shine for a while.”nimisha toshniwal :folded_hands::wrapped_gift::blue_heart: @ badung, bali, indonesia","“Pemandangan langit nila sungguh indah. saat itulah kegelapan membiarkan cahaya bersinar untuk sementara waktu.”nimisha toshniwal :folded_hands::wrapped_gift::blue_heart: @ badung, bali, indonesia",,0.8
5063,"ㄴㅇㅅㅌ makasih yaaa kalian tu fandom terbaik! Ga pernah ribet, ga pernah ribut, bawaanya santuy, fokez ama our boys doang ga pernah babibu bacot war wor war wor ga jlz 🙏🏻 Aku berada di jalur yang benar selama 10 tahun ini 🙏🏻🙏🏻🙏🏻🙏🏻","ㄴㅇ ㅅㅌ Thank you, you guys are the best fandom! Never complicated, never noisy, so santuy, Fokez and our boys never Babibu Bacot War Wor Wor Ga Jlz 🙏🏻 I am on the right track for 10 years 🙏🏻 out","ㄴㅇ ㅅㅌ Makasih yaaa Kalian tu fandom Terbaik! Ga Pernah Ribet, Ga Pernah Ribut, Bawaananya Santuy, Fokez ama Anak Laki -Laki Kami Doang Ga Pernah Babibu Bacot Perang Wor Wor Ga Jlz 🙏🏻 Aku Berada Di Jalur Yang Benar Selama 10 Tahun Ini 🙏🏻🙏🏻🙏🏻🙏🏻",Positif,"ㄴㅇㅅㅌ makasih yaaa kalian tu fandom terbaik! ga pernah ribet, ga pernah ribut, bawaanya santuy, fokez ama our boys doang ga pernah babibu bacot war wor war wor ga **** :folded_hands_light_skin_tone: aku berada di jalur yang benar selama 10 tahun ini :folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone:","ㄴㅇㅅㅌ thank you, you guys are the best fandom! it's never complicated, it's never noisy, it's calm, it's friendly with our boys, it's just that it never babes, war wor war wor ga **** :folded_hands_light_skin_tone: I've been on the right track for the past 10 years :folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone ::folded_hands_light_skin_tone:","ㄴㅇㅅㅌ terima kasih, kalian adalah fandom terbaik! gak pernah ribet, gak pernah berisik, tenang, ramah sama cowok kita, cuma gak pernah babes, war wor war wor ga **** :folded_hands_light_skin_tone: Aku sudah berada di jalur yang benar selama 10 tahun terakhir : terlipat_tangan_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone ::folded_hands_light_skin_tone:",,0.6744186046511628
4020,Siapa yang nangis sesugukan nonton Maleficent? Even udah di rewatch berkali2? Aku.,Who is crying as you watch Maleficent? EVEN HAVE BEWATCH MANTALLED? I.,Siapa Yangis Nangis Sesugukan Nonton Maleficent? Bahkan Udah di Rewatch Berkali2? Aku.,Negatif,siapa yang nangis sesugukan nonton maleficent? even udah di rewatch berkali2? aku.,Who's crying so hard watching Maleficent? Have you even rewatched it many times? I.,Siapa yang menangis tersedu-sedu saat menonton Maleficent? Pernahkah Anda menontonnya ulang berkali-kali? SAYA.,,0.8461538461538461
4518,This is the point. https://t.co/d8Evt0LC5V,This is the point. https://t.co/d8evt0lc5v,Inilah intinya. https://t.co/d8evt0lc5v,Netral,this is the point.,this is the point.,inilah intinya.,,1.0
201,3 point to the gunners,3 Point to the Gunners,3 poin ke The Gunners,Netral,3 point to the gunners,3 points to the gunners,3 poin untuk penembak,,0.75
2603,Kobo is actually Argentina 🇦🇷  Sky blue &amp; white  The sun means the bright weather as her job is to expell the rains  Vamos Argentina 🇦🇷 Messi GOAT 🐐 https://t.co/C30oAX2Ad8 https://t.co/5iNceF9xoD,Kobo is Actually Argentina 🇦🇷  Sky Blue & amp; White  The Sun means the bright weather as her job is to expect the rains  Vamos Argentina 🇦🇷 Messi Goat 🐐 https://t.co/c30oax2ad8 https://t.co/5incef9xod,Kobo sebenarnya Argentina 🇦🇷  Sky Blue & amp; putih  Matahari berarti cuaca cerah karena tugasnya adalah mengusir hujan  Vamos Argentina 🇦🇷 Messi Goat 🐐 https://t.co/c30oax2ad8 https://t.co/5incef9xod,Netral,kobo is actually argentina :Argentina: sky blue &amp; white the sun means the bright weather as her job is to expell the rains vamos argentina :Argentina: messi goat :goat:,kobo is actually argentina :Argentina: sky blue &amp; white the sun means the bright weather as her job is to expel the rains vamos argentina :Argentina: messi goat :goat:,kobo sebenarnya argentina :Argentina: biru langit &amp; putih matahari artinya cuaca cerah karena tugasnya mengusir hujan vamos argentina :Argentina: messi kambing :kambing:,,0.6363636363636364
1026,"Do you try to see things from their point of view as well or do you try to make them understand you?   You can both be telling the truth but each from your own perspective. Understanding that alone, can stop lots of conflicts. #MotivationalQuotes #Motivational https://t.co/tXPwTUrJiF","Do you try to see things from their points of view as well or do you try to make them understand you?   You can both be telling the truth but each from your own perspective. Understanding that alone, can stop lots of conflicts. #Motivationalquotes #Motivational https://t.co/txpwturjif","Apakah Anda mencoba melihat sesuatu dari sudut pandang mereka juga atau apakah Anda mencoba membuat mereka memahami Anda?   Anda berdua dapat mengatakan yang sebenarnya tetapi masing -masing dari sudut pandang Anda sendiri. Memahami itu saja, dapat menghentikan banyak konflik. #Motivationalquotes #motivational https://t.co/txpwturjif",Netral,"do you try to see things from their point of view as well or do you try to make them understand you? you can both be telling the truth but each from your own perspective. understanding that alone, can stop lots of conflicts.","do you try to see things from their point of view as well or do you try to make them understand you? you can both be telling the truth but each from your own perspective. understanding that alone, can stop lots of conflicts.","apakah Anda juga mencoba melihat sesuatu dari sudut pandang mereka atau Anda mencoba membuat mereka memahami Anda? Anda berdua bisa mengatakan yang sebenarnya, tetapi masing-masing dari sudut pandang Anda sendiri. memahami hal itu saja dapat menghentikan banyak konflik.",,0.9736842105263158
1420,"Gue sebenarnya malas berteman dengan orang yang homophobic(+transphobic) &amp; all around benci feminisme+sosialisme. Tapi, berhubung mereka baik sama gue &amp; kadang2 suka menolong gue, jadilah gue kompromi sana sini di dalam pergaulan walau aslinya gue sangat bertentangan. #AddMyBeer https://t.co/tQ0g11yGPe","I'm actually lazy to be friends with people who are homophobic (+transphobic) & amp; All around hate feminism+socialism. But, since they were good with me & amp; Sometimes I like to help me, so I compromise here and there in the association even though the original I was very contradictory. #Addmybeer https://t.co/tq0g11ygpe","Gue Sebenarnya Malas Berteman Delangan Orang Yang Homophobic (+Transphobic) & amp; Di sekitar feminisme Benci+Sosialisme. TAPI, Berhubung Mereka Baik Sama Gue & amp; Katang2 Suka Menolong Gue, Jadilah Gue Kompromi Sana Sini Di Dalam Pergaulan Walau Aslinya Gue Sangan Bertentangan. #Addmybeer https://t.co/tq0g11ygpe",Negatif,"gue sebenarnya malas berteman dengan orang yang homophobic(+transphobic) &amp; all around benci feminisme+sosialisme. tapi, berhubung mereka baik sama gue &amp; kadang2 suka menolong gue, jadilah gue kompromi sana sini di dalam pergaulan walau aslinya gue sangat bertentangan.","I'm actually lazy about being friends with people who are homophobic (+ transphobic) &amp; everyone around hates feminism+socialism. but, since they are good to me &amp; Sometimes I like to help me, so I compromise here and there in social situations even though I'm actually very conflicted.","Sebenarnya aku malas berteman dengan orang yang homofobia (+transfobia) &amp; semua orang di sekitar membenci feminisme+sosialisme. tapi, karena mereka baik padaku &amp; Terkadang saya suka membantu saya, jadi saya kompromi di sana-sini dalam situasi sosial meskipun sebenarnya saya sangat berkonflik.",,0.85
4395,"Tft, happy bgt healing nya ditemenin..... https://t.co/znauzRMt39","TFT, happy healing is accompanied ..... https://t.co/znauzrmt39","Tft, Happy Bgt Healing Nya Ditemenin ..... https://t.co/znauzrmt39",Positif,"tft, happy bgt healing nya ditemenin.....","tft, very happy that the healing is accompanied.....","tft, senang sekali kesembuhannya dibarengi.....",,0.8
1723,Hey Furu Fam! Which superhero is your most favorite one? Mine is spiderman!! Because he somehow relates to our teenage life and I like his suit as well!! I dedicated this Mosu x Spiderman = SpiderMosu!   @Jejouw @Nastasiadelinee @KarafuruNFT @WilFortuyn @WD_Willy @soloandrw_ https://t.co/DajHsPDL1O,Hey Furu Fam! Which superhero is your most favorite one? Mine is Spiderman !! Because he somehow relates to our teenage life and i like his suit as well !! I dedicated this mosu x spiderman = spidermosu!  @Jejouw @nastasiadelinee @karafurunft @wilfortuyn @wd_willy @soloandrw_ https://t.co/dajhspdl1o,Hei Furu Fam! Superhero manakah yang paling favorit Anda? Punyaku adalah Spiderman !! Karena dia entah bagaimana berhubungan dengan kehidupan remaja kita dan aku juga suka jasnya !! Saya mendedikasikan mosu x spiderman ini = spidermosu!  @Jejouw @nastasiadelinee @karafulunft @wilfortuyn @wd_willy @soloandrw_ https://t.co/dajhspdl1o,Netral,hey furu fam! which superhero is your most favorite one? mine is spiderman!! because he somehow relates to our teenage life and i like his suit as well!! i dedicated this mosu x spiderman = spidermosu! ****,hey furu fam! which superhero is your most favorite one? mine is spiderman!! because he somehow relates to our teenage life and i like his suit as well!! i dedicated this mosu x spiderman = spidermosu! ****,hei furu fam! pahlawan super mana yang paling kamu favoritkan? milikku adalah spiderman!! karena dia entah bagaimana berhubungan dengan kehidupan remaja kami dan aku juga menyukai setelannya!! saya mendedikasikan mosu x spiderman = spidermosu ini! ****,,0.8055555555555556
2791,Main close friend tp bkn berarti bsa share anything.. namanya manusia ya even sahabat sekalipun bsa jd dajjal klo d ksi kesmpatan.,"Playing close friend but not means it can share anything ... the name is human, even though it can be a friend even if you are a bitten if you are in the same.",Teman dekat utama tp bkn berarti bsa berbagi apapun .. namanya manusia ya bahkan sahabat sekalipun bsa jd dajjal klo d ksi kesmpatan.,Negatif,main close friend tp bkn berarti bsa share anything.. namanya manusia ya even sahabat sekalipun bsa jd dajjal klo d ksi kesmpatan.,"Playing as a close friend doesn't mean you can share anything... you're called a human, even a friend can be a dajjal if you have the chance.","Berperan sebagai sahabat dekat bukan berarti bisa berbagi apa saja...kamu disebut manusia, bahkan sahabat pun bisa menjadi dajjal jika ada kesempatan.",,0.9047619047619048
4465,"The question is : is Indonesia still get easily an Eastern military equipment such as from Russia?  All companies that related to Russia now has sanctioned by U.S. which mean small possibility to get mor equipment from 🇷🇺, especially export ""Downgrade"" of Su-35K Kommercheskiy https://t.co/42wqJG2K1i","The Question is: is Indonesia still get easy an Eastern Military Equipment such as Russia?  All compans that related to russia now has sanctioned by U.S. Which mean small possibility to get moring equipment from 🇷🇺, especially export ""downgrade"" of su-35k kommercheskiy https://t.co/42wqjg2k1i","Pertanyaannya adalah: Apakah Indonesia masih mudah menjadi peralatan militer Timur seperti dari Rusia?  Semua perusahaan yang terkait dengan Rusia sekarang telah disetujui oleh A.S. yang berarti kemungkinan kecil untuk mendapatkan peralatan mor dari 🇷🇺, terutama ekspor ""penurunan peringkat"" dari su-35k kommercheskiy https://t.co/42wqjg2k1i",Netral,"the question is : is indonesia still get easily an eastern military equipment such as from russia? all companies that related to russia now has sanctioned by u.s. which mean small possibility to get mor equipment from :Russia:, especially export ""downgrade"" of su-35k kommercheskiy","the question is: does Indonesia still get eastern military equipment such as from Russia? all companies that relate to russia now have been sanctioned by u.s. which means small possibility to get more equipment from :Russia:, especially export ""downgrade"" of su-35k kommercheskiy","Pertanyaannya apakah Indonesia masih mendapatkan peralatan militer timur seperti dari Rusia? semua perusahaan yang berhubungan dengan Rusia kini telah dikenai sanksi oleh AS. yang berarti kecil kemungkinan untuk mendapatkan lebih banyak peralatan dari :Rusia:, terutama ekspor ""downgrade"" su-35k kommercheskiy",,0.8717948717948718
723,Bos aku udah ngadain tour healing Tapi temen kerja pada gak mau liburan Emang aneh temen2ku ini :(,Boss I have a tour healing But my friends don't want to take a vacation Really strange my friends :(,Bos Aku Udah Ngadain Tour Healing Tapi Temen Kerja Pada Gak Mau Liburan Emang aneh temen2ku ini :(,Negatif,bos aku udah ngadain tour healing tapi temen kerja pada gak mau liburan emang aneh temen2ku ini :(,"My boss has organized a healing tour but my work friends don't want to go on holiday, this is really strange, my friends :(","Bosku sudah mengadakan tur penyembuhan tapi teman kerjaku tak mau berlibur, ini sungguh aneh kawan :(",,0.9375
3901,self healing self healing matamu a,Self Healing Self Healing Your eyes A,penyembuhan diri penyembuhan diri matamu a,Negatif,self healing self healing matamu a,self healing self healing your eyes a,penyembuhan diri penyembuhan diri mata Anda a,,1.0
1310,"Gara2 buka line malah flashback, buka ig kok gaada foto berduanya. Overthinking..  Kenapa nihhh","Because open the line instead of flashback, open ig how come there is no photo standing. Overthinking .. Why here","Flashback Line Mala Line Buka, Buka Ig Kok Gaada Foto Berduanya. Berfikir berlebihan.. Kenapa Nihhh",Negatif,"gara2 buka line malah flashback, buka ig kok gaada foto berduanya. overthinking.. kenapa nihhh","because I open online I get flashbacks, I open IG and there's no photo of the two of them. overthinking... why?","karena aku buka online aku flashback, aku buka IG dan tidak ada foto mereka berdua. terlalu banyak berpikir... kenapa?",,0.8421052631578947
2074,"Immerse in the tropical paradise🌴🥥 Which one is your favorite? 1, 2, or 3?  #nusapenida #baliindonesia #indtravel #tlasia #voyaged #travelbali #beautifuldestinations #treehouselife @ Nusa Penida Bali https://t.co/8owDC6YMZn","IMMERSE IN THE TROPICAL PARADISE🌴🥥 Which one is your favorite? 1, 2, or 3?  #nusapenida #baliindonesia #indttravel #tlasia #voyaged #travelbali #beautifuldestinations #treehouselife @ nusa penida bali https://t.co/8owdc6ymzn","Tenggelam dalam surga tropis🌴🥥 Mana yang favoritmu? 1, 2, atau 3?  #nusapenida #baliindonesia #indtravel #tlasia #voyaged #travelbali #beautifuldestinations #treehouselife @ nusa penida bali https://t.co/8owdc6ymzn",Netral,"immerse in the tropical paradise:palm_tree::coconut: which one is your favorite? 1, 2, or 3? @ nusa penida bali","immerse in the tropical paradise:palm_tree::coconut: which one is your favorite? 1, 2, or 3? @ nusa penida bali","menyelami surga tropis:palm_tree::coconut: yang mana favoritmu? 1, 2, atau 3? @nusa penida bali",,0.6153846153846154
3767,salah jam overthinking,Wrong Overthinking Clock,shal selai terlalu banyak berpikir,Negatif,salah jam overthinking,wrong time overthinking,waktu yang salah karena terlalu banyak berpikir,,1.0
3426,OVERTHINKING LAGI?,Overthinking again?,Berpikir Lagi?,Negatif,overthinking lagi?,overthinking again?,terlalu banyak berpikir lagi?,,1.0
3675,Pumya seseorang yg langsung paham tanpa kepo masalah gue emg debest sih,Pumya someone who immediately understands without my problems,Pumya seseoran yg langsung paham tanpa kepo masalah gue emg debest sih,Positif,pumya seseorang yg langsung paham tanpa kepo masalah gue emg debest sih,Having someone who immediately understands without knowing my problem is really great,Memiliki seseorang yang langsung mengerti tanpa mengetahui masalahku sungguh luar biasa,,1.0
4551,"Tidak hanya pernikahan, overworking aja udah bisa bikin kita gak ada waktu buat temen. Kuncinya cuma satu, you have a support system. Simpel aja, suami paham kalo istrinya jg butuh kebebasan berkawan. Kalo kamu punya ini, pernikahan aman, persahabatan jalan. https://t.co/VZ8V34s4zQ","Not only marriage, overworking can already make us no time for friends. The key is only one, you have a support system. It's simple, the husband understands that his wife also needs freedom of friends. If you have this, marriage is safe, friendly friendship. https://t.co/vz8v34s4zq","Tidak Hanya Pernikahan, terlalu banyak bekerja Aja udah bisa Bikin Kita Gak Ada Waktu Buat Temen. Kuncinya Cuma Satu, Anda memiliki sistem pendukung. Simpel Aja, Suami Paham Kalo Istrinya JG Butuh Kebebasan Berkawan. Kalo kamu punya ini, Pernikahan Aman, Persahabatan Jalan. https://t.co/VZ8V34S4ZQ",Negatif,"tidak hanya pernikahan, overworking aja udah bisa bikin kita gak ada waktu buat temen. kuncinya cuma satu, you have a support system. simpel aja, suami paham kalo istrinya jg butuh kebebasan berkawan. kalo kamu punya ini, pernikahan aman, persahabatan jalan.","Not only weddings, overworking can also mean we don't have time for friends. There's only one key, you have a support system. It's simple, the husband understands that his wife also needs freedom to be friends. If you have this, marriage is safe, friendship is good.","Tak hanya pernikahan, terlalu banyak bekerja juga bisa membuat kita tidak punya waktu untuk berteman. Kuncinya hanya satu, Anda punya sistem pendukung. Sederhana saja, sang suami paham bahwa istrinya juga butuh kebebasan untuk berteman. Kalau sudah begini, pernikahan aman, persahabatan baik.",,1.0
1054,Duar langsung overthinking,Duar directly overthinking,Duar Langsung terlalu banyak berpikir,Negatif,duar langsung overthinking,Duar immediately overthinks,Duar segera berpikir berlebihan,,0.75
800,Capek begadang terus gara2 overthinking:(,Tired of staying up late because of overthinking :(,Capek begadang terus gara2 terlalu banyak berpikir :(,Negatif,capek begadang terus gara2 overthinking:(,tired of staying up late because of overthinking :(,capek begadang karena terlalu banyak berpikir :(,,0.8571428571428571
5032,You know? I think it's time to trust my instict even more.,You know? I think it's time to trust my instict even more.,Kamu tahu? Saya pikir sudah waktunya untuk mempercayai instiksi saya lebih banyak lagi.,Netral,you know? i think it's time to trust my instict even more.,you know? I think it's time to trust my instincts even more.,Kamu tahu? Saya pikir ini saatnya untuk lebih memercayai insting saya.,,1.0
