Unnamed: 0,tweet,tweet-english,tweet-indo,label,cleaned_tweet,textin,backtranslated_tweet
2930,"Mau ketawa takut ada yg ngamuk, even @aniesbaswedan jadi milik Jokowi🤔😂🤣 @Mdy_Asmara1701 @GeiszChalifah https://t.co/dCnnJWyhnT","Want to laugh afraid that someone is rampage, even @aniesbaswedan belongs to Jokowi🤔😂🤣 @Mdy_asmara1701 @geiszchalifah https://t.co/dcnnjwyhnt","Mau Ketawa Takut Ada Yg Ngamuk, bahkan @Aniesbaswedan Jadi Milik Jokowi🤔😂🤣 @Mdy_asmara1701 @geiszchalifah https://t.co/dcnnjwyhnt",Negatif,"mau ketawa takut ada yg ngamuk, even jadi milik jokowi:thinking_face::face_with_tears_of_joy::rolling_on_the_floor_laughing:","mau ketawa takut ada yg ngamuk, even jadi milik jokowi:thinking_face::face_with_tears_of_joy::rolling_on_the_floor_laughing:","I want to laugh, I'm afraid someone will get angry, the event belongs to Jokowi:thinking_face::face_with_tears_of_joy::rolling_on_the_floor_laughing:"
1548,he's probably fine https://t.co/z3k3ZvaFe7,he's probably fine https://t.co/z3k3zvafe7,Dia mungkin baik -baik saja https://t.co/z3k3zvafe7,Netral,he's probably fine,dia mungkin baik-baik saja,he's probably fine
1524,"Hasutan yang: Berawal dari ajakan meetup,  Berlanjut dengan berbagi nomor wa, Bersambung pada ajakan staycation, Berbumbu sweet-talk, sweat-talk, dan deep-talk Berakhir pada dua pilihan,- lanjut atau mundur pelan2.  Ada yang kek gini? Oohhh tentu ada. Banyak malah. https://t.co/i6YHWWwPdi","Incitement: Starting from the invitation to meetup, Continuing by sharing WA numbers, Continued on the Staycation invitation, Seasoned sweet-talk, sweat-talk, and deep-talk Ended at two choices,- Continue or retreat slowly.  Is there something like this? Oohhh of course there. Many instead. https://t.co/i6yhwwwwpdi","Hasutan Yang: Berawal Dari Ajakan Meetup, Berlanjut Delangi Berbagi Nomor WA, Bersambung Pada Ajakan Staycation, Berbumbu Sweet-Talk, Sweat Talk, Dan Deep-Talk Berakhir Pada Dua Pilihan,- Lanjut Atau Mundur Pelan2.  Ada Yang Kek Gini? Oohhh Tentu Ada. Banyak Malah. https://t.co/i6yhwwwpdi",Negatif,"hasutan yang: berawal dari ajakan meetup, berlanjut dengan berbagi nomor wa, bersambung pada ajakan staycation, berbumbu sweet-talk, sweat-talk, dan deep-talk berakhir pada dua pilihan,- lanjut atau mundur pelan2. ada yang kek gini? oohhh tentu ada. banyak malah.","hasutan yang: berawal dari ajakan meetup, lanjutkan dengan berbagi nomor wa, bersambung pada ajakan staycation, berbumbu sweet-talk, sweat-talk, dan deep-talk berakhir pada dua pilihan,- lanjut atau mundur pelan2. ada yang kek gini? ohhh tentu saja ada. malah banyak.","Incitement that: started with a meetup invitation, continued with sharing WA numbers, continued with a staycation invitation, seasoned with sweet-talk, sweat-talk, and deep-talk ending in two choices, - continue or withdraw slowly. is there anything like this? oh, of course there is. actually a lot."
659,Bestie premium mksdny gmn y kak,Bestie premium mksdny gmn y sis,Bestie premium mksdny gmn y kak,Netral,bestie premium mksdny gmn y kak,bestie premium mksdny gmn y kak,What about bestie premium?
5011,Yg healing k puncak gmn kabarnya??,"What's the healing is the peak, how about it ??",Yg penyembuhan k puncak gmn kabarnya ??,Netral,yg healing k puncak gmn kabarnya??,yg menyembuhkan k puncak gmn kabarnya??,What's up with the one who cured K Puncak?
3619,"Pinter kui awale seko Kepo / rasa ingin tau tinggi yang akan menimbulkan pertanyaan yang perlu untuk ditanyakan kepada yang tau tapi kalo Kepo terus kui ra pinter jenenge,, neng Holo wesa.. Astaghfirullahh😭 kowe marai aiu misuh wae too ndukk","Clever kui Awale seko kepo / height of curiosity that will raise questions that need to be asked to those who know but if kepo continues, kui ra clench, holo wesa ... Astaghfirullahh ago Kowe Marai Aiu Misuh wae too ndukk","Pinter Kui Awale Seko Kepo / Rasa Ingin Tau Tinggi Yang Akan Menimbulkan Peranya Perlu Perlu Untuc Ditanyakan Kepada Yang Tau Tapi Kalo Kepo Terus Kui Ra Pinter Jenenge ,, Neng Holo Wesa .. Astaghfirullahh😭 kowe marak aiu misuh wae juga ndukk",Negatif,"pinter kui awale seko kepo / rasa ingin tau tinggi yang akan menimbulkan pertanyaan yang perlu untuk ditanyakan kepada yang tau tapi kalo kepo terus kui ra pinter jenenge,, neng holo wesa.. astaghfirullahh:loudly_crying_face: kowe marai aiu misuh wae too ndukk","pinter kui awale seko kepo / rasa ingin tau tinggi yang akan menimbulkan pertanyaan yang perlu untuk ditanyakan kepada yang tau tapi kalo kepo terus kui ra pinter jenenge,, neng holo wesa.. astaghfirullahh:loudly_crying_face: kowe marai aiu misuh wae too ndukk","clever kui Awale seko kepo / high curiosity which will raise questions that need to be asked to those who know but if you keep being curious kui ra clever jenenge,, neng holo wesa.. astaghfirullahh:loudly_crying_face: kowe marai aiu misuh wae too ndukk"
4446,"The fundamental grey which differentiates the masters, expresses them and is the soul of all color. (Odilon Redon, French symbolist painter, 1840-1916) @ Cattamaran Beach Club https://t.co/c76radwWN0","The fundamental gray which differences in the master, express them and is the soul of all color. (Odilon Redon, French Symbolist Painter, 1840-1916) @ Cattamaran Beach Club https://t.co/c76radwwn0","Abu -abu fundamental yang membedakan para master, mengekspresikannya dan merupakan jiwa dari semua warna. (Odilon Redon, pelukis simbolis Prancis, 1840-1916) @ Cattamaran Beach Club https://t.co/c76radwwn0",Netral,"the fundamental grey which differentiates the masters, expresses them and is the soul of all color. (odilon redon, french symbolist painter, 1840-1916) @ cattamaran beach club","warna abu-abu mendasar yang membedakan para master, mengekspresikannya dan merupakan jiwa dari semua warna. (odilon redon, pelukis simbolis Perancis, 1840-1916) @ klub pantai cattamaran","the fundamental gray color that distinguishes the masters, expresses them and is the soul of all colors. (odilon redon, french symbolist painter, 1840-1916) @ cattamaran beach club"
1050,Drpd kepo siapa orannya mbok udah di teladani saja perbuatan baiknya https://t.co/lE12dzSiI7,"Drpd Kepo Who's the Opera Mbok is already Exemption, his good deeds https://t.co/le12dzsii7",Drpd kepo siapa orananya mbok udah di teladani saja perbuatan Baiknya https://t.co/le12dzsii7,Negatif,drpd kepo siapa orannya mbok udah di teladani saja perbuatan baiknya,drpd kepo siapa orannya mbok udah di teladani saja berbuat baik,"Rather than wondering who the other person is, I've just set an example in doing good"
3632,Pliss tahun depan dah bisa denger bisikan “All around you” di metropole...,"Pliss next year can hear the whisper ""All Around You"" on Metropole ...",Pliss Tahun Dah Dah Bisa Denger Bisikan “All Around You” Di Metropole ...,Positif,pliss tahun depan dah bisa denger bisikan “all around you” di metropole...,pliss tahun depan dah bisa denger bisikan “all around you” di metropole...,"pls next year you can hear the whispers of ""all around you"" in the metropole..."
946,deep talk amat 😹 https://t.co/QpgOv3YJv9,deep talk very 😹 https://t.co/qpgov3yjv9,deep talk Amat 😹 https://t.co/qpgov3yjv9,Netral,deep talk amat :cat_with_tears_of_joy:,bicara mendalam amat :cat_with_tears_of_joy:,very deep talk :cat_with_tears_of_joy:
2622,"Krik krik banget staycation sendirian :"") https://t.co/bKTn4x2aFY","Krik Krik Really Staycation alone: ​​"") https://t.co/bktn4x2afy","Krik Krik Banget Staycation Sendirian: "") https://t.co/bktn4x2afy",Negatif,"krik krik banget staycation sendirian :"")","krik krik banget staycation sendirian :"")",it's really cringy to have a staycation alone :)
