Unnamed: 0,tweet,tweet-english,tweet-indo,label,cleaned_tweet,texten,backtranslated_tweet
1888,"I had a major leak in my kitchen a month ago and have to wait until next Wednesday for it to be repaired. Somehow from the leaked hole, three small reptiles have entered my kitchen, one even get to my bedroom. We are roommates now. And I am scared.","I had a major leak in my kitchen a month ago and have to wait until next wednesday for it to be repaired. Somehow from the leaked hole, three small reptiles have entered my kitchen, one even getting to my bedroom. We are roommates now. And I am Scared.","Saya mengalami kebocoran besar di dapur saya sebulan yang lalu dan harus menunggu sampai Rabu depan untuk diperbaiki. Entah bagaimana dari lubang bocor, tiga reptil kecil telah memasuki dapur saya, satu bahkan sampai ke kamar saya. Kami adalah teman sekamar sekarang. Dan saya takut.",Negatif,"i had a major leak in my kitchen a month ago and have to wait until next wednesday for it to be repaired. somehow from the leaked hole, three small reptiles have entered my kitchen, one even get to my bedroom. we are roommates now. and i am scared.","saya mengalami kebocoran besar di dapur saya sebulan yang lalu dan harus menunggu hingga Rabu depan untuk memperbaikinya. Entah kenapa dari lubang yang bocor itu, tiga ekor reptil kecil sudah masuk ke dapurku, bahkan ada yang sampai ke kamar tidurku. kami adalah teman sekamar sekarang. dan saya takut.","i had a major leak in my kitchen a month ago and had to wait until next wednesday to fix it. For some reason, from the leaking hole, three small reptiles had entered my kitchen, some even reached my bedroom. we are roommates now. and I'm scared."
2673,"Last day ada yg mkn2, karaoke, selfie2, dapet kado  ada jg yg gajinya dipotong karena sakit 2 hari, ngga bisa wfh, energinya literally habis 🙏🙏🙏🙏🙏🙏","Last day there are mkn2, karaoke, selfie2, get a gift  There are also those whose salaries are cut because of pain for 2 days, can't be wfh, the energy is literally running out 🙏🙏🙏🙏anese","Hari Terakhir Ada YG MKN2, Karaoke, Selfie2, Dapet Kado  Ada Jg Yg Gajinya Dipotong Karena Sakit 2 Hari, Ngga Bisa Wfh, Energinya Habis 🙏🙏🙏🙏🙏🙏",Negatif,"last day ada yg mkn2, karaoke, selfie2, dapet kado ada jg yg gajinya dipotong karena sakit 2 hari, ngga bisa wfh, energinya literally habis :folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands:","hari terakhir ada yg mkn2, karaoke, selfie2, dapet kado ada jg yg gajinya dipotong karena sakit 2 hari, ngga bisa wfh, energinya harfiah habis :folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands:","On the last day, there were those who had dinner, karaoke, took selfies, got gifts, there were also those whose salaries were cut because they were sick for 2 days, couldn't wfh, their energy literally ran out:folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands:"
2938,"mau ngasih tau,tadi ada bbrp org yg dm aku,mereka takut sama ""keluarga"" sndri sampe rest. panik, ngerasa bersalah,padahal yg dm aku ga buat salah. takut bgt mereka tu. kenapa sih spall spill,nge teh mulu,coba dah besok2 ngopi tau gimana paitnya. https://t.co/XkAhENHj2t","Want to tell you, there was a few people who dm me, they were afraid of the ""family"" sndri until rest. Panic, feel guilty, even though what I didn't make me wrong. afraid of them. Why the spall spill, tea first, try tomorrow you know how to know how the pait is. https://t.co/XKAHENHJ2T","Mau ngasih tau, tadi ada bbrp org yg dm aku, Mereka takut sama ""Keluarga"" sndri sampe istirahat. Panik, Ngerasa Bersalah, padahal yg dm Aku ga buang shalat. Takut Bgt Mereka Tu. Kenapa Sih Spall Spill, Nge Teh Mulu, Coba dah Besok2 ngopi tau gimana paitnya. https://t.co/xkahenhj2t",Negatif,"mau ngasih tau,tadi ada bbrp org yg dm aku,mereka takut sama ""keluarga"" sndri sampe rest. panik, ngerasa bersalah,padahal yg dm aku ga buat salah. takut bgt mereka tu. kenapa sih spall spill,nge teh mulu,coba dah besok2 ngopi tau gimana paitnya.","mau ngasih tau,tadi ada bbrp org yg dm aku,mereka takut sama ""keluarga"" sndri sampe istirahat. panik, ngerasa bersalah,padahal yg dm aku ga buat salah. takut bgt mereka tu. kenapa sih spall tumpah,nge teh mulu,coba dah besok2 ngopi tau gimana paitnya.","I want to tell you, there were several people who DMed me earlier, they were afraid of their own ""family"" until they broke up. panicked, felt guilty, even though I didn't do anything wrong. they're so scared. why is spall spilling, drinking tea for a long time, try drinking coffee tomorrow and see how bitter it is."
2466,kaya healing bgt ga siiii cuma liat view kaya gini?🥺 ga nyesell emg maen di villa🍃 https://t.co/uADdS7Wwes,"It's like healing, isn't it just looking at the view like this?",Kaya Healing Bgt Ga Siiii Cuma Liat View Kaya Gini? 🥺 Ga Nyesell EMG Maen Di Villa🍃 https://t.co/uadds7wwes,Positif,kaya healing bgt ga siiii cuma liat view kaya gini?:pleading_face: ga nyesell emg maen di villa:leaf_fluttering_in_wind:,kaya healing bgt ga siiii cuma liat view kaya gini?:pleading_face: ga nyesell emg maen di villa:leaf_fluttering_in_wind:,Isn't it really healing just looking at a view like this?:pleading_face: don't regret playing at the villa:leaf_fluttering_in_wind:
3611,PI NIH UDEH BAPER CM DENIAL BGT ANJJJ,"Pi, it's really baper cm denial really anjjj",Pi nih udeh baper cm penolakan bgt anjjj,Negatif,pi nih udeh baper cm denial bgt anjjj,pi nih udeh baper cm penolakan bgt anjjj,I'm already excited and there's a lot of rejection
1170,Even though ignores and gos gives no sign. I still wanna be yours and forever call you mine. #Foreverwillbethatgood https://t.co/FaI3CLZOrU,Even though Ignores and Gos Gives no sign. I Still Wanna Be Yours and Forever Call You Mine. #Foreverwillbethatgood https://t.co/fai3clzoru,Meskipun mengabaikan dan GO tidak memberikan tanda. Aku masih ingin menjadi milikmu dan selamanya memanggilmu milikku. #Foreverwillbethatgood https://t.co/fai3clzoru,Positif,even though ignores and gos gives no sign. i still wanna be yours and forever call you mine.,padahal abaikan dan gos tidak memberi tanda apa-apa. aku masih ingin menjadi milikmu dan selamanya memanggilmu milikku.,even though ignore it and gos doesn't give any signs. I still want to be yours and forever call you mine.
3618,"Pingin ajaa sih, bukan healing ya.","Just want to, it's not healing.","Pingin Ajaa Sih, Bukan Healing Ya.",Netral,"pingin ajaa sih, bukan healing ya.","pingin ajaa sih, bukan healing ya.","I just want it, not healing."
2819,"Malam ini gue nge spill angga , mici ,rafael 😍😍😍 #IkatanCintaEp184","Tonight I am spill angga, Mici, rafael 😍😍😍 #bondscintaep184","Malam ini gue nge spill angga, mici, rafael 😍😍😍 #ikatantaep184",Netral,"malam ini gue nge spill angga , mici ,rafael :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:","malam ini gue nge tumpah angga , mici ,rafael :wajah_tersenyum_dengan_mata-hati::wajah_tersenyum_dengan_mata-hati::wajah_tersenyum_dengan_mata-hati:","tonight I spilled angga, mici, rafael :smile_face_with_heart-eyes::smile_face_with_heart-eyes::smile_face_with_heart-eyes:"
302,"Ahh after watching 2 percy jackson movie i wish they continue it, but it's not gonna happen anyway they gonna rebooted into a tv series with disney+ which is super awesome!! But not gonna lie alexandra daddario is so beautiful in that movie god dayum","Ahh After Watching 2 Percy Jackson Movie I Wish They Continue It, But It's Not Gonna Happen Anyway They Gonna Rebooted Into A TV Series With Disney+ Which Is Super Awesome !! But not gonna lie alexandra daddario is so beautiful in that movie god dayum","Ahh setelah menonton film 2 Percy Jackson, saya berharap mereka melanjutkannya, tapi itu tidak akan terjadi, mereka akan reboot ke serial TV dengan Disney+ yang sangat mengagumkan !! Tapi tidak akan berbohong Alexandra Daddario begitu cantik di film itu dewa dayum",Positif,"ahh after watching 2 percy jackson movie i wish they continue it, but it's not gonna happen anyway they gonna rebooted into a tv series with disney+ which is super awesome!! but not gonna lie alexandra daddario is so beautiful in that movie **** dayum","ahh setelah menonton film 2 percy jackson aku berharap mereka melanjutkannya, tapi itu tidak akan terjadi lagipula mereka akan reboot menjadi serial TV dengan disney+ yang sangat luar biasa!! tapi tidak akan berbohong alexandra daddario begitu cantik di film **** dayum itu","ahh after watching the 2 percy jackson movie i was hoping they would continue it, but that's not going to happen anyways they are going to reboot it into a tv series with disney+ which is amazing!! but not going to lie alexandra daddario is so beautiful in that **** dayum movie"
4545,"Tiba-tiba kangen jatuh cinta.  - aku, a self-proclaimed aromantic","Suddenly miss falling in love.  - Me, A Self-Proclaimed Aromantic","Tiba-Tiba Kangen Jatuh Cinta.  - Aku, aromantic yang memproklamirkan diri",Positif,"tiba-tiba kangen jatuh cinta. - aku, a self-proclaimed aromantic","tiba-tiba kangen jatuh cinta. - Aku, seorang aromantis yang memproklamirkan diri","suddenly miss falling in love. - Me, a self-proclaimed aromantic"
464,Are your kids bored at home and feeling overwhelmed by the online class? A camping activity is a great outdoor adventure to cheer them up as they can discover a new magical home away from home experience with us.__Book now: Email: reservations@nusaduahotel.com https://t.co/C5KPIylLrJ,Are your kids bored at home and feeling overwhelmed by the online class? A camping activity is a great outdoor adventure to cheer them up as they can discover a new magical home away from home experience with us .__ Book Now: Email: reservations@nusaduahotel.com https://t.co/c5kpiyllrj,Apakah anak -anak Anda bosan di rumah dan merasa kewalahan oleh kelas online? Kegiatan berkemah adalah petualangan luar ruangan yang hebat untuk menghibur mereka karena mereka dapat menemukan rumah ajaib baru yang jauh dari pengalaman bersama kami .__ Buku sekarang: email: reservasi@nusaduahotel.com https://t.co/c5kpiyllrj,Netral,are your kids bored at home and feeling overwhelmed by the online class? a camping activity is a great outdoor adventure to cheer them up as they can discover a new magical home away from home experience with us.__book now: email: reservations.com,apakah anak Anda bosan di rumah dan merasa kewalahan dengan kelas online? aktivitas berkemah adalah petualangan luar ruangan yang menyenangkan untuk menghibur mereka karena mereka dapat menemukan pengalaman ajaib baru saat jauh dari rumah bersama kami.__pesan sekarang: email: reservasi.com,is your child bored at home and feeling overwhelmed with online classes? camping activities are a fun outdoor adventure to keep them entertained as they can discover new magical experiences while away from home with us.__book now: email: reservation.com
2314,jujurly idup ini hampa bikes ig lo ngga update☺,honestly life is empty bikes ig you don't update☺,jujurly idup ini hampa bikes ig lo ngga update☺,Negatif,jujurly idup ini hampa bikes ig lo ngga update:smiling_face:,sejujurnya idup ini sepeda hampa ig lo ngga update:smiling_face:,"To be honest, life is empty, your IG doesn't update:smiling_face:"
1615,Healing https://t.co/hgwmJdFwOM,Healing https://t.co/hgwmjdfwom,Penyembuhan https://t.co/hgwmjdfwom,Netral,healing,penyembuhan,healing
3007,Mengcapek overthinking trosss,Mekek overthinking trosss,Mengcapek overhinking trosss,Negatif,mengcapek overthinking trosss,mengcapek overthinking trosss,tired of overthinking trosss
3966,"Seriously, Celebrity, Maria, even Eight???????? https://t.co/fxG9EldMYt","Seriously, celebrity, maria, even eight ???????? https://t.co/fxg9eldmyt","Serius, selebriti, Maria, bahkan delapan ???????? https://t.co/fxg9eldmyt",Netral,"seriously, celebrity, maria, even eight????????","serius, selebriti, maria, bahkan delapan?????????","seriously, celebrities, maria, even eight?????????"
2090,Info bis dari bwi kota turun jajag jam 10 pagi dong. Plis need help.  Kl bisa spill harga kisaran juga ya 🥺🙏,Bus info from BWI Kota down Jajag at 10 am. Please Need Help. If you can spill the price range too 🥺🙏,Info bis Dari bwi Kota turun jajag jam 10 pagi dong. PLIS butuh bantuan. KL BISA SPILL HARGA KISARAN JUGA YA 🥺🙏,Netral,info bis dari bwi kota turun jajag jam 10 pagi ****. plis need help. kl bisa spill harga kisaran juga ya :pleading_face::folded_hands:,info bis dari bwi kota turun jajaja jam 10 pagi ****. tolong butuh bantuan. kl bisa tumpah harga kisaran juga ya :pleading_face::folded_hands:,bus information from BWI Kota drops off at Jajaja at 10 am ****. please need help. If you can spill the price range too :pleading_face::folded_hands:
3269,Nongki santuy with @NolaAini https://t.co/7BmllMAKlF,Nongki Santuy with @nolaaini https://t.co/7bmllmaklf,Nongki santuy dengan @nolaaini https://t.co/7bmllmaklf,Positif,nongki santuy with,nongki santuy dengan,nongki relax with
1397,Got around 1000km in Sumatra. I'm so proud lol.,Got Around 1000km in Sumatra. I'm so proud lol.,Mendapat sekitar 1000 km di Sumatra. Saya sangat bangga lol.,Positif,got around 1000km in sumatra. i'm so proud lol.,menempuh jarak sekitar 1000km di sumatera. aku sangat bangga haha.,covering a distance of around 1000km in Sumatra. I'm very proud haha.
4320,Take the new one while waiting at the pine (only replicate)  #scbd #ashtadistrict8 @ ASHTA District 8 https://t.co/xqjSU35YcI,Take the new one while waiting at the pine (only replicate)  #SCBD #Ashtadistrict8 @ Ashta District 8 https://t.co/xqjsu35yci,Ambil yang baru sambil menunggu di pinus (hanya replikasi)  #scbd #ashtadistrict8 @ ashta distrik 8 https://t.co/xqjsu35yci,Netral,take the new one while waiting at the pine (only replicate) @ ashta district 8,ambil yang baru sambil menunggu di pinus (hanya replika) @ ashta distrik 8,grab a new one while waiting at the pine (replica only) @ ashta district 8
2256,Jam overthinking. Disaat tetangga pada mudik. Tukang jualan semakin sepi. Saat itu timbul kekhawatiran. Sahur dan buka puasa. Sedia indomie kitu.,Overthinking clock. When neighbors are going home. The saleman is getting lonely. At that time there was concern. Sahur and iftar. Available Indomie.,Jam berpikir berlebihan. Disaat Tetangga Pada Mudik. TUKANG JUALAN SEMINTER Sepi. SAAT ITU Timbul Kekhawatiran. Sahur Dan Buka Puasa. Sedia Indomie Kitu.,Negatif,jam overthinking. disaat tetangga pada mudik. tukang jualan semakin sepi. saat itu timbul kekhawatiran. sahur dan buka puasa. sedia indomie kitu.,terlalu banyak berpikir. disaat tetangga pada mudik. tukang jualan semakin sepi. saat itulah timbul kekhawatiran. sahur dan buka puasa. sedia indomie kitu.,thinking too much. when the neighbors are going home. the salespeople are getting quieter. That's when concerns arise. sahur and breaking the fast. Indomie ready.
3373,"Org orang staycation ke Pik, padahal kesawah juga menariq https://t.co/ZsphBl09yl","Org Staycation people to PIK, even though they also dance https://t.co/zsphbl09yl","Org orang staycation ke pik, padahal kesawah juara menariq https://t.co/zsphbl09yl",Positif,"org orang staycation ke pik, padahal kesawah juga menariq","org orang staycation ke pik, padahal kesawah juga menariq","people staycation at the picnic, even though the rice fields are also interesting"
1049,Drpd jd pengelola bmn prefer jd bendahara aseli hiks😭,Drpd so the manager of BMN Prefer JD Treasurer Aseli Hiks suc.,DRPD JD Pengelola BMN Lebih Pilih JD Bendahara Aseli Hs😭,Negatif,drpd jd pengelola bmn prefer jd bendahara aseli hiks:loudly_crying_face:,drpd jd pengelola bmn lebih suka jd bendahara aseli hiks:loudly_crying_face:,"Rather than being a BMN manager, I'd rather be a real treasurer sob:loudly_crying_face:"
4654,"Udah sarapan, kenyang, mari selesaikan proposal dengan damai. Letakkan gawaimu bestie","Already breakfast, full, let's finish the proposal peacefully. Put your Gawai Bestie","Udah Sarapan, Kenyang, Proposal Mari Selesaan Dengan Damai. Bestie Letakin Gawaimu",Positif,"udah sarapan, kenyang, mari selesaikan proposal dengan damai. letakkan gawaimu bestie","udah sarapan, kenyang, mari selesaikan lamaran dengan tenang. letakkan gawaimu sahabat","I've had breakfast, I'm full, let's finish the application calmly. put down your device, friend"
2671,"Laris Manis Produk Keripik Ahza rasanya yang renyah membuat para pecinta ngemil jadi ketagihan bestie, buruan pesan stok nya masih ready lho di makassar, klik https://t.co/t14gNcTSMA sekarang juga😇😇😇  Follow Instagram  @hariscreative88 @ku_kopi7287 @oelhack_khaled https://t.co/TbNOvE4oyt","Selling well the crispy ahza chips products make snack lovers addicted, hurry up and order the stock is still ready in Makassar, click https://t.co/t14gignctsma right now too😇😇😇  Follow Instagram @hariscreative88 @ku_kopi7287 @oelhack_khaled https://t.co/tbnove4oyt","Laris manis produk keripik ahza rasanya yang ranyah membuat para pecinta ngemil jadi ketagihan bestie, buruan pesan stok nya masih siap lho di makassar, klik https://t.co/t14gncma sekarangsar Juga😇😇😇  Ikuti Instagram @HarisCreative88 @ku_kopi7287 @oelhack_khaled https://t.co/tbnove4oyt",Netral,"laris manis produk keripik ahza rasanya yang renyah membuat para pecinta ngemil jadi ketagihan bestie, buruan pesan stok nya masih ready lho di makassar, klik sekarang juga:smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo: follow instagram","laris manis produk keripik ahza rasanya yang renyah membuat para pecinta ngemil jadi ketagihan bestie, buruan pesan stok nya masih ready lho di makassar, klik sekarang juga:smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo: follow instagram","Ahza chips products are selling well, their crunchy taste makes snack lovers addicted to them, bestie, hurry up and order, stock is still ready in Makassar, click now: smiling_face_with_halo:: smiling_face_with_halo:: smiling_face_with_halo: follow Instagram"
466,"Aria sky is my new crush, no doubt","Aria sky is my new crush, no double","Aria Sky adalah naksir baruku, tidak diragukan lagi",Netral,"aria sky is my new crush, no doubt","aria sky adalah gebetan baruku, tidak diragukan lagi","Aria Sky is my new crush, no doubt about it"
2511,"Kenapa akhir2 ini banyak bermunculan preloved buku yang saya incar kek literally secara bersamaan, ditambah lagi harganya murah2 oi. Kemarin marin saya cari satu2 seantero Twitter nggak ada yg mau ngejual. Keknya Agustus bakal kalap buku sih, gpo mumpung udh gak reading slump","Why lately many preloved books have sprung up that I have been literally interested in the same, plus the price is cheap. Yesterday Marin I was looking for one2 throughout Twitter no one wanted to sell. Keknya August will be crazy about the book, GPO while not reading slump","Kenapa Akhir2 ini Banyak Bermunculan Preloved Buku Yang Saha Incar Kek Secara harfiah Secara Bersaan, Ditambah Lagi Harganya murah2 oi. KEMARIN MARIN SAYA CARI SATU2 SEANTERO Twitter Nggak Ada Yg Mau Ngejual. Keknya Agustus Baki Kalap Buku Sih, GPO Mumpung Udh Gak Membaca Kemerosotan",Negatif,"kenapa akhir2 ini banyak bermunculan preloved buku yang saya incar kek literally secara bersamaan, ditambah lagi harganya murah2 oi. kemarin marin saya cari satu2 seantero twitter nggak ada yg mau ngejual. keknya agustus bakal kalap buku sih, gpo mumpung udh gak reading slump","kenapa akhir2 ini banyak bermunculan buku preloved yang saya incar kek secara harfiah secara bersamaan, ditambah lagi harganya murah2 oi. kemarin marin saya cari satu2 seantero twitter gak ada yg mau ngejual. keknya agustus bakal kalap buku sih, gpo mumpung udh gak bacaannya merosot","why have so many pre-loved books appeared lately that I've been eyeing literally at the same time, plus the prices are cheap, oi. Yesterday, I searched everywhere on Twitter, but no one wanted to sell it. I think August is going to be crazy about books, so long as his reading doesn't decline"
3898,self healing menjelang magrib di tepi laut di pentadu barat kab. boalemo... https://t.co/p8kpAX7HO9,Self Healing ahead of Magrib by the Sea in Pentadu Barat Kab. Boalemo ... https://t.co/p8kpax7ho9,Magrib Magrib di Tepi Laut di Pentadu Barat Kab. Boalemo ... https://t.co/p8kpax7ho9,Positif,self healing menjelang magrib di tepi laut di pentadu barat kab. boalemo...,self healing menjelang magrib di tepi laut di pentadu barat kab. boalemo...,self healing before sunset on the seashore in the western pentadu district. boalemo...
