cleaned_tweet,label,backtranslated_tweet
yg healing k puncak gmn kabarnya??,Netral,"What is the meaning of the word ""K"" in the Gmn kabarnya?"
"pinter kui awale seko kepo / rasa ingin tau tinggi yang akan menimbulkan pertanyaan yang perlu untuk ditanyakan kepada yang tau tapi kalo kepo terus kui ra pinter jenenge,, neng holo wesa.. astaghfirullahh:loudly_crying_face: kowe marai aiu misuh wae too ndukk",Negatif,"I am sure that you will be able to answer the questions that I have to ask you but if you continue to ask me, I will not be able to answer."
"the fundamental grey which differentiates the masters, expresses them and is the soul of all color. (odilon redon, french symbolist painter, 1840-1916) @ cattamaran beach club",Netral,"Abu-abu basic yang distinguishes para master, mengekspresikan mereka dan adalah jiwa dari semua warna."
drpd kepo siapa orannya mbok udah di teladani saja perbuatan baiknya,Negatif,Drpd kepo who is orangnya may already be in telladani saja perbuatan baiknya
pliss tahun depan dah bisa denger bisikan “all around you” di metropole...,Positif,Hopefully next year we can hear business from around you in the metropolitan...
deep talk amat :cat_with_tears_of_joy:,Netral,I'm not sure.
"krik krik banget staycation sendirian :"")",Negatif,I'm not alone.
"semakin gw selflove, ak sadar value trbsr di dlm hdp yaitu semakin ak semangat mengejar impian, bagi ak kehilangan laki² bukan hal yg menakutkan, kmu mau pergi? silahkan, ak hanya butuh laki² yg mengerti kalimat : ""you need me and i need you, yes that's right my support system""",Positif,"I am more and more in love with myself, I am more and more in love with myself, I am more and more in love with myself, I am more and more in love with myself, I am more and more in love with myself, I am more and more in love with myself, I am more and more in love with myself, I am more and more in love with myself, I am more and more in love with myself, I am more and more in love with myself, I am more and more in love with myself, I am more and more in love with myself, I am more and more in love with myself, I am more and more in love with myself, I am more and more in love with myself, I am more and more in love with myself, I am more and more in love with myself, I am more and more in love with myself, I am more and more and more in love with myself."
"omggg this is so good :fire::fire::fire: i can't stop listening to the new song , by featuring and starring of , my trending song choice. ()",Positif,"I can't stop listening to new songs, with the show dan membintangi, the favorite songs trending my. ()"
dude doesn't know the concept of staycation. :grinning_squinting_face::grinning_squinting_face::grinning_squinting_face:,Netral,I don't know the concept of a staycation.
"mau nangis liat pc build dari the verge, even mangga dua stores can actually build a neat pc rather than that :weary_face:",Negatif,"I want to see a computer building from the edge, even mangga dua toko really can build a computer that is rapi than it:"
sholat tarawih yg sangat melekat di ingatan krn sangat menguji iman :rolling_on_the_floor_laughing:... rindu bestie~,Positif,Sholat Tarawih yang sangat melekat di ingatan krn sangat menguji iman: rolling_on_the_floor_laughing:...
pagi pagi kenak tausiah nikah sm org kantor..... santuy bah kaaaak :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,Negatif,pagi pagi kenak menjaga nikah sm org kantor..... santuy bah kaaaak: wajah_dengan_air mata_kebahagiaan:: wajah_dengan_air mata_kebahagiaan:: wajah_dengan_air mata_kebahagiaan:
"bobby: ""even in my dreams, you are getting far away."" chanwoo: ""in relationship, as a couple.""",Netral,"""Bahkan dalam mimpiku, kamu semakin jauh"" is the first song of the song."
"teman-temannya pada bilang ""yaa udh balikan aja"" aku : susah2ka move on, nangis klo ingt dia, mkn tdk teratur, bb trun drastis, healing kiri kanan, dan dgn gampangnya mu sruhka balikan :smirking_face::weary_face:",Negatif,"My friends are saying ""yeah udh balikan aja"" Aku: susah2ka bergerak, nangis klo ingt dia, makan tidak teratur, bb trun drastis, menyembuhkan kiri kanan, dan dgn gampangnya mu sruhka balikan:"
who doesn't want a fridge honestly,Netral,Yang tidak ingin kulkas jujur is not the right thing to do
"stop denial, jalani......",Netral,"Berhenti to go to the hospital, Jalani..."
team penthouse. aseli nongton ini malah overthinking semdiri.,Negatif,I don't want you to go home.
sebenernya kamu prefer ke aku atau dia yg tante² sih? wkkwkw,Negatif,You're more like me than she is?
"no worries, i won't even shocked if there's alien simp-ing for tae :relieved_face:",Positif,"Don't worry, I won't even be surprised if there is an alien who's more than just Tae."
i don't care even if you care,Negatif,I don't care if you care
"even my favorite batman christian bale, joining marvel :smiling_face_with_heart-eyes::face_blowing_a_kiss:",Positif,"Even my favorite Batman Christian Bale, joined Marvel:"
"i'm not gonna say he's the perfect hero because he'd done some mistakes, but just as the circle of life goes, he grew up, learned, and became better, even until his very last act.",Positif,"I won't say he is a perfect pahlawan because he has made some mistakes, but like a circular life goes on, he grows, learns, and becomes better, even till his last actions."
"*keutamaan zakat di bulan ramadhan*yuk bestie kita bersama berlomba dlm kebaikan.jangan sampai lupa menunaikan zakat, infak, sedekah, atau wakaf terbaiknya ke lembaga amal atau yayasan terpercaya terdekat kita :winking_face::folded_hands_light_skin_tone:",Positif,"*Keutamaan zakat di bulan ramadhan*you best with us together berlomba dalam kebaikan.jangan sampai lupa menuunaikan zakat, infak, sedekah, atau wakaf terbaiknya ke lembaga amal atau yayasan terpercaya terdekat kita:"
"he's surely soo excited! siapa sih yg nggak? :grinning_squinting_face::grinning_squinting_face: baru pulang kerumah trus dsambut senyum manis ayank beb &amp; kado indah segede gaban :smiling_face_with_hearts::smiling_face_with_hearts: brightwin bener2 y, set the standard soo **** high in loving each other :loudly_crying_face::loudly_crying_face::loudly_crying_face: ****, please always give them happiness :white_heart::green_heart::pleading_face::pleading_face::pleading_face: #ไบร์ทวิน",Positif,He is a very good man. He is a very good man. He is a very good man. He is a very good man. He is a very good man.
"dear temen temen mahasiswa... jangan terbuai dengan ucapan ""happy semprotulation"". nggak tahu siapa yg mulai ucapan ini. tapi percayalah jalan menuju selesai skripsweet masih panjang. :face_with_rolling_eyes:",Netral,"Dear fellow students... don't be so terrified with the saying ""Happy Semprotulation"". I don't know who started this speech."
pernah gak tiba tiba mood swing?,Netral,Have I ever had a mood swings?
"dikenalin sama dimsum seenak ini dan semurah ini, mana bisa nolakkkk hmmm, makasi bestie :sparkles: at pasar gede, solo.",Positif,"Because I can't see this and I can't see this, I can't see this."
"makan rujak setngah rantang ukuran beras 3 kilo:face_with_tears_of_joy::face_with_tears_of_joy::rolling_on_the_floor_laughing:,,ngidam jenis apa ini,bestie???:hot_face::hot_face::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:",Positif,"The food is made from the same ingredient as the food, which is made from the same ingredient as the other ingredients."
"whatever will be, will be. the future's not ours to next year",Netral,"Whatever happens, it will happen, the future is not ours until next year."
"mas bian ini bikin gua overthinking, semoga gua ntar jadi suami yg baik ya alloh:)",Negatif,"Mas bian ini bikin gua berpikir berlebihan, semoga gua ntar jadi suami yang baik ya alloh:)"
earn in cryptocurrency/nfts while working out with the fitmint app :flexed_biceps_light_skin_tone: fitmint sneakers nft whitelist is open now. click here:,Netral,Get money in cryptocurrency/nfs while playing sports with app Fitmint:flexed_biceps_light_skin_tone: Fitmint sneakers nft white list is open now. click here:
"sepertinya weekend ini bakal gagal healing ke surabaya sepertinya aku harus stay di malang dulu dan pelan-pelan atur schedule expo ke berbagai kota .. semangat, gak boleh melemah:smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes: yukk cuan...cuan mendekat....",Positif,I think this weekend I will fail to make it to Surabaya. I think I should stay in malang first and slowly schedule the exhibition to different cities.
"closer to andien we're so excited! andien's release is getting closer. so let's get even closer to andien, here's some facts that you should know! . .",Positif,More close to Andien we are very much more than excited!
healing healing we lah kalah beak duit ges nepi imah mah anger we muka panto hela memeh asup teh,Negatif,I'm not going to let you go. I'm going to let you go.
"i actually don't have a problem if changbin fails the second selection. but mnet is really bad at changbin, making him a thumbnail, always featured in the trailer for every episode :) and now cutting the part :)",Negatif,"I actually don't have a problem if Changbin fails in the second choice. but Mnet is very bad at Changbin, making it a miniature, always shown in the trailer for each episode :) and now cutting parts :)"
self healing,Positif,the penembhan diri
somehow insecure but hides it :tired_face:,Negatif,"I don't know how to believe it, but I just remember it."
literally 3 min short,Netral,Actually 3 minutes less
yara santuy @ perumahan ayodhya palace,Netral,Yara Santuy @ perumahan ayodhya palace
"setiap ibu masakin cumi ak keingetan spill kasus di twitter, akhirnya nekat goreng telur:loudly_crying_face:",Negatif,"Every single time I remember something and I'm still on Twitter, I finally get some fried eggs:"
had some fun doing photo shoot for my halloween costume as my forever crush mike muir from :cup_with_straw:,Positif,I'm having fun doing some of my Halloween costumes as Mike Muir yang always remembers me from:
can someone tell me what actually happened? :see-no-evil_monkey:,Netral,Can somebody tell me what's really going on?
from healing to sinting :grinning_face_with_sweat::grinning_face_with_sweat:,Negatif,From penembuhan to sinting: smiling_face_with_sweat:: smiling_face_with_sweat:
manifesting a proposal (surprisingly),Positif,The Commission has also adopted a proposal for a regulation on the implementation of the common agricultural policy.
"kelas self healing hati (tat untuk pemula) kembali diadakan 7 agustus nanti. sebuah metode simpel dalam memulihkan bebas stres, emosi, luka dan duka. link daftar di @ jakarta, indonesia",Netral,"The first day of the first week of August, the first day of the first month of the month, was held in Jakarta, Indonesia."
"jujurly emang sekhawatir itu sama komentar orang. huhu kayak ga siap gt lho buat dengernya karena udaa pasti bakal sebel bad mood dan jd kepikiran trus kayak, apaan sii tu orang pada.",Negatif,"I'm not ready to hear it because I'm sure I'll be in a bad mood and I'm thinking, ""What if I'm not ready?"""
"keren banget, kerjanya santuy banget..",Positif,I'm not sure what I'm doing.
healing neng pabrik bebas macet :rolling_on_the_floor_laughing:,Netral,The Commission has decided to extend the period of validity of the proposed amendments to the Treaty.
"surprise? nope! i even think that he will be free, i mean no news anymore until today unless we have the 24/7 news about him then the story might be different",Negatif,"I even think he'll be free, I mean there's no news anymore until today unless we have news 24/7 about him and maybe a different story."
sleeper bus is a type of specially by juragan 99 trans by which is designed for the passengers to sleep in. thank you private class experience juragan 99,Positif,Sleeper bus is a special type by Juragan 99 trans yang designed for passengers to sleep in.
"i'm still waiting for your return, even though i know your love has been lost.",Negatif,"I'm still waiting to tell you, even though I know your love has gone."
"arek-arek kok punya crush yo, kok juga ada yang ngecrushin",Negatif,"I have a crush on you, I have a crush on you, I have a crush on you, I have a crush on you, I have a crush on you, I have a crush on you, I have a crush on you, I have a crush on you, I have a crush on you, I have a crush on you, I have a crush on you, I have a crush on you, I have a crush on you, I have a crush on you, I have a crush on you, I have a crush on you, I have a crush on you."
healing terbaik adalah ndusel nang ibuk.,Positif,The best thing is that there is nothing else.
"isuk2 wis overthinking, menyebalkan! daya baca!!!",Negatif,"Suik2 already thinking excessively, menyebalkan! daya baca!!!"
spill game apa aja yang ada di handphone kamu..?,Netral,What's that on your cell phone?
"during pandemics the industry came through the experience with a few bruises and limited lasting damage. but somehow you should never forget doing your ideas! dreams stemming from anticipation are like ideas and, as plato stated, ideas are better than reality.:blue_heart::cut_of_meat:",Positif,"During the pandemic industry experienced some memories and damage of a limited duration. But somehow you shouldn't forget to do your idea! dreams that come from anticipation like ideas and, as Plato said, ideas are better than reality."
"when people talk about layangan putus, i thought it was literally layangan putus not just a kind of movie. and now people talk about soccer and i still have no idea, what was that about. like am i built different? or what???",Netral,"When people talk about Layangan putus, I think it's really Layangan putus not just some kind of movie."
people do second shots yet they're gathering all around the place.,Netral,Orang-orang did the second time but they met all over the place.
how i sleep at my friend's sleepover when they don't even provide blankets,Negatif,How can I sleep in the night with my friends when they don't even provide a selimut?
"ngikutin tren yg ditiktok tapi telat. whatever, demi ma bestie, nahan malunya setengah mati dikampus .",Negatif,"I'm following the train, but I'm late."
"nagih, ngprul, renyah banget bestie... jangan sampai kehabisan ya... @ babat, jawa timur, indonesia",Positif,"Nagih, ngprul, renyah banget bestie... jangan sampai kehabisan ya... @ babat, jawa timur, indonesia"
im not trying to make you worry it just a help but its your rights to choose im not even try to ask anyone to married i will depend to neutrals.,Netral,I'm not trying to make you worry it's just help but it's your right to choose I'm not even trying to ask whoever to marry I'm going to depend on neutral.
"i think, i need better support system. :((",Negatif,I need a better system of support.
ppkm vakingsit. mari kita merayakan self healing,Positif,I want you to make me feel better.
yok semangat bestie iktikafnya :smiling_face_with_smiling_eyes:,Positif,I'm not sure what I'm saying.
goblok butuh support system,Negatif,Goblok needs a system of support
"kalau my clinical judgement dipertanyain, fix red flag ini",Negatif,"If I judge the clinic I'm going to be asked, I'll fix the red flag."
"senggol bestie, promosi baru kampus muhammadiyah lewat tiktok",Netral,"Senggol bestie, promotion baru kampus muhammadiyah through tiktok"
"who would smile while listening to a sad story? but strangely, i keep opening you up page by page and i've fallen deeply as i read into you.",Netral,"But oddly enough, I keep reading you pages and pages and I fall in while reading you."
"here we go again, strolling around the city",Netral,"We'll go back again, walk around the city."
"everytime i had a coffee, anxiety and amygdala activity: :chart_increasing::chart_increasing::chart_increasing::chart_increasing::chart_increasing::chart_increasing::chart_increasing::chart_increasing:",Negatif,"Every time I drink a copy, anxiety and activity of the amygdala:"
self healing:),Positif,I'm not sure.
ini tuh literally terdebest ever :loudly_crying_face::loudly_crying_face::loudly_crying_face:,Positif,This is the longest debate ever.
jujurly org lgsg to the point lbh menarik dr sekedar basa-basi gini. wasting time banget gak si?,Negatif,I'm not sure if I'm going to be able to do this.
ceritanya meng-healing :nerd_face:,Netral,Cerita meng-menyembuhkan:
tidur adalah healing terbaik,Positif,Sleeping is the best thing I can do
ga semua permasalahan harus diceritakan y bestie,Netral,I have to tell my best friend
mantap bestie,Positif,The best of the best
healing,Netral,penembuhan
"niat mau chill di pantai malah hujan terus,ditambah kemarin ada yg meninggal gegara tenggelem jadi parno. nerbener semesta tdk mengizinkan aku untuk healing :relieved_face:",Negatif,"I want to be on the beach even if it rains, plus yesterday someone died, so there's nothing."
"be with someone who respects you, even when you're not around.",Netral,"With someone who loves you, even when you're not around."
"gua paling benci overthinking in hal ini.. bangsat, napa melintas dipikiran gue tot !!! anjg !!!",Negatif,"I hate to think too much about this... bangsat, napa melintas think I'm totally!!!"
menuju kota kembang. mini staycation weekend to bandung :beaming_face_with_smiling_eyes: @ bandung,Netral,Going to Kota Kembang. Mini staycation weekend to Bandung: beaming_face_with_smile_eyes: @bandung
gimana bestie kamu kangen?,Netral,How are you?
overthinking yg memang berasal dari over problems,Negatif,Thinking too much is actually a problem
awalnya cuman nyender sambil overthinking. lama² kok ndusel :relieved_face:,Negatif,I'm not sure what I'm thinking.
"nampaknya akan tsuyu hari ini ditempatku :cloud_with_rain::cloud_with_rain:... yuu ... lhaa ini udah mendung lagi .. :cloud::cloud::cloud:... tapi ngga apa2lah , so aku sangat suka sekali sama hujan .. :cloud_with_rain::cloud_with_rain::smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes:",Positif,"See, I'm going to be a little busy today. I'm going to be a little busy today."
"~ disini tempat healing terbaik ketika depresi melanda beberapa waktu lalusaya tidak tau sugesti apa hanya saja rasanya bisa lebih tenang dan lebih mensyukuri apa yang terjadi baik dan buruknya, rencana allah sungguh tidak terduga dan pasti ada maksud dari semuanya.",Positif,"~ This is the best place to find a cure when I was depressed a few days ago I don't know what the only way to feel can be more calm and more mensyukuri what happened better and worse, plan Allah really not terduga and there must be a purpose of everything."
staycation with goood friend.. alhamdulillah... welcome 2021,Positif,Staycation with my best friend.. alhamdulillah... good luck 2021
berkedok healang healing,Netral,Berkedok healing healing
"suka kepo bgt, apa sih yg ada dipikiranmu?? seperti gak habis pikir...",Negatif,"Like, what the hell are you thinking?"
"it's not a hobby, it's my way of life.. my support system slide :backhand_index_pointing_right:4&amp;5 @ luwuk sinergy gym",Positif,"This is not a hobby, this is how to live.. system dukungan saya slide: backhand_index_pointing_right:4&amp;5 @ luwuk sinergy gym"
kalo seandainya overthinking bisa bikin badan maskulin kayanya w udah kekar kek ade rai nich :flushed_face:,Negatif,Kalo seandainya too thinkin bisa bikin badan laki-laki it seems like I already have cake ade rai nich:
i can be clingy then be cold af real quick,Netral,I can cling and then get cold from really fast
"rasanya pengen ke pare kampung inggris lagi asli best healing banget, ditambah dapet ilmu:sparkles:",Positif,I feel like I want to go back to my home country.
"bgajak putus to the point, yaudah gitu kali ya. soalnya ga pernah ngajak putus, selalu diputusin",Negatif,"I never broke up, always broke up."
lagi ngk mau pacaran tapi butuh someone to something kayak semacam support system yang always listening and understanding.,Positif,I don't want to date again but I need someone to do something like some kind of support system that always listens and understands.
"jujurly, gw gak sirik sih sm yg posting ngumbar kemesraan di sosial media. karena gw udh tua kali yah",Netral,"Jujur, gw gak sirik sih sm yg posting ngumbar kemesraan on social media."
gapeka x denial,Negatif,Gapeka x penolakan
inisial ca tu siapa gaesss. spill **** .,Negatif,This is the beginning of what you see.
"i'll never understand this ****. even as a child, i wasn't scared by horror films. because i knew it was fiction.",Negatif,"I'll never understand this. Even as a kid, I'm not afraid of horror movies."
tiba-tiba kebangun dan overthinking... lancarkan segala urusanku tuhan,Negatif,Suddenly I woke up and thought too much... and everything went well with me.
bestie is it really a hidden gem or were you just kurang jauh mainnya selama ini?,Netral,Is this really a hidden gem or have you been away from the mainland for so long?
wong wadon ncen juara nek kon clingy,Negatif,Wong wadon ncen juara nek kon clingy
even ojou knows moona's legendary sentence,Netral,Even Ojou tahu kalimat legenda moona
"besok tutup buku, alamatt gak jd staycation:loudly_crying_face::face_with_steam_from_nose:",Negatif,"Tomorrow is the closing of the book, so I'm going to stay."
hiyaa jam indonesia bagian overthinking,Negatif,Hiyaa jam indonesia bagian berpikir berlebihan
just try to fill my bucket with national parks around the archipelago... @ baluran national park,Netral,Try filling my ember with the national park around Kepulauan...
it's ok… i'll still love you for the rest of my life no matter will happen in the future. my heart belongs to you even you don't love me back…,Positif,It's okay... I'll still love you for the rest of my life no matter what happens in the future.
ini leslar muncul terus bikin overthinking dh.,Negatif,"I'm a lesser student, and I keep thinking too much."
kakakku tiap mau ke kampus pasti minta uang ke saya:smiling_face_with_tear: literally tiap hari :slightly_smiling_face:,Negatif,I'm going to college every day. I'm going to college every day.
"baru sempet baca hari ini this chapter is actually really good, we now have osaragi's background story and all the things leading up to her actions. and of course, her somewhat twisted idea of love. i believe ""twisted"" is a good word to use to describe it.",Positif,"I just started reading today about this really good, now we have a story behind Osaragi and all the things that lead to his tindakannya."
"finally my favbv doy with beret selfie came out, change my pp bcs he's so cute:pleading_face: its gonna be my fav pic for a while",Positif,"Finally my favorite with the selfie beret comes out, change PP Bcs it so imut: pleading_face: it will be my favorite photo for a while"
"dalane dewe ki bedo bedo bestie, rasah ngakon wong liyo kudu ngene kudu ngono melu karepmu. ben o deke mlaku nk dalane dewe arepo dalane ruwet elik akeh gronjale. ngenehi saran yo ngenehi tp tulung kata katane diatur, saranmu kui luwih ngakon nng deke ngerti rak?",Netral,"Dalan devane ki be be be bestie, rasah ngakon wong liyo kudu ngene kudu ngono melu karepmu. ben o deke mlaku nk dalane devane arepo dalane ruwet elik akeh gronjale. ngenehi saran yo ngenehi tp tulung kata katane diatur, saranmu kui kui kui more ngakon ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng ng"
people died in front of my eyes while another still insisted that covid-19 doesn't exist,Negatif,Orang-orang died in front of me while others still insist that COVID-19 is not there
staycation,Netral,place of residence
"bentar lagi kelar magang, mau ninggalin kota batu kok ya rada berat. kyk udah nyaman aja, apalagi disini hawanya enak banget adem. apalagi di pabrik juga udah kenal sama pekerjanya, literally kenal semuanyaa.",Negatif,I'm not going to be able to do anything else. I'm not going to be able to do anything else. I'm not going to be able to do anything else.
"whatever you face, sekala said:",Netral,"Whatever you face, Sekala says:"
"ceceran oil spill ditemukan mulai dari wilayah pantai bungin, desa pantaibakti hingga ke pantai beting, muara bendera desa pantaibahagia, muaragembong. cc",Netral,"Pencakar oil Ceceran is found from the provinces of Pantai Bungin, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi, Pantai Bangi"
halah overthinking meneh,Negatif,Halah thinking too much of me
tiba tiba overthinking:”,Negatif,I think it's too much.
"semangat, untuk terus meyakinkan diri sendiri kl kamu bisa:) self healing dimobil ditemenin mbak dengan positions for you nya kali ini",Positif,"Spirit, to keep convincing myself that you can:) self-healing dimobil ditemenin mbak dengan posisi untuk kamu kali ini"
"so, dengvaxia ws fda approved (europe &amp; everywhere else) &amp; has 76% effectiveness in preventing symptomatic. i know its 4 different inoculation but compare that 2 sinovac which we're supposed 2 willingly embrace while d other one continued 2 get crucified :face_with_rolling_eyes: politics' so illogical",Negatif,"So, dengvaxia ws fda disapproved (European &amp; amp; di mana-mana) &amp; amp; amp; have 76% effectiveness in preventing symptoms. I know 4 vaccinations that are different but bandingkan 2 sinovac yang should 2 willing to merangkul while d one other continue 2 becoming disalibkan: face_with_rolling_eyes: politik 'jadi tidak logis"
laper bestie,Netral,The best of the best
"60/365good morning universe :sun_behind_small_cloud:have a productive monday!comparing less, reflecting more. complaining less, manifesting more .. **** bless you all :smiling_face_with_halo::folded_hands:",Positif,"60/365good morning universe:sun_behind_small_cloud:have a productive Monday!comparing less, reflecting more. complaining less, manifesting more.. **** berhappily kalian semua:"
i'm emotionally stable compared to people around my age that i know.,Positif,I'm emotionally stable compared to orang-orang around your age.
