cleaned_tweet,label,backtranslated_tweet
santuy santuy 24 jam lagi baru terasa tegangnya :loudly_crying_face::loudly_crying_face::loudly_crying_face:,Negatif,Santuy Santuy 24 hours more baru terasa tegangnya:
tau ga apa yg bikin nguras energi? chatan sama crush yang cuek abis.. w selalu bingung jwb apa sedangkan dia suka matiin topik:loudly_crying_face:,Negatif,I'm always confused about what they like about this topic.
"open jasa support system :check_mark_button:calling 5k/menit, jdi alarm jg bisa :check_mark_button:chat 10k/hari, +fast respon, klo gk dibales brrti lagi tidur:rolling_on_the_floor_laughing: +ngingetin makan, mandi, sholat, tidur, dll +bisa jd tmpt curhat +bisa buat pamer di story wa :cross_mark:tdk membuka jasa vc, krn orngnya introvert:rolling_on_the_floor_laughing: *becanda y",Netral,"system dukungan jasa terbuka:check_mark_button:menelpon 5k/minute, jdi alarm jg bisa:check_mark_button:chat 10k/hari, +fast response, klo gk dibales brrti lagi tidur:rolling_on_the_floor_laughing: +ngingetin makan, mandi, sholat, tidur, dll +bisa jd tmpt curhat +bisa buat pamer di cerita wa:cross_mark:tdk open jasa vc, krn orngnya introvert:rolling_on_the_floor_laughing: *becanda y_laughing:"
"let's breathe, like the first time.. and you gonna be happy.. and you gonna be happy.. turn this all around.. when everything is new.. zero o'clock.""",Positif,"Let's go to Bernapes, like the first time... and you'll be happy... and you'll be happy... put all this... when everything is new... no jam""."
"as an ambivert, gw sedang dalam menikmati isolasi mandiri ini. like, jiwa introvert gw literally sedang menguasai badan gw. jiwa ekstrovert istirahat dulu ya. petakilannya ditabung buat nanti.",Netral,"As an ambivert, I am in the process of enjoying my own isolation. Like, an introverted soul literally is in control of my body."
"abis deeptalk sama sahabat ku dari sd tentang problem crucial age masing-masing , intinya jalanin aja bro , gak ada problem solving yang pasti . biar kehendak tuhan aja yang ngatur",Positif,"I have to talk to my best friend from school about the important problems of each age , intinya jalanin aja bro , no problem solving yang pasti ."
"is that even a minus? i mean, we can ruin the multiverse together.",Netral,"I mean, we could destroy the multiverse together."
going into new year with your lifetime support system :white_heart: @ leuweung geledegan ecolodge bogor,Positif,You are the only one who can do this.
cuancuancuan gada cuticuticuti sebuah relatable kehidupan usia 22keatas wkwkwkwkwkwkwkwk,Negatif,How to get a life related to age 22
kenapa si kalo setiap habis overthinking langsung jerawatan,Negatif,Why if everyone has thought excessive immediately jerawatan
"dulu sd, smp gapernah punya temen yg ampe bestie banget gitu, bener2 gapunya. ampe akhirnya smk ketemu mereka dan yaaa bener2 nyaman dan sebahagia itu. pertama kali ngerasain punya temen yang bener2 berhasil bikin aku ga pingin ninggalin sidoarjo, ya mereka ini.",Positif,"First time I ever had a friend who was really good, I didn't want to leave my job, yeah they did this."
"wah ada yg habis ganti bio tadinya bio nya ""no salty"" terus abis itu dia sendiri ngesalty wkwkw spill gak nih? macem2 sama gemini:zany_face::smiling_face_with_horns:",Negatif,"I'm not a ""white"" person, but I'm a ""white"" person."
"dulu belum knal pengen tau,kepo,pengen memiliki...sekarang udah dapet..di sia siain..dasar:grinning_face_with_sweat:",Negatif,I don't know what to do. I don't know what to do.
yang ga paham apa-apa nilainya bagus. giliran yang paham banget sampai detail-detailnya malah dapet ga sesuai harapan... ah i don't know how to face and describe this semester actually..,Negatif,Yang ga ga-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-fa-
"selalu berupaya menjadi support system untuk orang lain, tp gakbsa nolongin diri sendiri kalo lg stress.. pada akhirnya badan drop gak karuan.. payah sekali aku :upside-down_face:",Negatif,"I always try to be a support system for others, but I can't manage myself if I'm stressed... finally the body comes down from the work..."
99's bestie :smiling_face_with_heart-eyes:,Positif,99's best friend: smiley-senyum with mata-hati:
he's always reminds me that i'm pretty all the time even me without make up:slightly_frowning_face::growing_heart:,Positif,She always reminds me that I am beautiful all the time even without makeup.
tunggu aku kumpul bukti dulu baru aku spill akun angel yang aku maksud sebagai 'cepu' harap bersabar sayang biar kagak jadi fitnah... selamat malam :smiling_face_with_open_hands:,Negatif,"I'm talking about an angel yang I mean as a ""cepu"" hope you can take it easy dear don't be a fitnah... good night:"
"these people actually exist; is literally at brunch in her profile pic...as long as things are polite, bombs away!",Netral,"Orang-orang is really there, literally in the photo profile... during hal-hal yang sopan, bom jauh!"
suka denial kalau ternyata preferensi warna gw itu pink :backhand_index_pointing_right_light_skin_tone::backhand_index_pointing_left_light_skin_tone:,Negatif,They are not the same as the other two.
"sebenernya pengen healing tadinya menjelang taun baru, tp diajak sahabat ma couple nya buat dinner, mu nolak ga enak, jd ya skip staycation di ubud nya, besok2 aja deh",Positif,"I'm going to make a few new meals, but I'm going to skip the holiday in ubud nya, tomorrow."
hahahihi bestie kintil,Negatif,hahahihi bestie kintil
"potret keseruan personel polri saat menggelar kegiatan trauma healing untuk anak-anak di pesisir pantai samas, kabupaten bantul, provinsi diy. wujud kepedulian bersama",Positif,"Portrait of the personnel of the Polri while engaged in trauma rehabilitation activities for children in Pesisir pantai samas, kabupaten bantul, province diy."
bestie lagi pada apa nih?,Netral,The beast again on the bottom?
even people here in indonesia loves :hibiscus:,Positif,Even orang di Indonesia likes: hibiskus:
jadi overthinking grgr komen temen yg agak nyesek. ya namanya firasat org lain berbeda tapi ga harus lah ya ngomong kaya gitu direct ke aku. doain aja yg terbaik bisa kan… yg terlihat pasti aja belum tentu akhirnya sama. jalanin sesuai kata hati dan apa yg ada didepan :winking_face:,Negatif,So too thinking grgr komen temen yang agak nyesek. ya name firasat org lain beda tapi ga harus lah ya ngomong kaya gitu langsung ke aku. lakukan aja yang terbaik bisa kan... yang terlihat pasti aja belum tentu akhirnya sama. jalanin sesuai kata hati dan apa yang ada didepan:
"cerita hidupku di bikin novel aja trus tukunen, timbang kepo terus urusan privacy ku",Negatif,"Kisah hidupku di bikin novel aja trus tukunen, weighing kepo on my privacy"
bestie katanya,Netral,The beast says
spill **** sifat kamu yang pengen bangen diuninstall..,Netral,I swear that sifat kamu yang pengen bangen is installed..
"tp memang itzy lebih prefer sama warna warna cerah sih, dark dark gini kek gimana gtu",Negatif,But they like me better than the color of the sky.
too early morning for healing. :sparkles:,Positif,It's too early to say.
"i know i'll never vote for dems/repubes ever again. at this point, anyone whom still does is insane. literally the definition of insanity: attempting the same failed mistakes (voting red/blue) &amp; expecting different results.",Negatif,"I know I will never do anything wrong for dems / repubs again. At this moment, whoever is still doing it is crazy."
setelah hapus no nya tenang sihh ngga kepo scroll kebawah wkwk,Positif,"After I quit, I'm not going to be quiet."
kalo liat panda suka bingung. mereka tuh masih masuk dalam famili ursidae (beruang) tapi kelakuannya kek bocah dan bentuk gemesin. padahal mereka literally punya kekuatan yang bisa bunuh orang dewasa.,Netral,If you look at the pandas they are confused. They are still in the family ursidae (beruang) but they do not have cake children and form gemesin.
lagi nunggu update soal berita arya saloka selingkuh sama amanda manopo :grinning_face_with_sweat: ga penting bgt tapi kepo anjjr,Negatif,I'm still waiting for the update on the news.
dinotice crush :backhand_index_pointing_right::backhand_index_pointing_left: from this to this,Netral,The following is the list of the countries of the European Union:
ada orang healing ke puncak aja udah aneh :face_with_tears_of_joy:,Negatif,There are orang-orang yangs on the top of the mountain.
21stjunecountdown literally got me like a clown :clown_face::clown_face::clown_face::clown_face:,Negatif,June 21st Countdown really makes me look like a clown:
"kalo diperlakukan dengan buruk, bakalan ada thread spall spill anu kecil lagi.",Negatif,"If I'm treated badly, I'll have a spall thread I'll be spitting on my little kid again."
merasa bersalah ama jadi overthinking :tired_face:,Negatif,I feel guilty but I think too much.
"take a break for tonight, there is a tomorrow where you will be slaughtered by the reality of life which is full of theatrics. ( ""istirahatlah untuk malam ini, ada hari esok dimana kamu akan dibantai oleh kenyataan hidup yang penuh dengan sandiwara."" )",Negatif,"Rest for this night, there is a day where tomorrow you will be blessed by the reality of living yang penuh dengan sandiwara."
"i wish that i have a superb january, a dazzlin' february, an anxiety free march, a peaceful april, a sensational may, and joy that keeps goin' from june to november, then round off with an upbeat december! happy new year, 2021 :fireworks::sparkler:",Positif,"I wish I had a January yang luar biasa, February yang mempesona, Maret bebas kecemasan, April yang damai, Mei yang sensational, dan sukacita yang terus berjalan dari Juni hingga November, kemudian berakhir dengan Desember yang optimis!"
makan dulu bestie... biar bisa ee,Netral,Eat dulu bestie... let it be
healing :relieved_face: :red_heart: @ grand puri water park,Positif,######################################################################################################################################################################################################
ini gaada yg ngajak gw staycation gtu:loudly_crying_face:,Negatif,I'm going to stay here.
"even though you hurt me, i still find ways to be with you",Positif,"Even though you hurt me, I still find a way to be with you"
staycation,Netral,place of residence
mau nyari support system dimana si,Netral,I want to find a support system where you are
that's true. i'm in quarantine for having covid &amp; these problems &amp; dramas are slowly taking toll on me too. i just hope we get enough awareness around the world. #에이티즈해적왕이지도를뺏겼어요 해명해_사과해_인정,Negatif,I'm in quarantine because I have COVID &amp; problems &amp; drama this is slowly taking over my game. I just hope we get enough awareness from the whole world. #ēiiti즈해적왕이지도를 빼앗겼습니다 해명해_사과해_인정해
"welcome march, the 3rd month of this year. can't hardly wait for your surprises! while outside is raining cats and dogs. :orange_heart:",Positif,"Happy March, third month of this year. Can't wait for your birthday!"
"kesini cuma karna ngincer sesuatu sbelum kehabisan, karna kata mall sebelumnya stoknya tersedia di sini. i'm a go-getter, it annoys me sometimes if i still couldn't get a thing that surely i still can afford. trus dpt lg yg lain yg lg promo.. mayan, rejeki anak baik kali ya..:folded_hands_light_skin_tone::blue_heart:",Positif,"I'm a go-getter, it's a member of me sometimes if I'm still not able to get something I'm still capable of."
"dulu tuh g trllu kepo sama skz, tau skz cma g knl smua memb nya, cm knl aussie line doang. terus suatu hari bertepatan sm keluarny mv miroh, ak lagi bosen cari deh tu vid vid di yt, trus mv miroh muncul di beranda, trus penasaran, akhirnya ak tonton &amp; nyantol jd stay smpe skrng.",Positif,"We may not be able to do so, but we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can do so, and we can"
"hmm, i think i have to rework the way i respond to rejections. even a little hesitation can disrupt my peace? that's overwhelming and super unnecessary.",Negatif,I think I should fix my way of responding to penalties. Even a little doubt can bother my family.
"jadi jurnal unsud ini gada layouternya, langsung ngeditnya di halaman layoutnya (bentuknya a4 si), nah terbitan pertama april kan, like literally barusan aku sm pimrednya ""mengunggah"" artikel terakhir buat edisi 1. deadline is our best friend :handshake::handshake:",Positif,"So journal unsud ini gada layouternya, direct ngeditnya di halaman layoutnya (bentuknya a4 si), nah terbitan pertama april kan, seperti secara harfiah baruusan aku sm pimrednya ""mengunggah"" artikel terakhir buat edisi 1. deadline adalah sahabat kita:"
how would that even work lol,Negatif,How could it work lol
"percaya deh,ketika dia memang lelaki yg serius dan sungguh2 berkomitmen dia akan benar2 siap menerima kelebihan dan kekurangan kita. apapun itu kelebihan dan kekurangan kita.",Positif,"I believe, when he is a serious man and commits he will be really ready to accept our excesses and shortcomings."
"sudah 2 hari overwhelmed dengan informasi dari luar. bukan bikin semangat insecure iya, kata² ""lo harusnya!"" ""lo jangan gitu lah!"" ""lo gaboleh gitu"" semua katanya manipulatif supaya gue ikut saran semua orang capek beban pikir.",Negatif,"I've been busy for two days with information from outside. I'm not doing anything. I'm not saying ""you should be doing this!"""
"some people have no idea how embarrassing and cringe the slogan is... only to be so proud shouting it, even at their events. it is like an admission and support for kleptocracy and corruption. malu apa? bosskurap.",Negatif,"Some people don't know how much I remember and remember the slogan it is... just to be so proud of the men's rights, even on their show."
this is going to be a mouthwatering season involving liverpool and mancity. will it be down to which club more at a disadvantage due to world cup?,Netral,Will this be a season that involves Liverpool and ManCity?
"well i am grateful being ""still"" alive and still on track for my study even so many obstacles and drama like riding a rollercoaster....and tomorrow i hope i get a good news",Positif,I'm thankful I'm still alive and I'm still on the path to learning even though there are so many obstacles and drama like going up rollercoaster....and tomorrow I hope I get a good news
"kalo ngomongin kebaikan mereka, mereka lebih baik dr apapun. dah gatau lg kalo ga ada mereka taun ini udah ambyarr:broken_heart: thankyouuu bestie(s), yall the beeeesttt in 2021:red_heart::red_heart:",Positif,"If we talk about their goodness, they're better than anything."
pagi bestie :smiling_face_with_hearts:,Positif,I'm not sure.
"sering banget menertawakan pikiran sendiri , memarahi pikiran sendiri. kurang lebih yaa seperti orang gila sii marah², ketawa² sendiri, tapi yaaa menurut ku healing dari keruwetan pikiran salah satunya ya itu . asiik banget dapet berbincang dengan diri sendiri itu.",Positif,"I often get very funny in my own mind, I get crazy in my own mind. It's more like crazy if you get angry, but yeah I think I get rid of my thoughts and I think it's one of them."
my other personality just now blocked my very first crush from mid school like lol bye **** :waving_hand_light_skin_tone:,Negatif,My personality is that of someone else who has just blocked my first love from high school.
sik ujan padahal rumah bestie ku dkt dri rumah ku:grinning_face_with_big_eyes:,Netral,"When it rains, the best house is my house."
mikirin&gt;overthinking&gt;ga tidur~,Negatif,I think I'm going to sleep too much.
"although i prefer psg or madrid to win champions league, i can see there's silver lining if city ended up winning this elusive trophy: pep will feel content, and hopefully complete his mission there.the guy is bloody genius. not good for us :grinning_face_with_sweat:",Positif,"Although I prefer PSG or Madrid to win the Champions League, I can see a silver lining if City ends up winning trophies."
mo nanges gue beli ginian. for me it's pricey but for some people is quite affordable. actually i can afford it but i have to save my **** money first just to buy this perfume. untungnya buy 1 get 1 free jadi ngga terlalu nyesek deh yaak.,Negatif,I need to buy my parents. Give me expensive but give some people quite affordable. Actually I can afford but I have to save my money first way to buy this perfume.
p need bestie,Netral,I need a best
akhir tahun ini ditutup dengan deep talk:full_moon_face:,Netral,This year's final round is closed with a deep talk: full moon face:
"abis deep talk sm abri soal inves, yaa allah tergiur. daripada lari ke album sm kertas ganteng kan yaaa???",Netral,I'm not sure if I'm going to be able to do this.
"hp udah ditaroh biar bisa cepet tidur, eh kok random tiba tiba kepikiran, kuda kenapa harus dikasi tapal kuda dari yg biasanya dari baja? apa ngga sakit? apa ngga risih? nempelinnya pake apa? dipaku? di lem? ampe setengah jam gajadi tidur malah kepo. trus akhirnya searching",Negatif,"I'm not sure why I should be sleeping so fast, but I'm not sure why I should be sleeping so fast."
reason i am not mad is probably that my whole life i played only mobile games and a lot of it. so this **** basically doesn't get me mad because i only play mobile games that aren't banned here.,Negatif,The reason I'm not angry is probably because all my life I've only played mobile games and a lot of things.
"i will never able to kiss u on ur forhead anymore and i can't even look at you at your last time, im a terible mom but i've doing my best, i love u forever ciki. ur my sweetest anabul i've ever had:sparkling_heart:",Positif,"I won't be able to see you again in front of you and I won't even be able to see you last time, I'm a terrible mom but I'm doing the best, I love you forever."
"healing murah ya,, healing sambil kerja mungkin itu dulu yg bisa di lakukan :wilted_flower:",Positif,"I'm going to make it cheap, I'm going to make it work."
jangan lupa photo jare healing.!!! . . @ photo grafer,Netral,Don't forget to take photos this year.
kadang2 hype nya fujo matiin minat urg yg mau nntn samting yang even i've already know that's sh*it is good... what a turn off :'(,Negatif,Sometimes I get a little hype about my fujo matiin interest urge yang wantnntn something yang even i already know it is sh*t good... apa mati:'(
malem2 overthinking gaenak bgt sumpah,Negatif,I'm not sure I'm gonna make it.
i know it's hard to keep an open heart when even friends seem out to harm you but if you could heal a broken heart wouldn't time be out to charm you sial .. aku terbawa suasana,Negatif,I know it's hard to keep open your heart even when your friends seem to hate you but if you can break your heart there won't be time to keep your heart open
selamat sahur bestie. :drooling_face::drooling_face: sengaja sahur lebih awal biar bisa tidur lebih lama :beaming_face_with_smiling_eyes: :OK_hand: mayan bangun2 subuh.,Netral,Happy sahur bestie. :droling_face::drooling_face: intentionally sahur earlier so I can sleep longer.:beaming_face_with_smile_eyes: :OK_hand: mayan bangun2 pagi.
"wkwkwkwk, not even the slightest attempt to apologize for riding on racist sentiments 5 years ago. what a complete ****. kalo lo baru 5 taun yg lalu doyan nyerempet2 rasisme buat dukung calon lo terus skrg sok2an anti-rasisme at least punya malu dikit kek buat minta maaf :rolling_on_the_floor_laughing:",Negatif,"Wkwkwk, even not a little time ago I tried to apologize for racial feelings 5 years ago."
i was today years old when i found out that wu-tang clan's c.r.e.a.m actually stands for cash rules everything around me.,Netral,I'm only two years old now I know that C.R.E.A.M. Wu-tang clan actually represents the rules of cash around me.
layangan putus worth ga sih buat di tamatin? wkwkwkwk kepo dah,Netral,"Layangan putus tidak layak membuat di tomatin? I mean, what is it?"
open minded,Negatif,I have an open mind
sekarang whatever up to you.,Netral,Now what's the worst for you.
"honestly, i just want to sleep right now",Netral,"Jujur, I just want to sleep now"
manifesting lain kali kalo ke indo konser aja pls:smiling_face_with_tear::palms_up_together_light_skin_tone:,Netral,I'm not sure if I'm going to be able to do this.
mentally exhausted to the point gue nangis perkara hal sepele banget: laundryan kecampur. packing sambil nangis karena ngerasa diri sendiri useless bgt kok bisa-bisanya laundry-annya kecampur.,Negatif,I'm not going to be able to do this.
kepo ****,Netral,I'm not going to be able to get it.
does it make sense that a person can feel this lonely even after meet bunch of people?,Netral,Is it logical that someone might feel lonely even after meeting a bunch of people?
meet up with bestie :smiling_face_with_hearts:,Positif,I'm going to meet you.
"truth is as straight as an arrow, while a lie swivels like a snake....-suzy kassem- . :camera: : nokia 5.4 .",Netral,"The truth is straight like a bow, while the kebohongan is like a snake."
"i believe in you ****, and i'm sure one day i will feel happy again even though i don't know when.",Positif,"I believe in you, and I'm sure one day I'll feel happy again even though I don't know when."
kate hudson stills cries thinking about son ryder being in college: 'it's hard to even talk about' - access,Netral,Kate Hudson is still crying thinking about Ryder being in high school: 'Solut Even To Talk About' - Access
"jangan sok sokan misterius bestie, inget kamu jelek.",Negatif,"Don't be so shy, mystery bestie, inget kamu jelek."
wish list that must be fulfilled within 5 years ahead : 1. punya usaha cafe/rumah makan :hot_beverage::steaming_bowl: 2.punya sanggar senam n gym khusus ciwik:woman_in_lotus_position_medium_skin_tone::woman_lifting_weights_light_skin_tone: 3. punya anak 3 :rolling_on_the_floor_laughing: (suami'y menyusul deh yee bestie rahasia ilahi soalnyahh) 4. keliling pulau jawa minimal:station: 5. pegi umroh lageee dongs:airplane::kaaba:,Positif,List of wishes that should be fulfilled in time 5 years to come: 1. have a business cafe/rumah makan: hot_drinking:: steaming_bowl: 2.punya sanggar senam n gym special ciwik:woman_in_lotus_position_medium_skin_tone::woman_lifting_weights_light_skin_tone: 3. have a child 3 :rolling_on_the_floor_laughing: (suami'y'y menyusul deh deh bestie ilahi ihh) 4. keliling pulau jawa:station: 5. go to minimum umrohee dongs: plane::kaaba:
