cleaned_tweet,label,backtranslated_tweet
kalo udh mulai overthinking suka sesek di tenggorokan. kek yg mo nangis aja gtuh :frowning_face::frowning_face:,Negatif,If you're starting to think too much like sesek di tenggorokan.
**** my heart misses him so much even though my heart is broken to see him happy with another woman,Negatif,*** hatiku sangat merindukan dia walaupun hatiku patah melihat dia bahagia dengan wanita lain
healing bersama ayanggg,Positif,I'm going to make it with Ayanggg.
"“the sight of an indigo sky was beautiful. it was when darkness allowed light to shine for a while.”nimisha toshniwal :folded_hands::wrapped_gift::blue_heart: @ badung, bali, indonesia",Positif,"The scenery of the sky indigo is beautiful. Saat gelap memungkinkan cahaya bersinar untuk sementara waktu. nimisha toshniwal: dilipat_tangan:: dilipat_hadiah:: biru_hati: @ badung, bali, indonesia"
"ㄴㅇㅅㅌ makasih yaaa kalian tu fandom terbaik! ga pernah ribet, ga pernah ribut, bawaanya santuy, fokez ama our boys doang ga pernah babibu bacot war wor war wor ga **** :folded_hands_light_skin_tone: aku berada di jalur yang benar selama 10 tahun ini :folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone:",Positif,"ᄋᄉ 感谢 yaaa you guys fanom terbaik! ga pernah ribet, ga pernah ribut, bawaanya santuy, fokez ama anak-anak kita doakan ga pernah bayi bacot perang perang perang wor wor wor ga ****: dilipat_tangan_hanya_kulit_tone: aku berada di jalur yang benar selama 10 tahun ini: dilipat_tangan_hanya_kulit_tone:: dilipat_tangan_hanya_kulit_tone:: dilipat_tangan_hanya_kulit_tone:: dilipat_tangan_hanya_kulit_tone: dilipat_tangan_hanya_kulit_tone:"
siapa yang nangis sesugukan nonton maleficent? even udah di rewatch berkali2? aku.,Negatif,Who's crying because watching Maleficent?
this is the point.,Netral,This is going to be the intention.
3 point to the gunners,Netral,3 points for penembak
kobo is actually argentina :Argentina: sky blue &amp; white the sun means the bright weather as her job is to expell the rains vamos argentina :Argentina: messi goat :goat:,Netral,Kobo sebenarnya adalah Argentina: Argentina: langit biru &amp; amp; putih matahari means the weather is cerah karena pekerjaannya adalah untuk mengusir hujan ayo Argentina: Messi kambing: kambing:
"do you try to see things from their point of view as well or do you try to make them understand you? you can both be telling the truth but each from your own perspective. understanding that alone, can stop lots of conflicts.",Netral,Are you trying to see things from their point of view too or are you trying to make them understand you?
"gue sebenarnya malas berteman dengan orang yang homophobic(+transphobic) &amp; all around benci feminisme+sosialisme. tapi, berhubung mereka baik sama gue &amp; kadang2 suka menolong gue, jadilah gue kompromi sana sini di dalam pergaulan walau aslinya gue sangat bertentangan.",Negatif,"I actually have a problem with the homosexual people, so I'm going to understand what I'm saying in the pergaulan, even though I'm really very opposed to it."
"tft, happy bgt healing nya ditemenin.....",Positif,"Tft, happy bgt menyembuhkan ditemenin baru..."
hey furu fam! which superhero is your most favorite one? mine is spiderman!! because he somehow relates to our teenage life and i like his suit as well!! i dedicated this mosu x spiderman = spidermosu! ****,Netral,Hey furu fam! superhero mana yang paling kamu sukai? i am a spiderman!! because he is somehow related to the life of our teenager and i am also like costumnya!! i am dedicated mosu x spiderman = spidermosu ini! ****
main close friend tp bkn berarti bsa share anything.. namanya manusia ya even sahabat sekalipun bsa jd dajjal klo d ksi kesmpatan.,Negatif,But it doesn't mean I can share anything... it's called a human being and even my best friend.
"the question is : is indonesia still get easily an eastern military equipment such as from russia? all companies that related to russia now has sanctioned by u.s. which mean small possibility to get mor equipment from :Russia:, especially export ""downgrade"" of su-35k kommercheskiy",Netral,"The question is: can Indonesia still get with easy military equipment like Russia? all companies related to Russia have now been approved by AS which means little possibility to get more equipment from Russia:, especially export ""pengurangan"" Su-35K kommercheskiy"
bos aku udah ngadain tour healing tapi temen kerja pada gak mau liburan emang aneh temen2ku ini :(,Negatif,I'm on a journey to help but my friends at work don't want to go on vacation.
self healing self healing matamu a,Negatif,The Commission shall adopt the following measures:
"gara2 buka line malah flashback, buka ig kok gaada foto berduanya. overthinking.. kenapa nihhh",Negatif,"Look at the flashback, look at the photo of the two of them."
"immerse in the tropical paradise:palm_tree::coconut: which one is your favorite? 1, 2, or 3? @ nusa penida bali",Netral,"terjun ke surga tropis:palm_tree::coconut: mana yang Anda sukai? 1, 2, atau 3? @ nusa penida bali"
salah jam overthinking,Negatif,Salah jam thinking too much
overthinking lagi?,Negatif,Thinking too much again?
pumya seseorang yg langsung paham tanpa kepo masalah gue emg debest sih,Positif,I'm not sure if anyone understands me right away.
"tidak hanya pernikahan, overworking aja udah bisa bikin kita gak ada waktu buat temen. kuncinya cuma satu, you have a support system. simpel aja, suami paham kalo istrinya jg butuh kebebasan berkawan. kalo kamu punya ini, pernikahan aman, persahabatan jalan.",Negatif,"I don't know how to get married, I work too much, I can't do it, I don't have time for friends. I just have one, I have a support system."
duar langsung overthinking,Negatif,I think it's too much.
capek begadang terus gara2 overthinking:(,Negatif,I'm just starting to think too much.
you know? i think it's time to trust my instict even more.,Netral,I think it's time to believe in more than me.
"pernah cari makan malem sama crush dari rumah ke sumber, manahan, balaikota,mojosongo, ujung2nya cuman makan 1 km deket rumah wkwkw.",Netral,"Have you ever tried to eat after a while while before you crushed from house to source, manahan, balaikota, mojosongo, ujung2nya cuman makan 1 km deket rumah wkwkw."
"curhat chanyeol ke mas crush jdnya begituu, antara sedih tp mo ngakak:slightly_smiling_face:",Netral,"I'm so sorry, but I'm not sure I'm happy with it."
overthinking itu nyiksaaaaa,Negatif,Thinking too much is not enough
boleh lah staycation bareng ke bali,Netral,I can stay with you in Bali
careful! $xrp is getting pumped by a group with 180.000 members. i did not even know this was possible! they also pumped $eth and $btc. they will pump again tomorrow!,Netral,"XRP is being pumped by a group of 180,000 members. I don't even know this is possible! They're also going to pump $eth and $btc. They're going to pump again tomorrow!"
"score aside, i actually like the feisty-ness of the players. that being said, our options in front are pathetic",Positif,"I like to play yang very hard, but our choice in front is very difficult."
healing dengerin suara jamur,Netral,I'm going to make a sound
staycation di akhir ppkm level 4,Netral,Staycation at the end of PPkm level 4
"sungguh, tempat ternyaman saat ini buat self healing",Positif,"Really, where orang-tuas are now doing a penembuhan diri"
tahun baru kemana aja? me: really fcking me: for fcking shake this ny does not even make some hype:,Negatif,I'm really not making any hype.
gak bisa bobok bestie,Netral,I can't be bothered
healing nya ke warunk:3,Positif,I'm going to make a new war.
"[tuban 30°c] selamat siang …nasi jagung - literally translated as 'corn rice' - looks like couscous, but made of corn and has finer grains.:sun_with_face: @ maibit",Netral,"[tuban 30°c] selamat siang ...nasi jagung - literally translated as 'nasi jagung' - looks like couscous, but terbuat dari jagung dan memiliki biji-bijian yang lebih halus.:sun_with_face: @maibit"
kaget bestie baru bangun tidur nct dream cmbk,Positif,I was surprised my best friend just woke up and slept
cuma takut sama diri sendiri takut udh ga sanggup overthinking tiap hari.,Negatif,I'm afraid of myself. I'm afraid of myself. I can't think too much every day.
finally got a place where i can do whatever i want,Positif,Finally I have a place where I can do whatever I want
should y'all be concerned with the friends who's actually cepuin itu story too? they're low-key snake,Negatif,Should you worry about your friends who actually tell you the story?
we graduated together bestie :koala::hatching_chick:,Positif,Kami graduated with her.
"gradually, slowly but surely, will definitely get good results. постепенно, медленно, но верно, обязательно добьетесь хороших результатов.",Positif,"Slowly, slowly but surely, I will get a result that is good."
self healing terbaik,Positif,I'm not sure.
even the fools know nothing is forever~,Netral,Even orang bodoh know there is nothing yang forever~
"staycation di bogor emang selalu menyenangkan, selain banyak kuliner makanan disini juga sering turun hujan :blue_heart:",Positif,"Staying in Bogor is always fun, besides lots of culinary meals here also often rain:"
me: all day wandering around the realm of idiots,Negatif,I'm a little bit of a jerk.
"healing yang paling ideal adalah ""ketiban"" duit banyak, jajanin ortu, dan travelling keliling indonesia.",Positif,"Yang paling ideal is ""ketiban"" many uang, jajanin ortu, and traveling around Indonesia."
"lagi rame, gaslighting :rocket:",Negatif,"The first is the ""R"" and the ""R"" are the ""R"" and the ""R"" are the ""R"" and the ""R"" are the ""R"" and the ""R"" are the ""R"" and the ""R"" are the ""R"" and the ""R"" are the ""R"" and the ""R"" are the ""R"" are the ""R"" and the ""R"" are the ""R"" are the ""R"" are the ""R"" are the ""R"" are the ""R"" are the ""R"" are the ""R"" are the ""R"" are the ""R"" are the ""R"" are the ""R"" are the ""R"" are the ""R"" are the ""R"" are the ""R"" are the ""R"" are ""R"""
kondangan sendiri :check_mark_button: makan ayce sendiri :check_mark_button: jalan-jalan sendiri :check_mark_button: staycation sendiri :check_mark_button: ngopi sendiri :check_mark_button: tinggal nonton bioskop sendiri aja belum,Positif,Kondangan sendiri: check_mark_button: makan ayce sendiri: check_mark_button: jalan-jalan sendiri: check_mark_button: staycation sendiri: check_mark_button: ngopi sendiri: check_mark_button: tinggal menonton bioskop sendiri aja belum
rekomendasi film horror **** bestie,Netral,Horror movie *** bestie
"manifesting menang cipar, disponsori kantor ke bali :loudly_crying_face:",Positif,The report also highlights the importance of the newly created
"ya allah, aku masih nunggu kiriman black/tuxedo kitten yg sehat lincah aktif bisa makan minum pup sendiri dan clingy ya. (doa spesifik) :face_with_tears_of_joy:",Positif,"Oh, God, I'm still waiting for Kiriman Black/Tuxedo Cat Yang Healthy Lincah active can eat drink my own dog and cling to you."
"page 365 of 365 bisa jadi tahun yg baik, tapi tetep harus di syukuri. banyak cobaan bgt, mulai positive covid, kuliah semester akhir, proposal dan skripsi yg luar biasa buat puyeng, nangis"" tiap malem karna overthinking terus""an. tapi gapapa, tetep d syukuri sj. makasih ya, 2021",Positif,"Page 365 can be a year that is good, but still must be in syukuri."
"kalo emg aku salah, harusnya dia tuh bilang gitu apa salah aku, supaya aku gak overthinking dan berpikiran kemana-kemana.",Negatif,"If I'm wrong, he should say it's wrong, so I don't think too much and think where-kemana."
"actually showering cost 5min, else (inc desire) cost an hour",Netral,"Actually, I'm going to spend 5 minutes, if not one hour."
"i don't know if this will be my goal in life or just typing, but i will enjoy the world while get rich or die tryin",Positif,"I don't know if this will be the goal of my life or just me, but I will enjoy the world while I get rich or die trying."
"oyasuminasai .. ayuchan ... selamat beristirahat .. :sleeping_face::sleeping_face::sleeping_face:.. jaga kesehatan selalu .. jangan lupa sempatkan olahraga atau yoga:person_in_lotus_position: di weekend , agar badan kamu sehat :flexed_biceps::flexed_biceps::flexed_biceps: .. dan .. please ... besok &amp; hari minggu tetep usahain online yaa di twitter :folded_hands::folded_hands:",Positif,"Oyasuminasai .. ayuchan ... selamat berist ..: sleeping_face:: sleeping_face:: sleeping_face:: sleeping_face: .. jaga kesehatan selalu .. jangan lupa sempatkan olahraga atau yoga: person_in_lotus_position: di akhir pekan , agar badan kamu sehat:: flexed_biceps:: flexed_biceps:: dan:: tolong ... besok &amp; hari minggu tetap usahain online yaa di twitter:: hand_folded:: hand_folded:"
our 1% may not even be billionaires...,Netral,1% of us may not even be billionaires...
pulang kampung sambil liburan :zany_face:,Positif,I'm going to go back to my hometown.
i hate to be relatable but-- yeah,Negatif,I hate to be related but...
"akhirnya ""nonton film"" disela nugas.. gak berani pdahal takut kedistract nagih, tapi grgr spoiler jadi kepo haha 90/100 laaa buat kale:smiling_face_with_hearts:",Positif,"Finally, ""Nonton Film"" displays Nuga... I don't dare to be scared of being distracted, but grgr spoiler becomes kepo haha 90/100 laaa make kale:"
apa hukumnya buat doi yang udh peka sama kodean kita tapi tetep bodoamat. perlu dijadiin opor buat lebaran kah bestie?,Negatif,What is the law to do to make two young men do the same thing to us but still remain a fool?
did you really even come to bali if you didn't take a million photos in your private villa's pool? no? just me then? :face_with_tears_of_joy: #****,Netral,Are you really coming to Bali if you don't take millions of photos of your private villa?
"oh right, so is the band called mas 0094 or onewe? is the fandom l:cherry_blossom:vers or weve then? no wonder even the fandom name is about to get stolen :/ rather than fight for own fandom name, you choose to fight your brother group. right we r family after all~ /s",Positif,"Oh, really, so band named Mas 0094 or one of us?"
terimakasih kepada seluruh pihak yg telah ikut menyukseskan healing juli sebelum plp,Positif,Terimakasih kepada seluruh pihak yang telah ikut menyukseskan penyembuhan juli sebelum plp
"whatever you do, thank you",Positif,"Whatever you do, thank you."
gagal staycation di jogja. gara² aturan libur yang mencla mencle :loudly_crying_face:,Negatif,The Commission has not yet approved the proposed amendments.
yang dibutuhkan saat long weekend sekarang: healing sama bestie di bobocabin :pleading_face::sparkles:,Positif,What is needed at the end of the long week now:
pengen muntah langsungan overthinking :face_vomiting:,Negatif,I'm not sure I'm going to make it.
"bestie rasa dulur gendeng moro-moro telpon suarane pelat karo nanges. enakno slur miber e, ojok balek sebelom 4d karo ketemu budha",Positif,"Best rasa dulur gendeng moro-moro telepon suarane pelat karo nanges. enakno slur member e, ojok balek sebelom 4d karo ketemu budha"
"when the time comes, i want you to be my wife. walking with you in the heat and rain, running around and laugh :upside-down_face:",Positif,"When the time comes, I want you to be my wife walking with you in the heat and rain, berlari dan ridi:"
org2 mba somehow muka2nya setipe gt deh. rapih2,Positif,I don't know how to make a move.
"dlm hati said: enak ya jadi mereka bisa jalan kemana mana,bisa havefun,bisa ngerasaain healing. tapi badan ini maunya rebahan mulu:relieved_face:",Negatif,"In the meantime, I'm going to say, ""I'm not going to be able to get out of here, but I'm going to be able to get out of here""."
i'm not surprised actually~ seoho is just being :face_with_tears_of_joy:,Netral,I'm not surprised at the truth.
"the pygmalion effect, or rosenthal effect, is a psychological phenomenon in which high expectations lead to improved performance in a given area. the effect is named for the greek myth of pygmalion, the sculptor who fell so much in love with the perfectly beautiful statue",Netral,"The pygmalion effect, or rosenthal effect, is a psychological phenomenon where high expectations lead to improved performance in certain areas."
kelapa muda,Netral,the kelapa muda
"i randomly take my own poison, while i never knew that i choose it randomly too because my mind is too noisy to bear. here i am, floundering like a nearly dead fish in the middle of dry vast lake~",Negatif,"I'm taking my own poison, while I never knew I was choosing it because my mind is too busy to pick up."
kita bukan bestie :clown_face:,Negatif,We are not the best.
"disini mah, dibawah jam 11 malem udah ngantuk dan udah tidur. coba kalo dijogja jam segitu masih kuat melek sampe jam 1. faedah bgt sekalian healing kalo pulkam tuh:smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes:",Positif,"Here I am, below 11 pm already tertidur and already sleeping. try kalo dijogja jam segitu masih kuat melek sampai jam 1. benefit bgt sekalian sembuh kalo pulkam tuh: smile_wajah_dengan_menertawakan_mata:: smile_wajah_dengan_menertawakan_mata:"
"udah pernah ngerasain nyeterika sambil overthinking belum? kalo belum, cobain deh... rasanya, aaaahhhh, mantap!!!!! wkwkwk",Negatif,Have I ever experienced a little bit of a nervous breakdown while thinking too much yet?
cek shira media - self- healing by thought force - william atkinson dengan harga rp28.080. dapatkan di shopee sekarang!,Netral,This is the first time that the European Union has made a decision to make a decision on the future of the European Union.
"sumpahhh garcia siapa ji ini asli si overthinking berlebihan malam ini,garcia siapa sihhh kenapa ada apa aduhhhh mantan apa keluarga apa org jahat apa yg menghancurkan karir ji apa gimanaaaa deg deg an njirrr.",Negatif,"I swear Garcia who is this real si too thinking malam this, Garcia who is this why is there is something there is there is an old family here is an old family here is a bad person what is destroying career here is what is going on."
4th bersama bestie.. :men_with_bunny_ears:,Netral,Keeping up with my best friend..
"and now 2021 has officially left us, while 2022 has officially come.",Netral,"Now 2021 has officially left us, while 2022 has officially arrived."
nunggu ayam panggang klaten datang. literally!,Netral,Wait for the Ayam Panggang Klaten to come.
"i am in the whitelist competition! 1.4 million+ holders and only 10,000 nfts! this could be the next viral nft, while 1 entry will win $50k usdt! plus it helps enter at",Netral,"I'm in the competition list! 1,4 million+ people are going to win and only 10,000 nft! This could be the next viral, while 1 entry will win $50k USD! plus help to enter the contest"
bertemu mantan yg sudah menjadi bestie,Netral,Meet the ex-yang already became bestie
"not even a real touch, just touch screen with fake promised and future. at the end, you only hv her grandmother as the only choice. even idiots in usa could married better wmn without obligations to understanding forever",Negatif,"Even if you have a grandmother, you can marry a better WM without ever having to understand her."
overthinking nggk jelas berkedok insomnia:woozy_face:,Negatif,I think it's too much to ask.
"lagi asik2 ig an, tiba2 ada pop up sms, wis panik kok moro2 paketane habis, overthinking, pas dibuka penuh ternyitii hmm",Negatif,I'm not sure what I'm saying.
paling males kalau naik taksi online kepo banget drivernya nanya-nanya kerja lah apalah.,Negatif,The most interesting thing is that I'm not sure what I'm doing.
no one: literally no one: mama: kok tadi mama ga liat malkis ya. kan belum nggendong sebelum pergi.,Netral,"There is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no one, there is no"
":warning:yang pernah ghosthing in gua:warning:bersyukur deh lu pada masih hidup tenang, kagak gua spill kelakuan lu yg ghosting ke guagausah sok kecakepan lo, muka juga mulus gua drpada lo. untung2 an lu gua nerima lu apa adanya, gua baper sama lo, nerima segala kekurangan lo",Negatif,"Remember, I've never been a ghost in a cave. I'm so grateful to you for still being alive. I'm not going to spill my blood."
"pulang dari tongkrongan happy, pass di tempat tidur kok jadi overthinking",Negatif,"I'm going to go home from the toilet and be happy, I'm going to go to bed and think too much"
banyak tanya purwokerto mana?? aku sambil diem bilang entahlah bla bla :grinning_face_with_sweat::rolling_on_the_floor_laughing: malas banget kepo purwokerto mana :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,Netral,Many questions about what to do? I am sitting di say entahlah bla bla: smile_wajah_dengan_perkeringat::guling_di_guling_tertawa: malas banget kepo purwokerto mana::guling_di_guling_tertawa::guling_di_guling_tertawa::guling_di_guling_tertawa::guling_di_guling_tertawa:
kalo lagi sakit tingkat ke-clingy-an naik secara eksponensial seperti gerak lurus berubah beraturan,Netral,"If I'm still sick, I'm going to be up exponentially."
"kalau doimu g bales chat ya jangan di ganggu dulu, langsung nangis dan overthinking aja coz udah rutinitas lu :folded_hands:",Negatif,"If you do do do g bales chat ya don't go in ganggu dulu, immediately cry and think excessively aja karena sudah rutinitas lu:"
spill aja kak,Netral,Fuck you
happy dl kita bareng bestie putih abu2 :face_blowing_a_kiss::smiling_face_with_hearts: req tkt kehilangan :musical_notes::musical_notes:,Positif,Happy dl we are with bestie white abu2::face_blowing_a_kiss::smile_face_with_hearts:
"admin bewoknya gemoy banget, pengen deh dijadiin crush nya.",Positif,I'm not going to be a big fan of this.
"spartan.. pantauan pengawasan buffer zone, rdt antigen gratis angkutan logistik dan validasi dokumen persyaratan perjalanan via asdp ketapang dan pelabuhan tanjungwangi. the check point terminal sritanjung",Netral,The Commission has also adopted a proposal for a new regulation on the implementation of the provisions of the Treaty on European Union.
ngapain nih?spill the tea!,Netral,What are you doing?
clingy bet njirr :weary_face:,Negatif,Clingy bet njirr: capek_wajah:
"built in 1962, sarinah is the first modern department store in indonesia which has been supporting local goods since its first operation in 1966 @ sarinah store thamrin",Netral,"Dibangun pada tahun 1962, Sarinah adalah department store modern pertama di Indonesia yang telah mendukung barang lokal sejak operasinya pertama pada tahun 1966 @ Sarinah store thamrin"
"asmara hancur,jadi cagur,diajak healing selalu meluncur,padahal nganggur,move mah enggak tolol emng-_-",Negatif,"Asmara crumbled, became a cagar, diajak menyembuhkan always meluncur,padahal nganggur,pindahlah enggak tol emng-_-"
i really love to see some of the audience were so doubtful and even woo them down because of using english. but these fellas prove them wrong! **** yeah!,Positif,I'm really happy to see some of the audience so skeptical and even memitating them because they use English. But these orang-orang prove them wrong!
which is really fun and i really feel really happy and excited because of all k-pop it's what always cheers me up but i don't know with myself what else i've been up to lately but i have to be happy because it's halloween which i like and i like and what i'm waiting for :jack-o-lantern::jack-o-lantern::jack-o-lantern:,Positif,That's really fun and I really feel really happy and bersemangat because all K-pop is what always makes me happy but I don't know with myself what else I've done lately but I have to be happy because it's Halloween that I like and I like and what I'm waiting for:
mari kita jalan-jalan dulu bestie:automobile: tapi gak boleh ada yang ikut ya:kissing_face: ngueeenngggg #리노 #스트레이키즈,Netral,I'm not going to say anything about it.
sabtu malam. tak nonton rose karo jack pacaran ae :relieved_face:,Positif,Saturday night. I'm not watching Rose Karo.
"jam jam segini tuh, jam jam overthinking anj",Negatif,I'm not sure I'm going to be able to do it.
"manifest this may with life full of hahahihi, kerjaan lancar, banyak waktu selo buat healing, tapi isi dompet tetep kejaga amin! :thumbs_up:",Positif,"I'm not saying it's possible with a full life hahahihi, job well, a lot of time to sell for a pennyembuhan, but it's a purse that keeps me safe!"
"my friend gave another challenge, just like when i answered manuela back then. this time it was barry. and again, what i made again amazed my friends. even if there is another challenge, hopefully i can do it. :beaming_face_with_smiling_eyes::fire:",Positif,"My friend gave me another challenge, like when I answered Manuela at that time. This time it's Barry. And again, what I do again surprises my friend. Even if there's another challenge, hopefully I can do it."
"now i know trust issues is real, and it hurt so bad",Negatif,"Now I know the problem of trust is real, and it's very painful"
akankah burnout genshin wkwk,Negatif,Akankah burnout genshin wkwk
croffle + ovomaltine + es cream coklat = jujurly endulita :smiling_face:,Positif,Croffle + ovomaltine + es krim chocolate = jujur diisi:
cape overthinking,Negatif,thinking too much
"carats, our maknae is now at 11th place! keep voting for him consistently, let's enter top 10 or even more before the poll ended:pleading_face::yellow_heart: #디노 #세븐틴",Netral,"Karats, meaning we are now in the 11th place! we continue to choose consistently, we will enter 10 besar or even more before the polls end:pleading_face::yellow_heart: #Diino #세븐틴"
healing kok mam boncabe :rolling_on_the_floor_laughing:,Negatif,I'm not going to say anything.
hobi pram 2021: deeptalk sama orang.,Netral,Hobby Pram 2021: Deep Talk Sama Orang.
"h-1 mulai gelisah, mager, dan overthinking",Negatif,"H-1 started to get tired, tired, and thinking too much"
not having anxiety,Positif,I don't have any anxiety
honestly... aespa visual is average..,Netral,Jujur... visual Aespa is the average..
sesekali bolehlah narsis mengagumi diri sendiri. :rolling_on_the_floor_laughing::smiling_face_with_smiling_eyes::face_with_hand_over_mouth: :growing_heart: @ pamulang tangsel,Positif,Sometimes I can't get myself to go on a date with my dad.
disaat ini gw dah ga mikir siapapun lol. yg gw pikir cmn. im near numb. i can still feel the hurt. but not as bad as before even though this one supposed to hurt me more. im near numb.,Negatif,"I'm almost dead, I can still feel pain, but it's not like before, even though it should hurt me more."
overthinking yaa? yaa iyalahhh,Negatif,I think I'm too much.
baru saja mengirim video @ zona santuy,Netral,Baru saja mengirim video @ zona santuy
"diri ini mudah mood swing skali:pleading_face: apa aja yg sedih bisa teikut nangis, hbs itu ketawa lagi:upside-down_face:",Negatif,"Diri ini mudah mood swing scale: pleading_face: apa aja yang sedih bisa teikut menangis, hbs itu tertawa lagi: upside down_face:"
"denial itu boleh, tapi kalau kamu merasa ada kepastian, kenapa nggak?",Netral,"Menolak it's allowed, but if you feel sure, why not?"
self healing,Positif,the penembhan diri
"yahene og overthinking yahene i madang brouu, lawuhe ro gule le gawe mamak mau awan jozzzz bingits",Negatif,"Yahene og thinking too much Yahene i madang brou, lawhe ro gule le gawe mamak mau awan jozzzz bingits"
"untuk diriku di tahun 2020 terimakasih sudah bertahan sejauh ini, kamu pantas bahagia, kamu pantas mendapatkan cinta, kamu pantas memiliki teman, kamu pantas memilih dengan siapa kamu dapat bahagia. jangan overthinking, jangan egois, jangan gengsi untuk bilang maaf,",Positif,"For me in 2020 term is already survived so far, you deserve to be happy, you deserve to get love, you deserve to have friends, you deserve to choose with whom you can be happy. Don't think too much, don't be selfish, don't gengsi to say sorry,"
"2021 - happy, hurting, healing at the same time :slightly_smiling_face:",Netral,"2021 - happy, sakit, menyembuhkan pada saat yang sama:"
meditasi malam ini enak banget. semua beban rasanya nguap aja. semoga diberkati usaha healing ini~ suwun gusti yesus :blue_heart:,Positif,Meditation malam ini enak banget. all the weight is feeling less good.
overthinking sama diri sendiri,Negatif,Thinking too much of myself
even connor still learned despite being the wealthiest athlete in the world,Positif,Even Connor is still learning even though he's the richest athlete in the world.
i have a crush on you faithfully but then it crashed me,Negatif,I fell in love with you with a true love but then it destroyed me
"org-org suka pada pengen bgt me time kmn-mna s e n d i r i actually bnr-bnr sendiri weh kitu, naha aku mh teu bisa kmn-mna sendiri. gatau knp, ke alfa depan perempatan aja di anter :) yg nganter nya lengkap 2 bodyguard.",Negatif,"I'm not sure if I can get a chance to do anything, but I'm sure I can get a chance to do it."
it's almost like the **** that actually like girls be hiding:melting_face::melting_face:,Negatif,Almost like a girl hiding face
this..... zara are actually 18 how can he..... ah dahlah,Negatif,Zara is actually 18 years old how could she... ah dahlah
the way i overuse the “jujurly” term today is concerning,Negatif,How do I overdo using the term honestly today is about
"duh, deep ya:OK_hand_light_skin_tone: thanks for your attention bestie. :weary_face::sneezing_face:",Positif,"Dude, deep ya: OK_hand_light_skin_tone: thanks for your attention, buddy."
nama : nn.d hobi : ngajak overthinking bareng,Negatif,I'm not going to say anything.
even the homecoming queen cries...~,Netral,Even ratu pesta pulang menangis... ~
"****, i am thanking you before it even happens.",Positif,I'm thankful for you before it happens.
