emoji_en,label,backtranslated_tweet
"[tuban 30 ° c] good afternoon ... corn rice - literally translated as 'corn rice' - looks like couscous, but made of corn and has finger grains. co/a8oq1qj2lz",Netral,"[Turban 30 ° C] Good afternoon... corn rice - literally translated as 'corn rice' - looks like couscouscouscous, but is made of corn and has grain fingers. co/a8oq1q2lz"
shocked bestie just woke up nct dream cmbk,Positif,Surprised bestie just woke up dream nt cmbk
"just afraid of yourself, i am afraid that i can't overthinking every day.",Negatif,"Just scared of myself, I'm afraid that I can't overthink every day."
finally got a place where i can do whatever i want,Positif,finally got a place where I could do whatever I wanted
should y'all be concerned with the friends who's actually cepuin is story too? they're low-key snake,Negatif,Shouldn't you worry about friends who really cepuin is a story too? they're low-key snakes
we graduated together bestie :koala::hatching_chick:,Positif,We graduated with bestie :koala:: hatching_chick:
"gradually, slowly but surely, will definitely get good results. посепено, медлено, но верно, бязело добес хороших резллов.",Positif,"Gradually, slowly but surely will get good results."
best self healing,Positif,Best self-healing.
even the fools know nothing is forever ~,Netral,Even a fool knows nothing is forever~
"staycation in bogor is always fun, besides a lot of food culinary here it also often rains :blue_heart:",Positif,"Living in the swamp is always fun, except there's a lot of nutrient food here, as well as a lot of rain: blue-hearted:"
me: all day wandering around the realm of idiots,Negatif,I was: all day wandering around an idiot world
"the most ideal healing is ""more"" money, parents' snacks, and traveling around indonesia.",Positif,"The most ideal cure is ""more"" money, old man's snacks, and traveling around idonsia."
"again crowded, gaslighting :rocket:",Negatif,"More crowded, gaslighting:"
self -invitation :check_mark_button: eat your own ayce :check_mark_button: own traveling :check_mark_button: staycation itself :check_mark_button: coffee own :check_mark_button: just watching your own cinema,Positif,self -invitation: check_mark_button: eat your own accesse :check_button: own traveling : check_mark_button: stayit own: check_mark_button: coffee own: check_mark_button: just watching your own cinema
**** bestie horror film recommendations,Netral,**** Recommend a bestie horror movie
"manifesting wins cipar, sponsored by office to bali :loudly_crying_face:",Positif,"manifesting a pity victory, sponsored by office to return:loudly_cry_face:"
"o allah, i'm still waiting for a healthy black/tuxedo kitten shipment that is active actively able to eat pup yourself and clingy. (specific prayer) :face_with_tears_of_joy:",Positif,"O god, I'm still waiting for a healthy black/tuxedo delivery of active kittens to be able to eat their own puppies and stick."
"page 365 of 365 it could be a good year, but still have to be grateful. many trials, starting from positive covid, final semester lectures, exceptional proposals and theses for quotes, crying ""every night because of overthinking continues"" an. but it's okay, still be grateful for sj. thanks, 2021",Positif,"page 365 of 365 it could be a good year, but still have to be grateful. A lot of experiments, starting from positive covid, final semester of college, an amazing proposal, and this is for quotes, crying ""Every night for overthinking"" an over-and-coming. But it's okay, it's still grateful for sj. Thank you, 2021 2021."
"if i was wrong, he should say that what was my fault, so that i didn't overthinking and thought anywhere.",Negatif,"If I'm wrong, he has to say that it's my fault, so I don't think too much and think anywhere."
"actually showering cost 5min, else (inc desire) cost an hour",Netral,"actually shower costs 5min, another (inc wishes) costs an hour"
"i don't know if this will be my goal in life or just typing, but i will enjoy the world while get rich or die tryin",Positif,"I don't know if this is going to be the goal of my life or just typing, but I'm going to enjoy the world while being rich or dying trying"
"oyasuminasai .. ayuchan ... happy resting .. :sleeping_face::sleeping_face::sleeping_face: .. take care of your health always .. don't forget to take the sport or yoga:person_in_lotus_position: on the weekend, so that your body is healthy :flexed_biceps::flexed_biceps::flexed_biceps: .. and .. please ... tomorrow & amp; sunday keep trying online on twitter :folded_hands::folded_hands:",Positif,"OYASUMinasai.. ayuchan... have a safe rest..: Sleeping_face::: sleeping_face:. take care of your health always.. do not forget to take a sport or yoga:person_in_lotus_position: on the weekend, so your body is healthy::::: flced_biceps::::: fleced_bice:. and tomorrow &mp; sunday keeps trying online on twit: glled_hands::"
our 1% may not even be billionaires ...,Netral,1% we might not even be billionaires...
return home while on vacation :zany_face:,Positif,Home on vacation:
i hate to be relatable but- yeah,Negatif,I hate to be relatable but-yeah
"finally ""watch the film"" disseled out .. i don't dare to be afraid of the distribution of nagih, but grgr spoilers become kepo haha ​​90/100 laaa for kale:smiling_face_with_hearts:",Positif,"Finally ""watching movies"" dissseled out.. I dare not fear the distribution of nagih, but ggr destroyers become kepo haha 90/100 laaa for kale:smiling_face_with_hearts:"
what is the ruling for doi who are already sensitive to our code but still bodoamat. need to be an opor for lebaran bestie?,Negatif,"What's the verdict for a doi that's been sensitive to our code, but it still needs to be an opor for the Bestie Width?"
did you really even events come to bali if you don't take a million photos in your private villa's pool? no? just me then? :face_with_tears_of_joy: #****,Netral,Do you really even happen to come to Bali if you don't take a million photos in your villa's private pool?
"oh right, so is the band called mas 0094 or onewe? is the fandom l:cherry_blossom:vers or weve then? no wonder even the fandom name is about to get stolen:/ rather than fight for own fandom name, you choose to fight your brother group. right we r family after all ~/s",Positif,"oh right, so a band called mas 0094 or onewe? is a fandom l:cherry_blossom:vers or weve then? no wonder even the name of fandom is about to get stolen: / rather than fighting for the name of your own fandom, you chose to fight against your brother's group. right we r family after all ~s"
thank you to all parties who have participated in the success of healing july before plp,Positif,Thank you all for participating in the healing success in July before Plp.
"whatever you do, thank you",Positif,"Whatever you do, thank you."
failed staycation in jogja. because the rules for the holiday that mendla miele got,Negatif,failed to stay at joggingja. because the rules for vacation that mendla Mele got
what is needed during long weekend now: healing and bestie at bobocabin :pleading_face::sparkles:,Positif,What's needed during the long weekend now: healing and bestie in bobocabin :pleading_face:sparkles:
want to **** overthinking :face_vomiting:,Negatif,want **** overthinking:face_vomiting:
"bestie rasa dulur gendeng moro-moro telephone suarane karo nanges plate. tastyno slur miber e, ojok balek before 4d karo met budha",Positif,"bestie flavor dummeng moro-moro phone voicene karo nanges plate. tastino slurpl miber e, ojok balek before 4d karo met budha"
"when the time comes, i want you to be my wife. walking with you in the heat and rain, running around and laaugh :upside-down_face:",Positif,"When the time comes, I want you to be my wife. Walk with you in heat and rain, run around and laugh: upside-down-face:"
org2 mba somehow the faces are the same as gt. neat,Positif,I don't know. The faces are the same as gt. neat.
"in his heart said: it's delicious so they can walk anywhere, can havefun, can feel healing. but this body wants to lie down first",Negatif,"He saith in his heart, It is good, that they may walk wherever they may be, and enjoy themselves, and may taste the healing. But this body desireth to lie down first."
i'm not surprised actually ~ seoho is just being :face_with_tears_of_joy:,Netral,i'm not surprise actually ~ seoho is just being:face_with_hears_of_joy:
"the pygmalion effect, or rosenthal effect, is a psychological phenomenon in which high expectations lead to improved performance in a given area. the effect is named for the greek myth of pygmalion, the sculptor who fell so much in love with the perfectly beautiful statue",Netral,"The pygmalion effect, or the Rosenthal effect, is a psychological phenomenon where high expectations cause better performance in certain areas. This effect is named for Greek myths pygmalion, a sculptor who fell so much in love with a perfect statue."
young coconut,Netral,pink coconut
"i randomly take my own poison, while i never know that i choose it randomly too because my mind is too noisy to be bear. here i am, flundering like a nearly dead fish in the middle of dry vast lake ~",Negatif,"i randomly took my own poison, while i never knew that i chose at random also because my mind was too noisy to be a bear. here i am, flating like a fish almost dead in the middle of a dried-out lake ~"
we are not bestie :clown_face:,Negatif,we are not bestie :clown_face:
"here mah, under 11 o'clock in the evening already sleepy and already sleeping. try if you are in the same time at that time it's still strong literacy until 1 o'clock.",Positif,"Here at 11:00 p.m., it's sleepy and already asleep."
"have you ever felt the **** while overthinking yet? if not, try it ... taste, aaaahhhh, great !!!!! wkwkwk",Negatif,"Do you ever feel like **** overthinking? otherwise, try... taste, aaaahhhh, good!!!!!! wkwkwkwwkwkwk"
"check shira media - self -healing by thought force - william atkinson at a price of rp28,080. get it in shopee now!",Netral,Check the media shira - self - healing by thought force - william atkinson at the price of rp28. get it in the store now!
"oathhh garcia who is ji this is the original overthinking tonight, garcia who is why there is what is the ex -ex -family what is the evil person what destroys ji's career what deg deg an njirrr.",Negatif,"This garcia swears that ji is the original thought tonight, the garcia which is why there are ex-ex-family what an evil man destroys ji's career what deg deg deg a njirrr."
4th with bestie .. :men_with_bunny_ears:,Netral,4 with bestie..:
"and now 2021 has official left us, while 2022 has official come.",Netral,"And now 2021 has officially left us, while 2022 has officially come."
wait for klaten's grilled chicken to come. literally!,Netral,Wait for klaten's roast chicken to come. Literally!
"i am in the whitelist competition! 1.4 million+ holders and only 10,000 nfts! this could be the next viral nft, while 1 entry will win $ 50k usdt! plus it helps enter at",Netral,"1.4 million+ holder and only 10,000 nfts! This could be the next nft virus, while 1 in will win $50k usdt! plus help insert in"
meet the former who has become bestie,Netral,Meet the ex who's been a bestie.
"not even a real touch, just touch screen with fake promised and future. at the end, you only hv her grandmother as the only choice. even idiots in usa could married better wmn without obligations to understanding forever",Negatif,"Even a real touch, just touch the screen with false promises and futures. In the end, you just hv her grandmother as the only option. Even idiots in usa can get married better when it's no obligation to understand forever"
overthinking nggk is clearly under the guise of insomnia:woozy_face:,Negatif,overthinking clearly under the cover of insomnia:woozy_face:
"again cool ig, suddenly there is a pop up sms, wis panicked how moro2 paketane runs out, overthinking, when it is fully opened hmm",Negatif,"Cool. ig, suddenly there's a pop text up, wis freaked out how the moro2 package runs out, overthinks, when it's fully opened. Hmm."
"most lazy if you take an online taxi, the driver is asking for work.",Negatif,"The lazy one if you take an online taxi, the driver asks for a job."
no one: literally no one: mama: how come mama didn't see malkis. you haven't carried out before leaving.,Netral,No one: literally nothing: mama: how can I not see malkis. you haven't done before you left.
":warning: those who have been ghosthing in the cave. you are grateful that you still live calmly, i don't have your behavior that ghosting to guaga is pretending to be your face, my face is also smooth from you. luckily, i received you as it was, i baper with you, accepting all your shortcomings",Negatif,"You're thankful that you're still living quietly, I don't have your behavior that ghosts to pretend to be your faces, my face is also smooth of yours."
"returning from happy hold, pass in the bate is one overthinking",Negatif,"Back from the happy holder, graduating in the bat is one overthinking"
"which purwokerto ask? i was shut up, i don't know, i don't know, blah blah :grinning_face_with_sweat::rolling_on_the_floor_laughing: so lazy to purwokerto where :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:",Netral,"Which purwokerto ask? i was shut up, i don't know, i don't know, blah blah:grinning_face_with_sweat:::::::: rolling_on_found_laughing: so lazy to suppose where: Rolling_the_flowing_the_founding:::: rolling_the_theming_laughing 02:"
"if you have a painful level of clingy, it rises exponentially as a straight motion changes irregularly",Netral,"If you have a painful sticky level, it increases exponentially as irregular straight motion changes"
"if you do your prayer chat, don't be disturbed first, just cry and overthinking, coz, you're routine :folded_hands:",Negatif,"if you do your prayer chats, don't disturb first, just cry and overthink, because, you are routine: folded-hand:"
just spill sis,Netral,just spilled sis
happy dl we are with white gray bestie :face_blowing_a_kiss::smiling_face_with_hearts: req tkt loses :musical_notes::musical_notes:,Positif,glad we are with white gray bestie:face_blowing_a_kiss::: smiling_face_with_hearts: req tkt lose: music_notes:: music_notes:
"admin bewoknya really gemoy, i want to be a crush.",Positif,"Admin bewokk really gemoy, I want to be a crush."
"spartan .. monitoring supervision of buffer zone, rdt antigen free logistics transportation and validation of travel requirements documents via asdp ketapang and tanjungwangi port. the check point sritanjung terminal",Netral,"Spartacus... oversees buffer zones, transport logistical free rdt antigen and validation documents travel through asdp braid and port Capewangi."
what are you doing? spill the tea!,Netral,What are you doing?
clingy bet njirr :weary_face:,Negatif,clingy bet njirr:weary_face:
"built in 1962, sarinah is the first modern department store in indonesia which has been supporting local goods since its first operation in 1966 @ sarinah store thamrin",Netral,"Built in 1962, sarinah was the first modern department store in Indonesia that has supported local goods since its first operation in 1966 @ sarinah Thamrin store"
"asmara is destroyed, so cagur, healing invited to always slide, even though unemployed, move not **** -_-",Negatif,"Asmara was destroyed, so cage, healing was invited to always slide, despite unemployment, not move --"
i really love to see some of the audience were so double and even woo them down because of using english. but these fellas prove wrong! **** yeah!,Positif,I'm really glad to see some of the audiences are so multiplied and even wooing them down for speaking English.
which is really fun and i really feel true happy and excited because of all k-pop it's what always cheers me up but i don't know with myself what else i've been up to lately but i have to be happy because it's halloween which i like and i like and what i'm waiting for :jack-o-lantern::jack-o-lantern::jack-o-lantern:,Positif,which was really fun and I was really happy and excited because all those k-pops were always cheering me up but I didn't know with myself what else I'd been to lately but I had to be happy because of the Halloweens that I liked and I liked and what I was waiting for: jack-o-lantern::
"let's take a walk first, but no one can join #리노 #스트레이 키즈",Netral,"Let's take a walk first, but no one can join #Neither"
saturday night. not watching rose karo jack dating ae :relieved_face: night,Positif,Saturday night. not watching rose caro jack dating ae:relieved_face: night
"at this hour, the aj overthinking hours",Negatif,"At this hour, Aj overthinking the clock"
"manifest this may with life full of hahahihi, work smoothly, plenty of time for healing, but the contents of the wallet are still amen! :thumbs_up:",Positif,"show this maybe with a full life hihihihi, work well, a lot of time to heal, but the contents of the wallet are still amen!: thumbs_up:"
"my friend gave another challenge, just like when i answered manuela back then. this time it was barry. and again, what i made again amazed my friends. even if there is another challenge, hopeful i can do it. :beaming_face_with_smiling_eyes::fire:",Positif,"My friend gave me another challenge, like when I answered the manuela at the time. This time barry. And again, what I did impressed my friends again."
"now i know trust issues is real, and it only so bad",Negatif,"Now I know trust issues are real, and it's just so bad."
will burnout genshin wkwk,Negatif,will burn genshin wkwk
croffle + ovomaltine + es cream brown = honestly endulita :smiling_face:,Positif,ccroffle + ovomaltine + ice cream brown = honest endulita :smiling_face:
cape overthinking,Negatif,overthink coat
"carats, our maknae is now at 11th place! keep voting for him consistent, let's enter top 10 or even more before the poll ended:pleading_face::yellow_heart: #디노 #세븐틴",Netral,"Rust, our essence is now in place 11! keep choosing for it consistent, let's enter 10 top or even more before polling ends: pleading_face::yeellow_heart: #å"
healing how come mam boncabe :rolling_on_the_floor_laughing:,Negatif,healing how come mam boncabe : rolling_onthe_flear_laughing:
hobby pram 2021: deeptalk with people.,Netral,a hobby of pram 2021: talk deep with people.
"d-1 began to be restless, mager, and overthinking",Negatif,"d-1 is getting restless, mager, and overthinks"
not having anxiety,Positif,Not having any anxiety.
honestly ... aespa visual is average ..,Netral,Honestly... Aespa visual is the average..
"occasionally, narcissistic can admire yourself. :rolling_on_the_floor_laughing::smiling_face_with_smiling_eyes::face_with_hand_over_mouth: :growing_heart: @ pamulang tangsel",Positif,Sometimes narcissistics can admire themselves.:rolling_on_the_floor_laughing:: siling_face_faces:::face_with_hand_over_mouth:::::growing_heart: @ palang tangsel
at this time i don't think anyone lol. i think cmn. im near numb. i can still feel the hurt. but not as bad as before even though this one supposed to hurt me more. im near numb.,Negatif,At this point I don't think anyone lol. I think cmn. im close to numb. I can still feel pain.
overthinking huh? yeah yes,Negatif,"fontcolor="" # FFFF00""thinkoverhuh?"
just sent a video @ zone santuy,Netral,just sent video @stuy zone
this self is easy to mood swing skali,Negatif,"fontcolor="" # FFFF00""selfis easilytoswing fontcolor="" # FFFF00""mossytimes"
"denial is allowed, but if you feel there is certainty, why not?",Netral,"Denial is allowed, but if you feel any certainty, why not?"
self healing,Positif,Self-healing.
"yahne og overthinking yahene i madang brouu, lawuhe ro gule le gawe mamak want jozzzz bingits clouds",Negatif,"fontcolor="" # FFFF00""yane og over norking fontcolor="" # FFFF00""Yahene i maldang bruu, lawuhe ro culle le gawe mamak want jozz bingits clouds"
"for myself in 2020 thank you for surviving so far, you deserve to be happy, you deserve to get love, you deserve to have friends, you deserve to choose with whom you can be happy. don't overthinking, don't be selfish, don't be proud to say sorry,",Positif,"For myself in 2020 thanks for staying so far, you deserve to be happy, you deserve to get in love, you deserve to have friends, you deserve to choose who you can be happy with. Don't think too much, don't be selfish, don't be proud to say sorry,"
"2021 - happy, huring, healing at the same time :slightly_smiling_face:",Netral,"2021 - happy, hungry, healing at the same time:slightly_smiling_face:"
meditation tonight is really good. all the burden feels just evaporated. hopefully this healing business is blessed ~ suwun gusti jesus :blue_heart:,Positif,Tonight's meditation is really good.
overthinking with yourself,Negatif,Overthinking with yourself
even connor still learned despite being the wealthiest athlete in the world,Positif,Even the connor is still learning despite being the richest athlete in the world.
i have a crush on you faithful but then it crashed me,Negatif,I had a crush on you but then it fell on me
"org-org likes to want to take time to the fact that it is actually bnr-bnr alone weh, naha i can be able to do it myself. gatau why, just to the alfa in front of the intersection in the anter",Negatif,"People like me want to take time for the fact that it's actually just right weh, well I can do it myself. That's why, just for alpha in front of the intersection at anter."
it's almost like the **** that actually like girls be hiding:melting_face::melting_face:,Negatif,it's almost like the **** that actually like girls be hiding_face::melling_face:
this ..... zara are actually 18 how can he ..... ah already,Negatif,This Zara is actually 18 how can she.... ah already
"the way i overuse the ""honestly"" term today is concerned",Negatif,"The way I use the term ""honest"" too often these days is concerned"
"gosh, deep ya:OK_hand_light_skin_tone: thanks for your attention bestie. :weary_face::sneezing_face:",Positif,"Gosh, deep ya:OK_hand_light_skin_tone: thanks for your attention bestie.:weary_face:sneezing_face:"
name: nn.d hobby: invite overthinking together,Negatif,name: n.d hobbies: invite overthinks together
even the homecoming queen cries ... ~,Netral,Even homecoming queens cry... ~
"****, i am thanks for you before it even happened.",Positif,"****, I thank you for you even before it happened."
sold all my $ btc for $ eth and some altcoins under ethereum network a while ago. so far so good.,Positif,Selling all my btc dollars for eth and some altcoins under the ethereum network a while ago. So far good.
"waiting on mas-mas laundry who is going to buy food. literally .. (pictured here, le me who haven't taken a shower in 2 days)",Netral,"Waiting for the washing of the masquerading that will literally buy food (Picture here, le me who hasn't showered for 2 days)"
the hours are overthinking ..,Negatif,The hour is overthinking..
"happy friday hasn't been a portfolio photo for a long time • some pictures are excited for weekends even you just sleep at home. • • @ medan, indonesia",Positif,Happy Friday hasn't been a portfolio photo for a long time • some excited pictures for weekends even you just sleep at home.
(self healing!) everything will turn away ... all will refund to each of them ... it is not a self-purpose ... but to see the situation and condition ... and take a relevant way ... so it is not broken ... //t.co/7t5jemdush,Positif,Everything will change... everything will go back to them... it's not your own goal... but to look at the situation and conditions... and take the relevant way... so it doesn't break...
"your project is very good, the whitepaper is also very clear, i hope your project can be successful and successful in the future. i also hope the community can grow even bigger than now .. to you",Positif,"Your project is very good, white paper is also very clear, I hope your project can be successful and successful in the future."
"even it's just one person who wo watch my premiere, im still thanks for that:folded_hands:",Positif,"even it's just one person who wo watch my premiere, im still thank you for it:folded_hands:"
"stay calm, still, santuy bismillah wa, you can definitely know that the consequences must be prepared to pass through, aaa anjir is nervous and meeting with pt.pama persada",Positif,"Stay calm, still, Santay Bismillah wa, you can surely know that the consequences must be prepared to get through, aaaa anjir nervous and meet with pt.pama persada"
"happy new year, i hope this year begins with blessings and goodness, honestly it's been quite painful and tiring for the past 2 years. and for the men i've idolized for the past 5 years, stay happy and thank you for sticking with us (bangtan & amp; army) until now ♡.",Positif,"Happy new year, I hope this year starts with blessings and kindness, honestly it's been quite painful and exhausting for the last two years. And for the people I've idolized for the last five years, living happily and thanks for sticking with us."
tester tester came for breakfast tomorrow. so tomorrow morning you can santuy. to be solemn watching the hue with vicenzo,Netral,"The tester comes for breakfast tomorrow, so you can go to the family tomorrow morning to seriously watch colors with Vicenzo."
see the different between jogging listening to the music and watch reels .. i lost 0.5 km in track while i'm watching reels..:crying_face:,Negatif,Look at the difference between jogging for music and watching rollers. I lost 0.5 km on track while I was watching reels.
"i know it's too much, but honestly i'm happy ..",Positif,"I know it's too much, but honestly I'm happy."
why is the overthinking first tired knowing or not >>,Negatif,why overthinking first know or not >>
"meis is really cool where there is a beach. there are malls where solaria, starbucks, etc. can be healing in ancol too if bored playing to dufan is delicious too :rolling_on_the_floor_laughing:",Positif,"meis is really cool where there is a beach. there are malls where Solaria, starbucks, etc. can be heal in ancol too if bored to dufan is deliciously too: rolling_on_the_foundes_laughing:"
"morning ""sitting on the roof top of the house, knitting, while hearing birds. cheap healing.",Positif,"Early in the morning ""sit on the roof of the house, knit, while hearing the birds. The healing was cheap."
which is the most difference task? controlling flocks of sheep or a swarm of humans,Netral,"The most different task, controlling a flock or a flock of humans"
"interesting, who will come out? darren or martin? honestly i'm like to see martin stay in rush green",Netral,"Interesting, who's gonna come out? Or Martin? Honestly I'd like to see Martin stay in the green in a hurry."
"soswit was really when tae was seriously saying ""jimin ah, saranghae"" to jimin continued jimin too ""my love"" aghhhhhh the real soulmate. need vmin in my life for my bestie :pleading_face:",Positif,"Soswit really when tae meant ""jimin ah, nesthae"" to jimin keep jimin too ""my love"" aghhhhhh a real soulmate. need vmin in my life for my bestie: pleading_face:"
healing small-tiles,Netral,healing small-points
